rq,xq,tq,qw
20240425,四,阵雨或雷阵雨,17～26℃
20240426,五,晴到多云，局部阵雨,17～28℃
20240427,六,晴到多云，有分散性阵雨或雷阵雨,18～30℃
20240428,日,晴到多云，有分散性阵雨或雷阵雨,18～29℃
20240429,一,中雨，局部大雨,17～25℃
20240430,二,小雨转多云，局部中雨,16～24℃
20240501,三,多云，夜间有小雨,13～22℃
20240502,四,多云，午后到夜间有阵雨,13～21℃
20240503,五,阴天转小到中雨,15～20℃
20240504,六,阴天有小雨,14～21℃
20240505,日,短时小雨转多云,15～25℃
20240506,一,多云，局部有阵雨或雷阵雨,16～28℃
20240507,二,多云，局部有阵雨或雷阵雨,17～28℃
20240508,三,多云到晴,18～29℃
20240509,四,多云到晴,17～29℃
20240510,五,多云到阴天,18～27℃
20240511,六,小雨转多云,17～28℃
20240512,日,多云到晴,18～31℃
20240513,一,多云，局部阵雨,18～30℃
20240514,二,多云转雷阵雨,19～30℃
20240515,三,多云到晴,18～30℃
20240516,四,多云到晴,19～31℃
20240517,五,多云，局部阵雨,20～31℃
20240518,六,多云转阵雨,21～32℃
20240519,日,中雨，局部大雨,20～25℃
20240520,一,小雨转多云,19～28℃
20240521,二,多云到晴,19～31℃
20240522,三,多云到晴,20～32℃
20240523,四,多云到晴,21～33℃
20240524,五,多云转阵雨,22～32℃
20240525,六,多云转阵雨,23～33℃
20240526,日,中雨，局部大雨,22～30℃
20240527,一,小雨转多云,19～30℃
20240528,二,多云到晴,19～31℃
20240529,三,多云转阵雨,18～28℃
20240530,四,中雨，局部大雨,19～24℃
20240531,五,阴天转多云,20～29℃
20240601,六,多云,21～31℃
20240602,日,多云，局部阵雨,21～28℃
20240603,一,多云转小雨,19～29℃
20240604,二,小到中雨,18～24℃
20240605,三,阴天到多云,19～26℃
20240606,四,阵雨,20～26℃
20240607,五,阴天转阵雨,21～28℃
20240608,六,多云有间断小雨,21～28℃
20240609,日,多云,22～31℃
20240610,一,多云转小雨,23～32℃
20240611,二,多云到晴天,23～34℃
20240612,三,多云到晴天,24～35℃
20240613,四,多云有阵雨,24～34℃
20240614,五,多云有阵雨,24～35℃
20240615,六,晴到多云,25～36℃
20240616,日,多云有阵雨,25～35℃
20240617,一,多云有阵雨,26～36℃
20240618,二,多云有阵雨,25～35℃
20240619,三,小到中雨，局部大雨,25～31℃
20240620,四,中到大雨,25～29℃
20240621,五,中到大雨,24～28℃
20240622,六,阴天到多云,24～33℃
20240623,日,多云，局部阵雨,25～34℃
20240624,一,多云，局部阵雨,25～32℃
20240625,二,多云，局部阵雨,24～32℃
20240626,三,阵雨,24～31℃
20240627,四,阵雨,25～31℃
20240628,五,中到大雨，局部暴雨,24～28℃
20240629,六,多云，南部小雨转多云,22～30℃
20240630,日,多云，局部阵雨,24～33℃
20240701,一,多云有阵雨,24～32℃
20240702,二,晴到多云,25～35℃
20240703,三,多云转阵雨或雷阵雨,25～32℃
20240704,四,多云到晴，西部阵雨,25～33℃
20240705,五,多云到晴，局部阵雨,26～34℃
20240706,六,多云到晴,25～35℃
20240707,日,多云到晴,26～35℃
20240708,一,晴转多云,27～36℃
20240709,二,多云有阵雨,26～33℃
20240710,三,多云有阵雨,26～32℃
20240711,四,中雨,26～32℃
20240712,五,小到中雨,25～31℃
20240713,六,北部中到大雨，南部小到中雨,25～28℃
20240714,日,阵雨转多云,25～32℃
20240715,一,晴天到多云,26～35℃
20240716,二,晴天到多云,27～36℃
20240717,三,晴天到多云,27～36℃
20240718,四,晴天到多云,28～37℃
20240719,五,晴天到多云,28～37℃
20240720,六,东部多云转晴，西部阵雨转多云,26～36℃
20240721,日,晴到多云,27～37℃
20240722,一,晴到多云,27～38℃
20240723,二,晴到多云,27～38℃
20240724,三,多云转阵雨或雷阵雨,26～37℃
20240725,四,分散性阵雨,26～35℃
20240726,五,分散性阵雨,25～34℃
20240727,六,多云有阵雨,27～35℃
20240728,日,阵雨,26～34℃
20240729,一,阵雨,26～33℃
20240730,二,多云有阵雨,26～34℃
20240731,三,多云有阵雨,26～34℃
20240801,四,多云有阵雨,26～33℃
20240802,五,多云有阵雨,26～38℃
20240803,六,多云到晴,26~37℃
20240804,日,晴到多云,27~38℃
20240805,一,多云转阵雨,27~37℃
20240806,二,晴到多云,27~38℃
20240807,三,多云到晴,27~38℃
20240808,四,多云到晴,28~38℃
20240809,五,多云转阵雨,28~36℃
20240810,六,多云有阵雨,27~35℃
20240811,日,多云到晴,27~37℃
20240812,一,多云到晴,27~37℃
20240813,二,晴到多云,26~37℃
20240814,三,多云到晴,25~36℃
20240815,四,多云有阵雨,24~35℃
20240816,五,多云有阵雨,25~34℃
20240817,六,多云有阵雨,25~34℃
20240818,日,多云有阵雨,25~34℃
20240819,一,多云有阵雨,25~34℃
20240820,二,多云,25~35℃
20240821,三,多云,26~35℃
20240822,四,晴到多云,27~36℃
20240823,五,晴到多云,27~37℃
20240824,六,晴到多云,27~37℃
20240825,日,晴到多云,27~38℃
20240826,一,晴到多云,27~38℃
20240827,二,多云有阵雨,27~37℃
20240828,三,多云有阵雨,26~35℃
20240829,四,多云有阵雨,26~35℃
20240830,五,多云到晴,26~37℃
20240831,六,晴到多云,25~36℃
20240901,日,晴到多云,26~38℃
20240902,一,多云有阵雨,27~36℃
20240903,二,多云,25~35℃
20240904,三,多云到晴,26~36℃
20240905,四,多云到晴,26~36℃
20240906,五,多云有阵雨,27~35℃
20240907,六,多云到晴,26~36℃
20240908,日,多云到晴,27~37℃
20240909,一,晴到多云,27~38℃
20240910,二,晴到多云,27~38℃
20240911,三,多云转阵雨,26~36℃
20240912,四,多云有阵雨,26~33℃
20240913,五,多云转阵雨,26~35℃
20240914,六,多云转分散性阵雨,23~33℃
20240915,日,分散性阵雨,24~32℃
20240916,一,分散性阵雨转多云,24~32℃
20240917,二,多云转中到大雨,23~33℃
20240918,三,阵雨转阴天,24~31℃
20240919,四,多云,25~34℃
20240920,五,多云,25~34℃
20240921,六,多云，西部有短时小雨,19~27℃
20240922,日,多云到晴,16~27℃
20240923,一,晴到多云,16~27℃
20240924,二,多云到晴,17~29℃
20240925,三,多云到晴,18~31℃
20240926,四,多云,20~30℃
20240927,五,多云到晴,21~31℃
20240928,六,晴转多云,21~34℃
20240929,日,多云转小雨,28~33℃
20240930,一,小到中雨,17~25℃
20241001,二,多云,16~24℃
20241002,三,多云到晴,14~24℃
20241003,四,多云到晴,14~25℃
20241004,五,多云,16~26℃
20241005,六,多云转阴天,15~23℃
20241006,日,阴天，西部短时小雨,16~24℃
20241007,一,短时小雨转多云,15~22℃
20241008,二,多云到晴,15~25℃
20241009,三,多云到晴,16~27℃
20241010,四,多云转阴天,17~26℃
20241011,五,阴天，西部短时小雨,16~25℃
