xxfbsj,tqsk,tqyb
20220129,昨日白天我市雨夹雪或小到中雪转阴天，夜间南部县市再次转雪；最高气温大部2～4℃，兴山6℃；最低气温0～1℃。,预计今天我市北部阴天，南部雨夹雪转阴天，-1～3℃；明天多云，夜间阴天，西部山区有小雪，-2～6℃；后天北部阴天，南部小雨，1～5℃，山区小雪。宜昌市气象台发布
20220130,昨日我市南部雨夹雪转阴天，北部阴天到多云；最高气温大部4～6℃，兴山8℃；最低气温-1～1℃。,预计今天我市多云，1～8℃；明天阴天到多云，局部有短时小雨雪，2～7℃；后天多云，夜间转小雨，2～9℃，山区中雪。宜昌市气象台发布
20220131,昨日我市多云，最高气温大部5～8℃；最低气温1～2℃。,预计今天我市阴天到多云，局部有短时小雨，1～8℃；明天白天多云，夜间转小雨，山区小到中雪，2～8℃；后天小雨雪转阴天，山区中雪转阴天，1～6℃。宜昌市气象台发布
20220201,昨日我市大部阴天，夜间五峰、长阳等南部县市有短时小雨，山区有小雪，最高气温大部7～8℃，兴山11℃；最低气温1～4℃。,预计今天我市阴天转小雨，2～8℃，山区阴天转小到中雪；明天小雨雪转阴天，1～6℃，山区中雪转阴天；后天阴天到多云，1～8℃。宜昌市气象台发布
20220202,昨日我市大部阴天转小雨雪，山区有小到中雪，最高气温大部7～8℃，最低气温0～3℃。,预计今天我市北部阴天，南部短时小雨转阴天，1～7℃；明天阴天转多云，0～9℃；后天多云到晴，0～12℃。宜昌市气象台发布
20220203,昨日我市阴天到多云，最高气温大部7～10℃，五峰5℃；最低气温-1～0℃。,预计今天我市多云到晴，0～10℃；明天晴转多云，0～11℃；后天多云转小雨，高海拔地区小到中雪，3～6℃。宜昌市气象台发布
20220204,昨日我市多云转晴，最高气温大部9～12℃，最低气温-2～0℃。,预计今天我市晴到多云，-1～12℃；明天多云转小雨，1～7℃，高海拔地区转小到中雪；后天小到中雨转雨夹雪，0～4℃，山区中到大雪。宜昌市气象台发布
20220205,昨日我市晴到多云，最高气温大部11～13℃，兴山15℃。,预计今天白天我市多云到阴天，夜间转小雨，高海拔地区转小到中雪，2～9℃；明天小到中雨转小到中雪，0～4℃，半高山以上中到大雪，局部暴雪；后天小雪转阴天，0～4℃。宜昌市气象台发布
20220206,昨日我市多云到阴天，夜间部分地方出现小雨，长阳、秭归高海拔地区小雪，最高气温9～10℃。,预计今天我市小雨转小到中雪，0～5℃，半高山以上中到大雪，局部暴雪；明天小雪转阴天，0～4℃；后天阴天有分散性小雨雪，0～4℃。宜昌市气象台发布
20220207,昨日我市大部小雨转大雪，宜都、长阳、五峰、秭归局部暴雪。据统计，6日08时至7日08时宜昌市各国家站最大雨雪量为16.2毫米，最大积雪深度为14厘米，均出现在宜都。,预计今天我市小雪转阴天，0～3℃；明天阴天有分散性小雪，0～4℃；后天阴天有分散性小雨雪，0～4℃。宜昌市气象台发布
20220208,昨日我市大部小雪转阴天，枝江、宜都、长阳中到大雪转阴天。据统计，7日08时至8日08时宜昌市各国家站最大降雪量为7.2毫米，出现在枝江站。,预计今天我市阴天到多云，局部有零星小雨雪，0～3℃；明天阴天到多云，-1～7℃；后天阴天转小雨，0～6℃，高海拔地区阴天转小到中雪。宜昌市气象台发布
20220209,昨日我市阴天有短时小雨雪，高海拔地区阴天有小雪，最高气温大部3～6℃，最低气温0～2℃。,预计今天我市多云，1～8℃；明天阴天转小雨，2～6℃，高海拔地区阴天转小到中雪；后天小雨转阴天，3～6℃，高海拔地区中到大雪。宜昌市气象台发布
20220210,昨日我市多云，最高气温大部8～10℃，远安12℃；最低气温-2～2℃。,预计今天我市阴天转小雨，1～7℃，高海拔地区阴天转小雪；明天阴天有小雨，3～6℃，高海拔地区中到大雪；后天小雨转阴天，2～6℃，高海拔地区中雪转阴天。宜昌市气象台发布
20220211,昨日我市大部阴天，最高气温大部5～8℃；最低气温0～3℃。,预计今天我市阴天转小雨，3～7℃，高海拔地区阴天转中雪；明天小雨转阴天，3～6℃，高海拔地区中雪转阴天；后天多云间晴。宜昌市气象台发布
20220212,昨日我市大部阴天，夜间，五峰、宜都转小雨，高海拔地区小雪，最高气温大部9～11℃；最低气温0～4℃。,预计今天我市大部短时小雨转阴天，3～8℃，高海拔地区小雪转阴天；明后天多云到晴，3～13℃。宜昌市气象台发布
20220213,昨日我市大部阴天到多云，局部有短时小雨，最高气温9～11℃，最低气温-2～2℃。,预计今明两天我市晴到多云，早晨局部有雾，2～12℃；后天多云，4～13℃。宜昌市气象台发布
20220214,昨日我市多云到晴，早晨局部有雾，最高气温10～14℃。,预计今天我市多云，3～11℃；明天多云转阴天，4～12℃；后天阴天有小雨，3～8℃，高海拔地区有雨夹雪或雪。宜昌市气象台发布
20220215,昨日我市多云，夜间局部有短时小雨，最高气温9～12℃，兴山16℃。,预计今天我市多云转阴天，夜间局部有短时小雨，5～11℃；明天阴天转小雨，5～9℃，半高山以上中雪；后天阴有小雨或雨夹雪，1～4℃，半高山以上中雪。宜昌市气象台发布
20220216,昨日我市阴天局部有零星小雨，最高气温8～10℃。,预计今天我市阴天转小雨，3～8℃；明天小雨或雨夹雪，1～4℃，半高山以上中雪；后天雨夹雪转阴天，0～5℃，半高山以上中雪。宜昌市气象台发布
20220217,昨日白天我市阴天，夜间有小雨或雨夹雪，局部小到中雨，早晨东部平原风力较大，最高气温6～9℃，最低气温3～4℃。,预计今天我市大部小雨转雨夹雪，夜间五峰、宜都、远安等地中雪，山区中到大雪，3～5℃；明天雨夹雪转阴天，2～5℃，；后天阴天到多云，2～7℃。宜昌市气象台发布
20220218,昨日我市阴天有小雨或雨夹雪，山区中到大雪，东部平原及沿江河谷有5～7级偏北阵风，最高气温大部3～5℃，兴山8℃，最低气温0～3℃。,预计今天我市小到中雪转阴天，东部平原风力较大，-1～3℃；明天阴天，局部有小雨雪，0～6℃；后天多云转阴天，1～8℃。宜昌市气象台发布
20220219,昨日我市小雪转阴天，东部平原及沿江河谷出现5～7级偏北阵风，最高气温大部3～6℃，兴山10℃，最低气温0～3℃。,预计今天我市阴天有分散性小雨雪，-1～8℃；明天多云到晴，0～9℃；后天多云转阴天，南部转小雨，1～10℃，高海拔地区转小雪。宜昌市气象台发布
20220220,昨日我市阴天间多云，南部小雨雪转阴天，东部平原及沿江河谷出现4～6级偏北阵风，最高气温大部7～9℃，兴山11℃，最低气温-3～1℃。,预计今天我市多云，夜间南部局部有小雨，0～9℃；明天阴天有小雨，2～8℃，高海拔地区小到中雪；后天小雨转阴天，2～8℃，高海拔地区小雪转阴天。宜昌市气象台发布
20220221,昨日我市多云，最高气温大部8～11℃，最低气温1～3℃。,预计今天我市阴天转小雨，2～8℃，高海拔地区转小到中雪；明天小雨转阴天，1～9℃，高海拔地区小到中雪；后天多云，1～11℃。宜昌市气象台发布
20220222,昨日我市阴天到多云，最高气温大部10～13℃，最低气温1～3℃。,预计今天我市阴天转多云，南部局部零星小雨，3～10℃，高海拔地区小雪转多云；明天多云到晴，1～12℃；后天晴到多云，2～14℃。宜昌市气象台发布
20220223,昨日我市大部阴天转多云，最高气温10～12℃。,预计今明两天我市天气晴好，早晨局部有雾，最高气温12～14℃，最低气温0～2℃；后天多云，3～12℃。宜昌市气象台发布
20220224,昨日我市大部晴到多云，最高气温12～14℃。,预计今明两天我市天气晴好，最高气温12～15℃，最低气温0～3℃；后天多云到晴，6～20℃。宜昌市气象台发布
20220225,昨日我市大部晴天，最高气温13～16℃，最低气温-2～2℃。,预计今天我市晴到多云，2～15℃；明天多云到晴，5～19℃；后天多云转分散性小雨，6～13℃。宜昌市气象台发布
20220226,昨日我市大部晴天，最高气温14～16℃，兴山、五峰18℃，最低气温0～3℃。,预计今天我市晴到多云，6～20℃；明天多云转阴天，夜间局部有小雨，7～16℃；后天阴天有小雨，局部中雨，8～14℃。宜昌市气象台发布
20220227,昨日我市晴天到多云，最高气温大部19～21℃，兴山22℃，最低气温3～7℃。,预计今天我市多云转阴天，夜间局部小雨，7～17℃；明天阴天有小雨，局部中雨，8～14℃，高海拔地区有雨夹雪或雪；后天阴天转多云，4～14℃。宜昌市气象台发布
20220228,昨日我市多云转阴天，最高气温大部14～17℃，兴山12℃，最低气温4～7℃。,预计今天我市阴天转小雨，7～14℃；明天阴天到多云，5～15℃；后天多云到晴，6～18℃。宜昌市气象台发布
20220301,昨日我市阴天有小雨，最高气温大部11～13℃，兴山9℃，五峰17℃，最低气温4～10℃。,预计今天我市大部阴天转多云，五峰、长阳、秭归小雨转多云，7～16℃；明天多云到晴，6～20℃；后天阴天有分散性小雨，8～16℃。宜昌市气象台发布
20220302,昨日我市阴天转多云，秭归、长阳、五峰小雨转多云；东部平原、沿江河谷风力较大；最高气温大部16～19℃，最低气温3～6℃。,预计今天我市晴到多云，6～19℃；明天多云转阴天，秭归、长阳、五峰等县市小雨，8～16℃；后天多云到晴，9～21℃。宜昌市气象台发布
20220303,昨日我市晴天到多云；最高气温大部19～21℃，最低气温4～7℃。,预计今天我市多云到晴，秭归、长阳、五峰局部小雨，7～18℃；明天多云到晴，8～22℃；后天阴天夜间转小雨，10～18℃。宜昌市气象台发布
20220304,昨日白天我市大部多云转小雨，夜间多云，今天早晨局部有雾；最高气温西部13～17℃，东部17～20℃。,预计今天我市多云到晴天，8～23℃；明天阴天转小雨，10～19℃；后天小雨转阴天，6～15℃。宜昌市气象台发布
20220305,昨日我市晴到多云，午后西部县市出现零星小雨，最高气温大部21～25℃，秭归17℃，兴山19℃。,预计今天我市多云转小雨，9～19℃；明天小雨转多云，6～15℃；后天多云到晴，7～22℃。宜昌市气象台发布
20220306,昨日我市多云转小雨，五峰、宜都局部中雨，最高气温大部19～24℃，秭归16℃。,预计今天我市小雨转多云，7～14℃；明天晴到多云，7～21℃；后天晴到多云，9～22℃。宜昌市气象台发布
20220307,昨日白天我市阴天有小雨，夜间阴天，今天早晨部分地区有雾；东部平原、沿江河谷及高海拔地区风力较大；最高气温大部12～13℃。,预计未来三天我市晴到多云，最高气温21～23℃，最低气温6～9℃。宜昌市气象台发布
20220308,昨日我市晴天，东部平原、沿江河谷及高海拔地区风力较大；最高气温大部20～23℃。,预计今明两天我市晴到多云，最高气温22～25℃，最低气温8～11℃；后天多云局部短时小雨，气温12～23℃。宜昌市气象台发布
20220309,昨日我市晴天，东部平原、沿江河谷及高海拔地区风力较大；最高气温大部22～23℃，兴山、五峰27～28℃。,预计今天我市晴转多云，10～22℃；明天多云，局部有零星小雨，12～22℃；后天晴到多云，夜间西部转小雨，14～25℃。宜昌市气象台发布
20220310,昨日我市晴到多云，最高气温大部22～25℃，兴山27℃。,预计今天我市晴到多云，11～25℃；明天晴到多云，夜间长阳、五峰等县市有阵雨，14～27℃；后天阵雨，16～22℃。宜昌市气象台发布
20220311,昨日我市晴转多云，最高气温大部24～28℃。,预计今天我市晴到多云，14～26℃；明天小雨转多云 ，15～24℃；后天多云到晴，16～26℃。宜昌市气象台发布
20220312,昨日我市晴天，最高气温大部27～28℃，兴山、五峰31℃。,预计今天我市多云转短时小雨，16～27℃；明天晴到多云，17～29℃；后天多云到晴，局部有阵雨，17～28℃。宜昌市气象台发布
20220313,昨日我市晴天到多云，部分地方出现短时小雨，最高气温27～29℃。,预计今天我市多云到晴，17～28℃；明天晴到多云，局部有阵雨，16～29℃；后天晴转多云，局部有短时小雨，17～29℃。宜昌市气象台发布
20220314,昨日我市晴天到多云，最高气温大部28～30℃，兴山和五峰32℃。,预计今天我市多云，局部有短时小雨，东部平原风力较大，15～28℃；明天晴到多云，16～29℃；后天阵雨或雷阵雨，南部小到中阵雨，东部平原风力较大，14～23℃。宜昌市气象台发布
20220315,昨日我市阴天到多云，局部有阵雨，东部平原、沿江河谷及高海拔地区出现5～8级偏北阵风，最高气温大部24～27℃，兴山30℃。,预计今天我市晴到多云，13～28℃；明天中到大雷雨，部分县市暴雨，并伴有强对流天气，16～22℃；后天小雨转阴天，东部平原风力较大，9～20℃。宜昌市气象台发布
20220316,昨日我市晴到多云，最高气温大部27～30℃，五峰、兴山33℃。,预计今天我市阴转中到大雨，局部暴雨，并伴有雷电大风等强对流天气，13～21℃；明后两天多云，明天沿江河谷及东部平原风力较大，5～16℃。宜昌市气象台发布
20220317,昨日我市普降大雨到暴雨，五峰、宜都、长阳东部、枝江北部大暴雨，伴有短时强降水、雷电大风、小冰雹等强对流天气。大部出现5到8级偏北大风。据统计，≥50毫米有187站，≥100毫米有48站。最大雨量150.2毫米（长阳马鞍山村站）；最大小时雨量54.7毫米（兴山南对河站）；极大风速21.5m/s（9级，当阳枯树岭站）。,预计今明两天我市多云到晴，7～17℃；后天多云转小雨，8～16℃。今天沿江河谷及东部平原风力较大。宜昌市气象台发布
20220318,昨天白天我市大部晴到多云，有5～8级偏北大风，极大风速22.6m/s（9级，当阳枯树岭站）；夜间局部有短时小雨；最高气温西部17～19℃，东部12～16℃。,预计今天我市多云，7～18℃；明天阴天转小雨，10～16℃；后天中到大雨，7～10℃。明天开始我市沿江河谷及东部平原风力又有所增大。宜昌市气象台发布
20220319,昨天白天我市多云，最高气温大部15～17℃，五峰20℃，兴山25℃。,预计今天我市阴天转小雨，8～14℃；明天中到大雨，局部暴雨，6～9℃；后天中雨转小雨，6～9℃。今天开始我市沿江河谷及东部平原风力又有所增大。宜昌市气象台发布
20220320,昨天我市大部小雨，兴山、夷陵和长阳局部中到大雨，并伴有雷电，东部平原、沿江河谷和高山出现5～7级，局部10级偏北阵风。据统计，19日08时至20日08时全市最大雨量32.2毫米（兴山南阳站），极大风速25.9m/s（10级，秭归吴家沟站），最高气温10～12℃，兴山17℃。,预计今天我市大部中雨转大雨，部分地方暴雨，并伴有雷电，6～8℃；明天中雨，局部大雨，6～9℃；后天小雨转阴天，6～9℃。未来三天我市东部平原、沿江河谷和高山风力较大。宜昌市气象台发布
20220321,昨天我市大部出现大雨到暴雨，兴山、夷陵北部和远安局部出现大暴雨，并伴有雷电，东部平原、沿江河谷和高山出现5～7级阵风。据统计，20日08时至21日08时全市最大雨量118.1毫米（兴山南阳站），极大风速15.4m/s（7级，秭归郭家坝站），最高气温6～8℃。,预计今天我市中到大雨转小雨，并伴有雷电，5～8℃；明天小雨转阴天，5～9℃；后天多云，6～13℃。宜昌市气象台发布
20220322,昨天我市大部出现中雨到大雨，长阳大堰乡、五峰渔洋关镇、宜都枝城镇和潘家湾乡出现暴雨，并伴有雷电，东部平原、沿江河谷和高山出现5～7级阵风。据统计，21日08时至22日08时全市最大雨量54毫米（长阳钟家湾村站），极大风速15.2m/s（7级，兴山高桥站），最高气温7～8℃、兴山10℃。,预计今天我市小雨转多云，5～9℃；明天多云到晴，6～16℃；后天多云转小到中雨，8～19℃。宜昌市气象台发布
20220323,昨天我市小雨转阴天，局部中雨，早晨局部有雾，最高气温8～11℃，最低气温4～7℃。,预计今天我市多云到晴，5～16℃；明天北部多云转小雨，南部多云转中雨，局部大雨，7～16℃；后天中雨转小雨，11～15℃。宜昌市气象台发布
20220324,昨天我市零星小雨转多云，早晨局部有雾，最高气温13～16℃，五峰18℃，兴山21℃，最低气温大部4～7℃。,预计今天我市北部多云转小到中雨，南部多云转中到大雨，局部伴有雷电，7～16℃；明天中雨转小雨，10～15℃；后天阴天有分散性小雨，10～16℃。宜昌市气象台发布
20220325,昨天白天我市多云，夜间出现小到中雨，局部大雨，伴有雷电。据统计，24日08时至25日08时全市累计雨量≥10毫米有250站，≥25毫米有4站，最大累计雨量为28.9毫米，出现在当阳草埠湖镇草埠湖站。,预计今天我市大部小雨转阴天，局部有雾，10～15℃；明天阴天有分散性小雨，10～17℃；后天多云，8～18℃。宜昌市气象台发布
20220326,昨天我市阴天有分散性小雨，五峰局部中雨。高温12～16℃，低温10～11℃。,"预计今天我市多云有分散性小雨，部分地方有雾，11～16℃；明天多云到晴，局部有雾,8～20℃；后天晴到多云，8～21℃。宜昌市气象台发布"
20220327,昨天我市阴天有分散性小雨，高温17～19℃，低温10～13℃。,"预计今天我市多云到晴，7～20℃；明天晴到多云,9～21℃；后天多云，9～21℃。宜昌市气象台发布"
20220328,昨天我市大部晴到多云，局部有短时小雨，午后大部出现5～6级阵风，高温21～23℃，低温7～9℃。,预计今天我市晴到多云，9～23℃；明天多云转阵雨，10～22℃；后天阴转小到中雨，13～23℃。宜昌市气象台发布
20220329,昨天我市晴天，午后大部出现5～6级阵风，最高气温大部21～24℃。,预计今天我市多云转阵雨或雷阵雨，10～19℃；明天中雨，局部大雨，并伴有雷电，13～17℃；后天小到中雨，10～14℃。受冷空气影响，明后两天大部有3到4级、阵风5到7级偏北风，气温下降4到6℃。宜昌市气象台发布
20220330,昨天我市晴到多云、局部小阵雨，最高气温大部22～24℃，五峰26℃。,预计今天我市阴天转小雨、局部中雨并伴有雷电，13～20℃；明天阴天有短时小雨，12～17℃；后天小雨转阴天，9～18℃。今明两天大部有3到4级偏北风、阵风5到7级。宜昌市气象台发布
20220331,昨天白天我市阴天有小雨，夜间北部小到中雨，南部中到大雨。据统计，30日08时至31日08时全市累计雨量≥10毫米有243站，≥25毫米有46站，最大累计雨量为47.0毫米，出现在五峰仁和坪镇业产坪站。,预计今天我市小雨，五峰、宜都、枝江中雨转小雨，12～16℃；明天多云到晴，8～18℃；后天晴到多云，10～22℃。宜昌市气象台发布
20220401,昨天我市大部阴天有小雨，五峰中雨，东部平原和高海拔地区出现5～7级阵风，最高气温15～18℃。,预计今天我市大部多云到晴，五峰、长阳、宜都、枝江阴天转多云，10～20℃；明后两天晴到多云，10～22℃。宜昌市气象台发布
20220402,昨天我市北部多云转晴，南部阴转多云，局部有短时小雨；最高气温17～20℃。,预计今明两天我市天气晴好，10～22℃；后天多云到阴天，夜间南部有小雨，13～20℃。宜昌市气象台发布
20220403,昨天我市晴到多云，最高气温23～25℃。,预计今天我市晴到多云，10～24℃；明天多云转阴天，夜间有小雨，13～20℃；后天多云转晴，12～24℃。宜昌市气象台发布
20220404,昨天我市晴到多云，午后大部出现5～6级阵风，最高气温23～25℃。,预计今天我市阴天转小雨，12～20℃；明天多云到晴，12～25℃；后天晴到多云，13～27℃。宜昌市气象台发布
20220405,昨天我市大部阴天转小雨，局部中雨，最高气温20～23℃。,预计今天我市多云转晴，12～25℃；明后两天晴到多云，14～28℃。宜昌市气象台发布
20220406,昨天我市多云到晴，沿江河谷风力较大，最高气温24～28℃。,预计今天我市晴到多云，沿江河谷风力较大，15～27℃；明天多云到晴，15～29℃；后天晴到多云，15～30℃。宜昌市气象台发布
20220407,昨天我市晴到多云，沿江河谷风力较大，最高气温27～30℃。,预计今明两天我市晴到多云，15～30℃；后天多云到晴，16～30℃。宜昌市气象台发布
20220408,昨天我市晴到多云，午后出现分散性阵雨或雷阵雨，夷陵区局部伴有小冰雹，最高气温大部28～30℃，五峰32℃。,预计未来三天我市大部晴到多云，局部有阵雨或雷阵雨，15～30℃。宜昌市气象台发布
20220409,昨天我市晴到多云，最高气温大部31～34℃。,预计今明两天我市大部晴到多云，午后局部有阵雨或雷阵雨，17～32℃；后天多云转雷阵雨，20～32℃。宜昌市气象台发布
20220410,昨天我市晴到多云，最高气温大部32～34℃。,预计今天我市晴到多云，18～33℃；明天多云转雷阵雨，局部伴有短时强降水，20～32℃；后天中到大雨，局部暴雨，并伴有雷电大风等强对流天气，15～24℃。宜昌市气象台发布
20220411,昨天我市晴到多云，午后夷陵、远安局部出现阵雨或雷阵雨，最高气温大部32～34℃。,预计今天白天我市晴到多云，18～33℃；今天夜间到明天白天中到大雨，局部暴雨，并伴有短时强降水、雷电大风等强对流天气，15～21℃；后天多云，11～22℃。宜昌市气象台发布
20220412,昨天我市晴到多云，最高气温大部33～35℃。,预计今天我市多云转中到大雨，局部暴雨，并伴有短时强降水、雷电大风等强对流天气，15～25℃；明天多云，13～24℃；后天阴天有小雨，12～18℃。宜昌市气象台发布
20220413,昨天我市普降暴雨，五峰、远安、宜都局部大暴雨，大部出现4到6级偏北风。据统计，≥50毫米268站，≥100毫米5站，最大雨量113.1毫米（远安宝华寺站）；最大小时雨量26.7毫米（五峰九门站）；极大风速22.2m/s（9级，当阳枯树岭站）。,预计今天我市多云，11～23℃；明天阴天转小雨，五峰、长阳小到中雨，11～17℃；后天中雨，局部大雨，10～14℃。宜昌市气象台发布
