mc,tyshxydm,shzzlb,stlb,ywzgdw,djgljg,cldjsj
宜昌市力学学会,5142050050360683X5,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-04-24
宜昌市集邮协会,514205005036068485,社会团体,联合性,宜昌市邮政管理局,宜昌市民政局,1991-05-04
宜昌市个体劳动者私营企业协会,514205005036068560,社会团体,联合性,宜昌市市场监督管理局,宜昌市民政局,1991-05-04
宜昌市体育总会,5142050050360704X0,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,1994-06-20
宜昌市广告协会,514205005036070580,社会团体,行业协会商会,直接登记,宜昌市民政局,1991-05-28
宜昌市粮食行业协会,51420500503607111U,社会团体,行业协会商会,直接登记,宜昌市民政局,2003-08-12
宜昌市外商投资企业协会,5142050050360712XK,社会团体,行业协会商会,宜昌市商务局,宜昌市民政局,1991-06-12
宜昌市乒乓球协会,51420500503607138K,社会团体,专业性,宜昌市文化和旅游局,宜昌市民政局,2003-09-05
宜昌市珠算心算协会,51420500503607146E,社会团体,联合性,宜昌市财政局,宜昌市民政局,1991-06-12
宜昌市台湾同胞投资企业协会,514205005036071624,社会团体,行业协会商会,宜昌市委台办,宜昌市民政局,2003-09-10
宜昌市风景园林学会,5142050050360720X7,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-06-25
宜昌市农村合作经济组织联合会,5142050050360739X6,社会团体,联合性,宜昌市供销社,宜昌市民政局,1991-03-28
宜昌市烟草思想政治工作研究会,51420500503607410R,社会团体,学术性,宜昌市社科联,宜昌市民政局,1991-04-05
宜昌市海峡两岸交流促进会,51420500503607541M,社会团体,联合性,宜昌市委台办,宜昌市民政局,1991-04-10
宜昌市律师协会,5142050050360755XD,社会团体,联合性,宜昌市司法局,宜昌市民政局,1993-11-19
宜昌市地质学会,51420500503607568D,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-04-03
宜昌市勘察设计协会,514205005036075843,社会团体,行业协会商会,直接登记,宜昌市民政局,1998-08-27
宜昌市认证认可协会,51420500503607605K,社会团体,专业性,宜昌市科学技术协会,宜昌市民政局,1999-06-21
宜昌市卫生经济学会,51420500503607613E,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,1991-04-06
宜昌市烹饪酒店行业协会,51420500503607656U,社会团体,行业协会商会,直接登记,宜昌市民政局,1998-08-19
宜昌市优秀专家协会,5142050050360771XL,社会团体,联合性,宜昌市人力资源和社会保障局,宜昌市民政局,1998-04-10
宜昌市炎黄文化研究会,51420500503607728L,社会团体,学术性,中共宜昌市委办公室,宜昌市民政局,1995-01-06
宜昌市老区建设促进会,51420500503607787P,社会团体,联合性,宜昌市乡村振兴局,宜昌市民政局,1995-06-23
宜昌市老年书画家协会,51420500503607947Y,社会团体,专业性,宜昌市老干部局,宜昌市民政局,1999-03-01
宜昌市广播电视学会,51420500503607963L,社会团体,学术性,宜昌市文化和旅游局,宜昌市民政局,1991-03-29
宜昌市烟草学会,514205005036079987,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1998-09-02
宜昌市桥牌协会,51420500503608050E,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,1991-09-10
宜昌市水利学会,51420500503608069B,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-03-27
宜昌市气象学会,514205005036080851,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-03-27
宜昌市二中师生联谊会,51420500503608093U,社会团体,联合性,宜昌市教育局,宜昌市民政局,1995-08-24
宜昌市学雷锋协会,51420500503608106H,社会团体,联合性,中共宜昌市委社会工作部,宜昌市民政局,2003-10-14
宜昌市城市管理协会,514205005036081227,社会团体,行业协会商会,直接登记,宜昌市民政局,2003-12-11
宜昌市华中科技大学校友会,514205005036081302,社会团体,联合性,宜昌市教育局,宜昌市民政局,2004-03-26
宜昌市网球协会,5142050050360819X2,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2004-05-11
宜昌市羽毛球协会,51420500503608210M,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2004-06-03
宜昌市中西医结合学会,51420500503608237D,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2004-07-07
宜昌市防痨协会,514205005036082458,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2002-06-20
宜昌市慈善总会,51420500503608288M,社会团体,联合性,宜昌市民政局,宜昌市民政局,1998-10-12
宜昌市海外联谊会,51420500503608296G,社会团体,联合性,中共宜昌市委统战部,宜昌市民政局,1992-11-09
宜昌市家庭教育研究会,514205005036083171,社会团体,学术性,宜昌市妇女联合会,宜昌市民政局,1991-05-31
宜昌市抗癌协会,51420500503608325U,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,1991-04-05
宜昌市思想政治工作研究会,51420500503608333N,社会团体,学术性,中共宜昌市委宣传部,宜昌市民政局,1991-04-16
宜昌市新闻工作者协会,5142050050360835X9,社会团体,联合性,中共宜昌市委宣传部,宜昌市民政局,1991-08-05
宜昌市老年人体育协会,514205005036083689,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,1991-05-28
宜昌市武术协会,51420500503608448W,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,1991-03-29
宜昌市摔柔拳跆散打协会,51420500503608472D,社会团体,专业性,宜昌市文化和旅游局,宜昌市民政局,1995-05-16
宜昌市铸造学会,514205005036084808,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2003-11-26
宜昌市冬泳协会,51420500503608501Q,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,1995-05-16
宜昌市食用菌协会,5142050050360851XG,社会团体,联合性,宜昌市科学技术协会,宜昌市民政局,1993-10-14
宜昌市老干部京剧联谊会,51420500503608536B,社会团体,联合性,宜昌市老干部局,宜昌市民政局,2000-01-05
宜昌市基督教三自爱国运动委员会,51420500503608560U,社会团体,专业性,宜昌市民宗委,宜昌市民政局,1991-04-10
宜昌市一中校友联谊会,51420500503608595E,社会团体,联合性,宜昌市教育局,宜昌市民政局,2000-09-20
宜昌市基督教协会,51420500503608616Y,社会团体,专业性,宜昌市民宗委,宜昌市民政局,2000-10-24
宜昌市物业管理协会,514205005036086752,社会团体,行业协会商会,直接登记,宜昌市民政局,2001-09-14
宜昌市信鸽协会,51420500503608683W,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,1995-05-16
宜昌市图书馆学会,51420500503608747T,社会团体,学术性,宜昌市社科联,宜昌市民政局,1991-07-03
宜昌市群众文化学会,51420500503608771B,社会团体,学术性,宜昌市文化和旅游局,宜昌市民政局,1991-06-03
宜昌市环境科学学会,5142050050360878X3,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-04-02
宜昌市天主教爱国会,514205005036087983,社会团体,联合性,宜昌市民宗委,宜昌市民政局,1991-04-10
宜昌市人民对外友好协会,51420500503608851Y,社会团体,联合性,中共宜昌市委外事工作委员会办公室,宜昌市民政局,1991-05-04
宜昌市中共党史学会,51420500503608886H,社会团体,学术性,宜昌市史志研究中心,宜昌市民政局,2012-07-12
宜昌市天麻协会,514205005036089072,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2002-02-28
宜昌市三峡茶文化研究会,51420500503608915W,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2002-03-15
宜昌市足球协会,51420500503608923P,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2002-04-01
宜昌市妇幼保健和计划生育学会,51420500503608931J,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2002-03-29
宜昌市见义勇为促进会,51420500503608982T,社会团体,联合性,中共宜昌市委政法委,宜昌市民政局,2002-05-15
宜昌市医学会,51420500503609029E,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2002-06-20
宜昌市药学会,514205005036090379,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2002-06-20
宜昌市预防医学会,514205005036090454,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2002-06-20
宜昌市美术家协会,5142050050360907XH,社会团体,专业性,宜昌市文联,宜昌市民政局,2002-07-01
宜昌市摄影家协会,51420500503609088H,社会团体,专业性,宜昌市文联,宜昌市民政局,2002-06-14
宜昌市观赏石协会,51420500503609117W,社会团体,联合性,宜昌市文联,宜昌市民政局,2002-08-09
宜昌市武汉大学校友会,51420500503609125P,社会团体,联合性,宜昌市教育局,宜昌市民政局,2002-08-22
宜昌市延安精神研究会,5142050050360915X5,社会团体,学术性,宜昌市社科联,宜昌市民政局,2002-10-16
宜昌市民建企业家协会,51420500503609184T,社会团体,联合性,宜昌市民建,宜昌市民政局,2002-11-22
宜昌市保险行业协会,51420500503609192M,社会团体,行业协会商会,国家金融监督管理总局宜昌监管分局,宜昌市民政局,2002-11-28
宜昌市体育舞蹈协会,514205005036092211,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2002-12-23
宜昌市安全生产协会,5142050050360923XQ,社会团体,行业协会商会,直接登记,宜昌市民政局,2002-12-27
宜昌市篮球协会,51420500503609264E,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2003-02-20
宜昌市旅游协会,514205005036092729,社会团体,行业协会商会,直接登记,宜昌市民政局,2003-02-25
宜昌市成品油流通行业协会,514205005036092804,社会团体,行业协会商会,直接登记,宜昌市民政局,2003-02-25
宜昌市基层法律服务工作者协会,514205005036092991,社会团体,联合性,宜昌市司法局,宜昌市民政局,2003-03-14
宜昌市爆破器材暨工程行业协会,51420500503609483Q,社会团体,行业协会商会,直接登记,宜昌市民政局,2005-04-18
宜昌市农资行业协会,51420500503609598Y,社会团体,行业协会商会,宜昌市供销社,宜昌市民政局,2005-11-16
宜昌市温州商会,51420500503609600J,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2005-11-18
宜昌市音乐家协会,51420500503609619F,社会团体,专业性,宜昌市文联,宜昌市民政局,2005-12-31
宜昌市自行车运动协会,514205005036096355,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2002-02-19
宜昌市医师协会,5142050050360966XJ,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2006-04-29
宜昌市柑桔产业协会,51420500503609686D,社会团体,行业协会商会,直接登记,宜昌市民政局,2006-08-01
宜昌市女企业家协会,51420500503609715Q,社会团体,联合性,宜昌市妇女联合会,宜昌市民政局,2006-08-01
宜昌市反邪教协会,514205005036097586,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2006-09-22
宜昌市农村经济学会,51420500503609790H,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2006-12-22
宜昌市恩施商会,514205005036098112,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2007-01-05
宜昌市家居商会,514205005036098892,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2007-06-04
宜昌市福州商会,514205005036099343,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2007-12-20
宜昌市诗歌诗词协会,51420500503609942X,社会团体,联合性,宜昌市文联,宜昌市民政局,2007-10-22
宜昌市汽配机电商会,51420500503609969M,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2008-03-07
宜昌市包装饮用水商会,51420500503609985B,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2008-04-17
宜昌市志愿者协会,5142050050361002X3,社会团体,联合性,共青团宜昌市委,宜昌市民政局,2008-06-23
宜昌市泉州商会,514205005036100383,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2008-07-07
宜昌市商业联合会,51420500503610046X,社会团体,行业协会商会,直接登记,宜昌市民政局,2008-08-28
宜昌市舞蹈家协会,51420500503610054Q,社会团体,专业性,宜昌市文联,宜昌市民政局,2008-09-27
宜昌市残疾人体育协会,51420500503610062K,社会团体,联合性,宜昌市残疾人联合会,宜昌市民政局,2008-11-12
宜昌市残疾人文学艺术协会,51420500503610070E,社会团体,专业性,宜昌市文联,宜昌市民政局,2008-11-12
宜昌市电子商务协会,514205005036100976,社会团体,行业协会商会,宜昌市科学技术协会,宜昌市民政局,2009-02-17
宜昌市肢残人协会,51420500503610134C,社会团体,联合性,宜昌市残疾人联合会,宜昌市民政局,2009-07-13
宜昌市汽车摩托车运动协会,514205005036101502,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2009-08-26
宜昌市蔬菜产业协会,51420500503610169Y,社会团体,行业协会商会,直接登记,宜昌市民政局,2010-04-29
宜昌市心理学会,51420500503610177R,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2009-10-27
宜昌市家庭服务业协会,514205005036102065,社会团体,行业协会商会,直接登记,宜昌市民政局,2009-11-20
宜昌市佛教协会,51420500503610222T,社会团体,联合性,宜昌市民宗委,宜昌市民政局,2010-03-01
宜昌市青年企业家协会,51420500503610230M,社会团体,行业协会商会,直接登记,宜昌市民政局,2010-04-15
宜昌市台州商会,51420500503610257D,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2010-05-21
宜昌市银行业协会,514205005036102658,社会团体,行业协会商会,国家金融监督管理总局宜昌监管分局,宜昌市民政局,2010-06-08
宜昌市机器人协会,5142050050361029XM,社会团体,专业性,宜昌市科学技术协会,宜昌市民政局,2010-09-20
宜昌市文物博物馆协会,514205005036103296,社会团体,学术性,宜昌市文化和旅游局,宜昌市民政局,2011-01-26
宜昌市书法家协会,51420500503610513X,社会团体,联合性,宜昌市文联,宜昌市民政局,2011-06-13
宜昌市测绘行业协会,5142050050361053XG,社会团体,行业协会商会,直接登记,宜昌市民政局,2011-08-11
宜昌市山东商会,51420500503610556B,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2011-10-25
宜昌市户外运动与探险协会,514205005036105646,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2011-11-15
宜昌市业余无线电协会,514205005882010804,社会团体,专业性,宜昌市科学技术协会,宜昌市民政局,2011-12-20
宜昌市钢材商会,51420500588216290C,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2011-12-29
宜昌市司法鉴定协会,514205005882186081,社会团体,专业性,宜昌市司法局,宜昌市民政局,2011-12-27
宜昌市象棋协会,514205005942063474,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2012-04-09
宜昌市癌症康复协会,51420500597165069J,社会团体,联合性,宜昌市卫生健康委员会,宜昌市民政局,2012-05-31
宜昌市饲料行业协会,51420500597170044L,社会团体,行业协会商会,直接登记,宜昌市民政局,2012-06-06
宜昌市围棋协会,51420500597190256N,社会团体,专业性,宜昌市文化和旅游局,宜昌市民政局,2012-06-15
宜昌市空手道协会,51420500673654252K,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2008-01-17
宜昌市印刷协会,51420500728291293R,社会团体,行业协会商会,中共宜昌市委宣传部,宜昌市民政局,2001-04-16
宜昌市道路运输协会,51420500767449508B,社会团体,行业协会商会,直接登记,宜昌市民政局,2009-01-04
宜昌市侨商会,514205007959350283,社会团体,行业协会商会,宜昌市侨联,宜昌市民政局,2007-05-28
宜昌市收藏家协会,51420500B74296721U,社会团体,联合性,宜昌市社科联,宜昌市民政局,1995-11-29
宜昌市人民政协理论研究会,51420500B74297951H,社会团体,学术性,宜昌市政协办,宜昌市民政局,2012-08-28
宜昌市公证协会,51420500MJH552403K,社会团体,联合性,宜昌市司法局,宜昌市民政局,2016-05-05
宜昌市龙舟暨漂流协会,51420500MJH552411E,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2016-05-25
宜昌市导游协会,51420500MJH55242X6,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2016-05-27
宜昌市黄冈商会,51420500MJH5524386,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2016-06-14
宜昌市跑步运动协会,51420500MJH552454U,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2016-07-18
宜昌市旗袍艺术协会,51420500MJH552470H,社会团体,联合性,宜昌市妇女联合会,宜昌市民政局,2016-07-27
宜昌市铁人三项运动协会,51420500MJH552489E,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2016-08-25
宜昌市休闲农业与乡村旅游协会,51420500MJH5524979,社会团体,行业协会商会,直接登记,宜昌市民政局,2016-08-25
宜昌市登山户外运动协会,51420500MJH55250XR,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2016-09-14
宜昌市机动车检测行业协会,51420500MJH552518R,社会团体,行业协会商会,直接登记,宜昌市民政局,2016-09-27
宜昌市文安之研究会,51420500MJH552526L,社会团体,联合性,宜昌市史志研究中心,宜昌市民政局,2016-11-10
宜昌市网络商务协会,51420500MJH552534F,社会团体,行业协会商会,直接登记,宜昌市民政局,2016-11-10
宜昌市民间文艺家协会,51420500MJH552542A,社会团体,联合性,宜昌市文联,宜昌市民政局,2016-11-10
宜昌市物流协会,51420500MJH5525505,社会团体,行业协会商会,直接登记,宜昌市民政局,2016-11-10
宜昌市文艺评论家协会,51420500MJH5525692,社会团体,联合性,宜昌市文联,宜昌市民政局,2016-11-30
宜昌市曲艺家协会,51420500MJH552577W,社会团体,专业性,宜昌市文联,宜昌市民政局,2016-11-30
宜昌市机动车驾驶员培训行业协会,51420500MJH552585P,社会团体,行业协会商会,直接登记,宜昌市民政局,2016-12-22
宜昌市十堰商会,51420500MJH552593J,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2015-06-18
宜昌市装饰石材商会,51420500MJH5526068,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2016-12-23
宜昌市光彩事业促进会,51420500MJH552630Q,社会团体,专业性,中共宜昌市委统战部,宜昌市民政局,1996-01-24
宜昌市中医药学会,51420500MJH552649M,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2002-06-20
宜昌市志愿服务联合会,51420500MJH552657G,社会团体,联合性,中共宜昌市委社会工作部,宜昌市民政局,2018-07-10
宜昌市护理学会,51420500MJH552665B,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,2002-06-20
宜昌市银企信息互助交流协会,51420500MJH5526736,社会团体,行业协会商会,直接登记,宜昌市民政局,2017-01-18
宜昌市科技企业孵化器协会,51420500MJH55269XQ,社会团体,行业协会商会,直接登记,宜昌市民政局,2017-05-17
宜昌市舞台艺术协会,51420500MJH552702H,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2017-05-22
宜昌市江苏商会,51420500MJH552710C,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2017-06-09
宜昌市营养学会,51420500MJH5527299,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2017-07-21
宜昌市党校教育研究会,51420500MJH5527374,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2017-08-25
宜昌市高新技术企业发展促进会,51420500MJH552745Y,社会团体,行业协会商会,直接登记,宜昌市民政局,2017-08-25
宜昌市软件行业协会,51420500MJH55277XC,社会团体,行业协会商会,直接登记,宜昌市民政局,2017-10-09
宜昌市游泳协会,51420500MJH5527967,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2017-11-28
宜昌市二手车行业协会,51420500MJH552809W,社会团体,行业协会商会,直接登记,宜昌市民政局,2017-11-27
宜昌市汉服文化协会,51420500MJH552817P,社会团体,学术性,宜昌市文化和旅游局,宜昌市民政局,2017-12-14
宜昌市茶艺协会,51420500MJH552833D,社会团体,联合性,宜昌市文联,宜昌市民政局,2018-02-07
宜昌市社会医疗机构协会,51420500MJH5528418,社会团体,行业协会商会,宜昌市卫生健康委员会,宜昌市民政局,2018-03-20
宜昌市山西商会,51420500MJH55285X0,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2018-03-20
宜昌市昭君文化促进会,51420500MJH5528680,社会团体,学术性,宜昌市文化和旅游局,宜昌市民政局,2018-05-07
宜昌市茶产业协会,51420500MJH552876T,社会团体,行业协会商会,直接登记,宜昌市民政局,2018-05-07
宜昌市心理咨询师协会,51420500MJH552884M,社会团体,专业性,宜昌市科学技术协会,宜昌市民政局,2018-05-24
宜昌市无人机科普协会,51420500MJH5529131,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,2018-06-07
宜昌市电动车行业协会,51420500MJH552921U,社会团体,行业协会商会,直接登记,宜昌市民政局,2018-08-09
宜昌市荆门商会,51420500MJH552948K,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2018-09-30
宜昌市影视家协会,51420500MJH552956E,社会团体,联合性,宜昌市文联,宜昌市民政局,2018-09-30
宜昌市水利工程建设协会,51420500MJH5529649,社会团体,行业协会商会,直接登记,宜昌市民政局,2018-10-22
宜昌市文艺志愿者协会,51420500MJH552999U,社会团体,联合性,宜昌市文联,宜昌市民政局,2018-10-26
宜昌市门球协会,51420500MJH553000T,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2018-11-16
宜昌市气排球协会,51420500MJH553019P,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2018-11-14
宜昌市义工联合会,51420500MJH553027J,社会团体,联合性,直接登记,宜昌市民政局,2019-01-28
