xh,xsq,jgmc,dz,cws,xfst,kfll,rjzl,smfw,qt,jgsx,lxdh,hyzgbm,jddh,gfwx
30,宜都市,松宜矿区官渡坪社区居家养老服务站,宜都市-松宜矿区-官渡坪社区,5,0,0,1,0,棋牌室、阅览室,社区,18086386589,宜都市民政局,0717-4830735,
31,宜都市,松宜矿区石家湾社区居家养老服务站,宜都市-松宜矿区-石家湾社区,7,0,0,1,0,棋牌室、阅览室,社区,18871611683,宜都市民政局,0717-4830735,
32,宜都市,松宜矿区王家湾社区居家养老服务站,宜都市-松宜矿区-王家湾社区,5,0,0,1,0,,社区,15997572590,宜都市民政局,0717-4830735,
33,宜都市,松宜矿区铁路社区居家养老服务站,宜都市-松宜矿区-铁路社区,6,0,0,1,0,,社区,18827267409,宜都市民政局,0717-4830735,
34,宜都市,松宜矿区鸽子潭社区居家养老服务站,宜都市-松宜矿区-鸽子潭社区,5,0,0,1,0,,社区,15872551860,宜都市民政局,0717-4830735,
35,宜都市,五眼泉镇社区居家养老服务站,宜都市-五眼泉镇-五眼泉社区,5,0,0,1,0,,社区,13886692229,宜都市民政局,0717-4830735,
36,枝江市,枝江市马家店街道七口堰社区居家养老服务中心,枝江市-马家店街道,28,1,0,1,1,,街道（乡镇）,13972543828,枝江市民政局,"0717-4220075
",
37,枝江市,丹阳社区居家养老服务站（清柠）,枝江市-马家店街道-丹阳社区,14,1,1,1,0,,社区,18872501075,枝江市民政局,"0717-4220075
",
38,枝江市,白鸭寺社区居家养老服务站,枝江市-马家店街道-白鸭寺社区,17,1,0,1,0,,社区,15072508835,枝江市民政局,"0717-4220075
",
39,枝江市,计划社区居家养老服务站,枝江市-马家店街道-计划社区,23,1,0,1,0,,社区,18571008056,枝江市民政局,"0717-4220075
",
40,枝江市,拽车社区居家养老服务站,枝江市-马家店街道-拽车社区,23,1,0,1,0,,社区,18771795565,枝江市民政局,"0717-4220075
",
41,枝江市,拽车社区居家养老服务站,枝江市-马家店街道-拽车社区,20,1,0,1,0,,社区,18771795565,枝江市民政局,"0717-4220075
",
42,枝江市,熊家窑社区居家养老服务站,枝江市-马家店街道-熊家窑社区,5,1,0,1,0,,社区,13647279670,枝江市民政局,"0717-4220075
",
43,枝江市,五柳树社区居家养老服务站,枝江市-马家店街道-五柳树社区,5,1,0,1,0,,社区,16671736367,枝江市民政局,"0717-4220075
",
44,枝江市,余家溪居家养老服务站,枝江市-马家店街道-余家溪社区,5,1,0,1,0,,社区,16671735944,枝江市民政局,"0717-4220075
",
45,枝江市,谦泰吉居家养老服务站,枝江市-马家店街道-谦泰吉社区,5,1,0,1,0,,社区,13477171728,枝江市民政局,"0717-4220075
",
46,枝江市,七口堰社区居家养老服务站,枝江市-马家店街道-七口堰社区,5,0,0,1,0,,社区,15872497790,枝江市民政局,"0717-4220075
",
47,枝江市,杨家垱社区居家养老服务站,枝江市-马家店街道-杨家垱社区,10,1,0,1,0,,社区,16671734544,枝江市民政局,"0717-4220075
",
48,枝江市,江口社区居家养老服务站,枝江市-马家店街道-江口社区,10,1,0,1,0,,社区,16671734561,枝江市民政局,"0717-4220075
",
49,枝江市,沱江社区居家养老服务站,枝江市-马家店街道-沱江社区,10,1,0,1,0,,社区,19972750141,枝江市民政局,"0717-4220075
",
50,枝江市,双寿桥社区居家养老服务站,枝江市-马家店街道-双寿桥社区,15,1,0,1,0,,社区,15671060399,枝江市民政局,"0717-4220075
",
51,枝江市,丰坪巷社区居家养老服务站,枝江市-马家店街道-丰坪巷社区,12,1,0,1,0,,社区,13972557960,枝江市民政局,"0717-4220075
",
52,枝江市,清滩堰社区居家养老服务站,枝江市-马家店街道-清滩堰社区,15,1,0,1,0,,社区,16671737511,枝江市民政局,"0717-4220075
",
53,枝江市,董市社区居家养老服务站,枝江市-董市镇-董市社区,22,0,0,1,0,,社区,15608601466,枝江市民政局,"0717-4220075
",
54,枝江市,董市镇养老综合体居家养老服务中心,枝江市-董市镇,10,1,1,1,0,,街道（乡镇）,15608601466,枝江市民政局,"0717-4220075
",
55,枝江市,姚家港社区居家养老服务站,枝江市-董市镇-姚家港社区,15,0,0,1,0,,社区,13997713719,枝江市民政局,"0717-4220075
",
56,枝江市,高峡新村社区居家养老服务站,枝江市-董市镇-高峡新村社区,20,0,0,1,0,,社区,18995892630,枝江市民政局,"0717-4220075
",
57,枝江市,仙女镇仙女社区居家养老服务中心,枝江市-仙女镇,10,0,1,1,0,,街道（乡镇）,13972557338,枝江市民政局,"0717-4220075
",
58,枝江市,仙女社区居家养老服务站,枝江市-仙女镇-仙女社区,18,0,0,1,0,,社区,13972557338,枝江市民政局,"0717-4220075
",
59,枝江市,西湾社区居家养老服务站,枝江市-仙女镇-西湾社区,20,0,0,1,0,,社区,13886650665,枝江市民政局,"0717-4220075
",
60,枝江市,问安社区居家养老服务站,枝江市-问安镇-问安社区,5,0,0,1,0,,社区,13972045616,枝江市民政局,"0717-4220075
",
61,枝江市,问安镇养老服务综合体居家养老服务中心,枝江市-问安镇,10,1,1,1,1,,街道（乡镇）,15872626657,枝江市民政局,"0717-4220075
",
62,枝江市,顾家店社区居家养老服务站,枝江市-顾家店镇,22,0,0,1,0,,社区,15972721129,枝江市民政局,"0717-4220075
",
63,枝江市,七星台镇养老服务综合体居家养老服务中心,枝江市-七星台镇,10,1,0,0,0,,街道（乡镇）,13972044746,枝江市民政局,"0717-4220075
",
64,枝江市,紫荆岭社区居家养老服务站,枝江市-安福寺镇-紫荆岭社区,5,0,0,1,1,,社区,15629385189,枝江市民政局,"0717-4220075
",
65,枝江市,安福寺社区居家养老服务站,枝江市-安福寺镇-安福寺社区,5,0,0,1,1,,社区,18107177596,枝江市民政局,"0717-4220075
",
66,当阳市,玉阳居家养老服务站,当阳市-玉阳街道办事处,10,1,1,1,0,,社区,13477144322,当阳市民政局,0717-3236953,
67,当阳市,小烟墩集社区居家养老服务中心,当阳市-庙前镇-小烟墩集社区,20,0,0,1,0,,街道（乡镇）,13872454003,当阳市民政局,0717-3236953,
68,当阳市,沙坝河社区居家养老服务站,当阳市-庙前镇-沙坝河社区,10,0,0,1,0,,社区,15971632208,当阳市民政局,0717-3236953,
69,当阳市,过街楼社区居家养老服务站,当阳市-河溶镇-过街楼社区,10,0,0,1,0,,社区,13487275823,当阳市民政局,0717-3236953,
70,当阳市,过街楼社区居家养老服务站,当阳市-河溶镇-过街楼社区,10,0,0,1,0,,社区,13367173636,当阳市民政局,0717-3236953,
71,当阳市,麦城社区居家养老服务站,当阳市-两河镇-麦城社区,10,0,0,1,0,,社区,13997687884,当阳市民政局,0717-3236953,
72,当阳市,淯溪河社区居家养老服务站,当阳市-淯溪镇-淯溪河社区,10,0,0,1,0,,社区,18086222926,当阳市民政局,0717-3236953,
73,当阳市,半月山社区居家养老服务站,当阳市-半月镇-半月山社区,10,0,0,1,1,,社区,15997597268,当阳市民政局,0717-3236953,
74,当阳市,王家店社区居家养老服务站,当阳市-王店镇-王家店社区,10,0,0,1,0,,社区,13545763295,当阳市民政局,0717-3236953,
75,当阳市,王家店社区居家养老服务站,当阳市-王店镇-王家店社区,10,0,0,1,0,,社区,13545763295,当阳市民政局,0717-3236953,
76,当阳市,太子桥居家养老服务中心,当阳市-玉阳街道办事处-太子桥社区,20,1,1,1,1,,街道（乡镇）,15171921025,当阳市民政局,0717-3236953,
77,当阳市,付家岗社区居家养老服务中心,当阳市-玉阳街道办事处-付家岗社区,20,1,1,1,1,,街道（乡镇）,18671720419,当阳市民政局,0717-3236953,
78,当阳市,广家洲社区居家养老服务站,当阳市-玉阳街道办事处-广家洲社区,10,1,1,1,0,,社区,17762887926,当阳市民政局,0717-3236953,
79,当阳市,南门垱社区居家养老服务站,当阳市-玉阳街道办事处-南门垱社区,10,1,1,1,0,,社区,13997653718,当阳市民政局,0717-3236953,
80,当阳市,子龙路社区居家养老服务站,当阳市-玉阳街道办事处-子龙路社区,10,0,0,1,0,,社区,13177084868,当阳市民政局,0717-3236953,
81,当阳市,窑湾社区居家养老服务站,当阳市-玉阳街道办事处-窑湾社区,10,0,1,1,0,,社区,15897539886,当阳市民政局,0717-3236953,
82,当阳市,熊家山居家养老服务站,当阳市-玉阳街道办事处-熊家山社区,61,1,1,1,0,,社区,15090854321,当阳市民政局,0717-3236953,
83,当阳市,东门楼社区居家养老服务站,当阳市-玉阳街道办事处-东门楼社区,8,1,1,1,0,,社区,18162976222,当阳市民政局,0717-3236953,
84,当阳市,香榭里社区居家养老服务站,当阳市-玉阳街道办事处-香榭里社区,10,0,0,1,0,,社区,15171728970,当阳市民政局,0717-3236953,
85,当阳市,锦屏山社区居家养老服务中心,当阳市-坝陵街道办事处-锦屏山社区,20,1,1,1,0,,街道（乡镇）,18171916072,当阳市民政局,0717-3236953,
86,当阳市,慈化寺社区居家养老服务站,当阳市-坝陵街道办事处-慈化寺社区,10,0,0,1,0,,社区,13477116989,当阳市民政局,0717-3236953,
87,当阳市,坝陵桥社区居家养老服务站,当阳市-坝陵街道办事处-坝陵桥社区,10,0,0,1,0,,社区,15090864598,当阳市民政局,0717-3236953,
88,当阳市,娘娘庙社区居家养老服务中心,当阳市-玉泉街道办事处-娘娘庙社区,17,0,0,1,0,,街道（乡镇）,17762990118,当阳市民政局,0717-3236953,
89,当阳市,娘娘庙社区居家养老服务站,当阳市-玉泉街道办事处-娘娘庙社区,6,0,0,1,0,,社区,17762990118,当阳市民政局,0717-3236953,
90,当阳市,月潭河社区居家养老服务站,当阳市-淯溪镇-月潭河社区,10,0,0,1,0,,社区,13545725080,当阳市民政局,0717-3236953,
91,当阳市,镇头山社区居家养老服务站,当阳市-草埠湖镇-镇头山社区,10,0,0,1,0,,社区,17371710756,当阳市民政局,0717-3236953,
92,远安县,鸣凤镇鸣凤社区居家养老服务中心,远安县-鸣凤镇-鸣凤社区,0,0,0,0,0,,街道（乡镇）,13098403220,远安县民政局,0717-3681520,
93,远安县,鸣凤镇安泰社区居家养老服务站,远安县-鸣凤镇-安泰社区,2,0,0,1,0,,社区,13886660136,远安县民政局,0717-3681520,
94,远安县,鸣凤镇东庄坪社区居家养老服务站,远安县-鸣凤镇-东庄坪社区,2,0,0,1,0,,社区,15972728156,远安县民政局,0717-3681520,
95,远安县,鸣凤镇安泰社区居家养老服务站,远安县-鸣凤镇-安泰社区,2,0,0,1,0,,社区,13886660136,远安县民政局,0717-3681520,
96,远安县,鸣凤镇东庄坪社区居家养老服务站,远安县-鸣凤镇-东庄坪社区,2,0,0,1,0,,社区,15972728156,远安县民政局,0717-3681520,
97,远安县,鸣凤镇嫘祖社区居家养老服务站,远安县-鸣凤镇-嫘祖社区,2,0,0,1,0,,社区,13886660128,远安县民政局,0717-3681520,
98,远安县,鸣凤镇栖凤社区居家养老服务站,远安县-鸣凤镇-栖凤社区,2,0,0,1,0,,社区,13227267766,远安县民政局,0717-3681520,
99,远安县,鸣凤镇凤山社区居家养老服务站,远安县-鸣凤镇-凤山社区,2,0,0,1,0,,社区,15871628558,远安县民政局,0717-3681520,
100,远安县,鸣凤镇解放社区居家养老服务站,远安县-鸣凤镇-解放社区,2,0,0,1,0,,社区,15272115229,远安县民政局,0717-3681520,
101,远安县,鸣凤镇航天社区居家养老服务站,远安县-鸣凤镇-航天社区,2,0,0,1,0,,社区,18771762965,远安县民政局,0717-3681520,
102,远安县,花林寺镇花林社区居家养老服务站,远安县-花林寺镇-花林社区,2,0,0,1,0,,社区,13477856009,远安县民政局,0717-3681520,
103,远安县,花林寺镇石头店社区居家养老服务站,远安县-花林寺镇-石头店社区,2,0,0,1,0,,社区,13872642223,远安县民政局,0717-3681520,
104,远安县,旧县镇旧县社区居家养老服务站,远安县-旧县镇-旧县社区,2,0,0,1,0,,社区,13477834899,远安县民政局,0717-3681520,
105,远安县,洋坪镇洋坪社区居家养老服务站,远安县-洋坪镇-洋坪社区,2,0,0,1,0,,社区,15272108493,远安县民政局,0717-3681520,
106,远安县,洋坪镇社区居家养老服务中心,远安县-洋坪镇,0,0,0,0,0,,街道（乡镇）,13098403220,远安县民政局,0717-3681520,
107,远安县,河口乡河口社区居家养老服务站,远安县-河口乡-河口社区,2,0,0,1,0,,社区,15272108277,远安县民政局,0717-3681520,
108,远安县,茅坪场镇晓坪社区居家养老服务站,远安县-茅坪场镇-晓坪社区,2,0,0,1,0,,社区,15171896998,远安县民政局,0717-3681520,
109,远安县,嫘祖镇荷花社区居家养老服务站,远安县-嫘祖镇-荷花社区,2,0,0,1,0,,社区,13986821136,远安县民政局,0717-3681520,
110,远安县,鸣凤镇鸣凤社区居家养老服务中心,远安县-鸣凤镇-鸣凤社区,10,1,0,1,0,,街道（乡镇）,18008608906,远安县民政局,0717-3681520,
111,远安县,鸣凤镇鸣凤社区居家养老服务中心,远安县-鸣凤镇-鸣凤社区,10,1,0,1,0,,街道（乡镇）,18008608906,远安县民政局,0717-3681520,
112,兴山县,古夫镇夫子社区居家养老服务中心,兴山县-古夫镇-夫子社区,10,1,1,1,1,,街道（乡镇）,13997660911,兴山县民政局,"0717-2582780
",
113,兴山县,昭君镇小河社区居家养老服务中心,兴山县-昭君镇-小河社区,5,1,0,1,1,,街道（乡镇）,13872680246,兴山县民政局,"0717-2582780
",
114,兴山县,昭君镇香溪社区居家养老服务中心,兴山县-昭君镇-香溪社区,12,1,1,1,1,,街道（乡镇）,13997660911,兴山县民政局,"0717-2582780
",
115,兴山县,峡口镇居委会居家养老服务中心,兴山县-峡口镇-峡口居委会,10,1,1,1,1,,街道（乡镇）,15071829391,兴山县民政局,"0717-2582780
",
116,兴山县,水月寺镇居委会居家养老服务站,兴山县-水月寺镇-水月寺居委会,5,0,0,1,1,,社区,13872529179,兴山县民政局,"0717-2582780
",
117,兴山县,古夫镇龙珠社区居家养老服务中心,兴山县-古夫镇-龙珠社区,36,1,1,1,1,,街道（乡镇）,13997660911,秭归县民政局,0717-2616759 ,
118,秭归县,茅坪镇综合养老服务中心,秭归县-茅坪镇,10,1,1,1,1,,街道（乡镇）,18995909666,秭归县民政局,0717-2616759 ,
119,秭归县,社区居家养老服务站,秭归县-茅坪镇,10,0,1,1,1,,社区,15272196676,秭归县民政局,0717-2616759 ,
120,秭归县,茅坪镇橘颂社区社区居家养老服务站,秭归县-茅坪镇-橘颂社区,8,0,1,1,1,,社区,15897517000,秭归县民政局,0717-2616759 ,
121,秭归县,茅坪镇龙舟社区社区居家养老服务站,秭归县-茅坪镇-龙舟社区,10,1,1,1,1,,社区,无,秭归县民政局,0717-2616759 ,
122,秭归县,归州镇归州社区居家养老服务站,秭归县-归州镇-归州居委会,4,0,1,1,1,,社区,13872596765,秭归县民政局,0717-2616759 ,
123,秭归县,秭归县屈原镇综合养老服务中心,秭归县-屈原镇,10,1,1,1,1,,街道（乡镇）,13622875878,秭归县民政局,0717-2616759 ,
124,秭归县,秭归县沙镇溪镇综合养老服务中心,秭归县-沙镇溪镇,10,1,1,1,1,,街道（乡镇）,13972012788,秭归县民政局,0717-2616759 ,
125,秭归县,秭归县两河口镇综合养老服务中心,秭归县-两河口镇,30,0,1,1,1,,社区,13997713795,秭归县民政局,0717-2616759 ,
126,秭归县,茅坪镇滨湖社区社区居家养老服务站,秭归县-茅坪镇-滨湖社区,6,0,1,1,1,,社区,13618688733,秭归县民政局,0717-2616759 ,
127,秭归县,茅坪镇丹阳社区居家养老服务站,秭归县-茅坪镇-丹阳社区,8,0,1,1,1,,社区,13986825838,秭归县民政局,0717-2616759 ,
128,秭归县,茅坪镇长宁社区居家养老服务站,秭归县-茅坪镇-长宁社区,8,0,1,1,1,,社区,13886677958,秭归县民政局,0717-2616759 ,
129,秭归县,茅坪镇建平社区社区居家养老服务站,秭归县-茅坪镇-建平社区,4,1,1,1,1,,社区,13972553302,秭归县民政局,0717-2616759 ,
130,秭归县,茅坪镇西楚社区居家养老服务站,秭归县-茅坪镇-西楚社区,6,0,1,1,1,,社区,18272263203,秭归县民政局,0717-2616759 ,
131,秭归县,屈原镇新滩社区居家养老服务站,秭归县-屈原镇-新滩社区,4,0,1,1,1,,社区,18572352827,秭归县民政局,0717-2616759 ,
132,秭归县,郭家坝镇卜庄河社区居家养老服务站,秭归县-郭家坝镇-卜庄河社区,2,0,1,1,1,,社区,15171818905,秭归县民政局,0717-2616759 ,
133,秭归县,沙镇溪社区居家养老服务站,秭归县-沙镇溪镇-沙镇溪居委会,4,0,1,1,1,,社区,15997606265,秭归县民政局,0717-2616759 ,
134,秭归县,秭归县杨林桥镇综合养老服务中心,秭归县-杨林桥镇,10,1,1,1,1,,街道（乡镇）,15872583420,秭归县民政局,0717-2616759 ,
135,长阳土家族自治县,丹水社区社区居家养老服务站,长阳土家族自治县-龙舟坪镇-丹水社区,5,1,1,1,1,,社区,15334055948,长阳土家族自治县民政局,0717-5105559,
136,长阳土家族自治县,桃山社区社区居家养老服务站,长阳土家族自治县-资丘镇-桃山社区,5,1,1,1,1,,社区,13477193922,长阳土家族自治县民政局,0717-5105559,
137,长阳土家族自治县,都镇湾镇养老服务综合体,长阳土家族自治县-都镇湾镇-庄溪村,10,1,1,1,1,,街道（乡镇）,18307173222,长阳土家族自治县民政局,0717-5105559,
138,长阳土家族自治县,贺家坪镇养老服务综合体,长阳土家族自治县-贺家坪镇-七里坪村,10,1,1,1,1,,街道（乡镇）,15586364461,长阳土家族自治县民政局,0717-5105559,
139,长阳土家族自治县,高家堰镇养老服务综合体,长阳土家族自治县-高家堰镇-向日岭村,10,1,1,1,1,,街道（乡镇）,13986830701,长阳土家族自治县民政局,0717-5105559,
140,长阳土家族自治县,渔峡口镇养老服务综合体,长阳土家族自治县-渔峡口镇-渔坪村,10,1,1,1,1,,街道（乡镇）,13477157478,长阳土家族自治县民政局,0717-5105559,
141,长阳土家族自治县,东部城区社区居家养老服务中心,长阳土家族自治县-龙舟坪镇-湖口社区,15,1,1,1,1,,街道（乡镇）,13872496919,长阳土家族自治县民政局,0717-5105559,
142,长阳土家族自治县,花坪社区居家养老服务站,长阳土家族自治县-龙舟坪镇-花坪社区,22,1,1,1,1,,社区,15171855985,长阳土家族自治县民政局,0717-5105559,
143,长阳土家族自治县,湖口社区居家养老服务站,长阳土家族自治县-龙舟坪镇-湖口社区,5,0,1,1,1,,社区,13487211556,长阳土家族自治县民政局,0717-5105559,
144,长阳土家族自治县,板桥铺社区居家养老服务站,长阳土家族自治县-龙舟坪镇-板桥铺社区,5,1,1,1,1,,社区,13545739988,长阳土家族自治县民政局,0717-5105559,
145,长阳土家族自治县,板桥铺社区居家养老服务站江南片区,长阳土家族自治县-龙舟坪镇-板桥铺社区,5,1,1,1,1,,社区,18671738655,长阳土家族自治县民政局,0717-5105559,
146,长阳土家族自治县,白氏坪社区居家养老服务站,长阳土家族自治县-龙舟坪镇-白氏坪社区,5,1,1,1,1,,社区,15171855985,长阳土家族自治县民政局,0717-5105559,
147,长阳土家族自治县,后山社区居家养老服务站,长阳土家族自治县-龙舟坪镇-后山社区,5,1,1,1,1,,社区,15171855985,长阳土家族自治县民政局,0717-5105559,
148,长阳土家族自治县,枫竹园社区居家养老服务站,长阳土家族自治县-龙舟坪镇-枫竹园社区,5,1,1,1,1,,社区,15071809900,长阳土家族自治县民政局,0717-5105559,
149,长阳土家族自治县,何家坪社区居家养老服务站,长阳土家族自治县-龙舟坪镇-何家坪社区,5,1,1,1,1,,社区,13886686658,长阳土家族自治县民政局,0717-5105559,
150,长阳土家族自治县,鸣凤社区居家养老服务站,长阳土家族自治县-龙舟坪镇-鸣凤社区,5,1,1,1,1,,社区,18986838381,长阳土家族自治县民政局,0717-5105559,
151,长阳土家族自治县,花坪社区居家养老服务站向王街,长阳土家族自治县-龙舟坪镇-花坪社区,5,1,1,1,1,,社区,15071809900,长阳土家族自治县民政局,0717-5105559,
152,长阳土家族自治县,四冲湾社区居家养老服务站,长阳土家族自治县-龙舟坪镇-四冲湾社区,5,1,1,1,1,,社区,13997722959,长阳土家族自治县民政局,0717-5105559,
153,长阳土家族自治县,龙门社区居家养老服务站,长阳土家族自治县-龙舟坪镇-龙门社区,5,1,1,1,1,,社区,13972015767,长阳土家族自治县民政局,0717-5105559,
154,长阳土家族自治县,西寺坪社区居家养老服务站,长阳土家族自治县-龙舟坪镇-西寺坪社区,5,1,1,1,1,,社区,13972558982,长阳土家族自治县民政局,0717-5105559,
155,长阳土家族自治县,津洋口社区居家养老服务站,长阳土家族自治县-龙舟坪镇-津洋口社区,5,1,1,1,1,,社区,13669076845,长阳土家族自治县民政局,0717-5105559,
156,长阳土家族自治县,中部城区养老服务综合体,长阳土家族自治县-龙舟坪镇-花坪社区,10,1,1,1,1,,街道（乡镇）,13972023108,长阳土家族自治县民政局,0717-5105559,
157,长阳土家族自治县,龙舟坪镇养老服务综合体,长阳土家族自治县-龙舟坪镇-四冲湾社区,20,1,1,1,1,,街道（乡镇）,15072559815,长阳土家族自治县民政局,0717-5105559,
158,五峰土家族自治县,傅家堰乡社区居家养老服务中心,五峰土家族自治县-傅家堰乡-堰窝子社区,10,1,1,1,1,,街道（乡镇）,13647178789,五峰县土家族自治县民政局,0717-5821156,
159,五峰土家族自治县,渔洋关镇桥河社区居家养老中心,五峰土家族自治县-渔洋关镇-桥河社区,4,0,0,1,0,,社区,18995896868,五峰县土家族自治县民政局,0717-5821156,
160,五峰土家族自治县,五峰镇正街社区居家养老中心,五峰土家族自治县-五峰镇-正街社区,5,0,0,1,0,,社区,18871732996,五峰县土家族自治县民政局,0717-5821156,
161,五峰土家族自治县,渔洋关镇社区居家养老服务中心,五峰土家族自治县-渔洋关镇-三房坪社区,10,1,1,1,1,,街道（乡镇）,13986799958,五峰县土家族自治县民政局,0717-5821156,
162,五峰土家族自治县,五峰镇长坪社区居家养老服务中心,五峰土家族自治县-五峰镇-长坪社区,3,0,0,1,0,,社区,13477125789,五峰县土家族自治县民政局,0717-5821156,
163,五峰土家族自治县,五峰镇社区居家养老服务中心,五峰土家族自治县-五峰镇-北门社区,12,1,1,1,1,,街道（乡镇）,15090912429,五峰县土家族自治县民政局,0717-5821156,
164,五峰土家族自治县,长乐坪镇长乐社区居家养老中心,五峰土家族自治县-长乐坪镇-长乐社区,3,1,1,1,0,,社区,13872683168,五峰县土家族自治县民政局,0717-5821156,
165,五峰土家族自治县,渔洋关镇大房坪社区幸福院,五峰土家族自治县-渔洋关镇-大房坪社区,21,0,0,1,0,,社区,13872566319,五峰县土家族自治县民政局,0717-5821156,
166,五峰土家族自治县,五峰镇北门社区居家养老中心,五峰土家族自治县-五峰镇-北门社区,5,0,0,1,0,,社区,15090912429,五峰县土家族自治县民政局,0717-5821156,
167,五峰土家族自治县,牛庄乡集镇社区居家养老中心,五峰土家族自治县-牛庄乡-集镇社区,5,0,0,1,0,,社区,18995878648,五峰县土家族自治县民政局,0717-5821156,
168,夷陵区,三斗坪镇社区居家养老服务站,夷陵区-三斗坪镇-三斗坪社区,2,0,0,0,0,,社区,13085165626,夷陵区民政局,0717-7819238,
