xh,px,xsq,bynd,bysj
164,3,远安县,48,2024年11月
165,4,夷陵区,49,2024年11月
166,5,长阳县,50,2024年11月
167,6,高新区,51,2024年11月
168,7,西陵区,52,2024年11月
169,8,当阳市,53,2024年11月
170,9,枝江市,54,2024年11月
171,10,猇亭区,56,2024年11月
172,10,点军区,56,2024年11月
173,11,伍家岗区,57,2024年11月
174,12,宜都市,60,2024年11月
175,,国家考核区域,53,2024年11月
176,,全市平均,49,2024年11月
177,1,秭归县,57,2024年12月
178,1,兴山县,57,2024年12月
179,2,五峰县,62,2024年12月
180,3,长阳县,80,2024年12月
181,4,枝江市,81,2024年12月
182,5,远安县,82,2024年12月
183,6,*猇亭区,83,2024年12月
184,7,*伍家岗区,83,2024年12月
185,8,*西陵区,85,2024年12月
186,9,*夷陵区,88,2024年12月
187,10,宜都市,89,2024年12月
188,11,*高新区,91,2024年12月
189,11,*点军区,91,2024年12月
190,12,当阳市,100,2024年12月
191,,国家考核区域,87,2024年12月
192,,全市平均,81,2024年12月
193,1,兴山县,67,2025年1月
194,2,五峰县,71,2025年1月
195,3,秭归县,89,2025年1月
196,4,*猇亭区,106,2025年1月
197,5,枝江市,113,2025年1月
198,5,*伍家岗区,113,2025年1月
199,6,*西陵区,115,2025年1月
200,6,远安县,115,2025年1月
201,7,*夷陵区,118,2025年1月
202,7,长阳县,118,2025年1月
203,8,宜都市,121,2025年1月
204,9,*高新区,123,2025年1月
205,10,*点军区,124,2025年1月
206,11,当阳市,129,2025年1月
207,,主城区平均,115,2025年1月
208,,全市平均,109,2025年1月
209,1,兴山县,49,2025年2月
210,2,五峰县,51,2025年2月
211,3,秭归县,67,2025年2月
212,4,*猇亭区,74,2025年2月
213,4,*伍家岗区,74,2025年2月
214,5,长阳县,75,2025年2月
215,6,枝江市,78,2025年2月
216,6,*点军区,78,2025年2月
217,7,宜都市,82,2025年2月
218,7,*西陵区,82,2025年2月
219,8,*夷陵区,85,2025年2月
220,8,远安县,85,2025年2月
221,9,*高新区,87,2025年2月
222,10,当阳市,88,2025年2月
223,,国家考核区域,80,2025年2月
224,,全市平均,75,2025年2月
225,1,五峰县,41,2025年3月
226,2,兴山县,44,2025年3月
227,3,秭归县,56,2025年3月
228,4,长阳县,59,2025年3月
229,4,*点军区,60,2025年3月
230,5,*伍家岗区,64,2025年3月
231,6,*西陵区,65,2025年3月
232,7,*高新区,67,2025年3月
233,7,枝江市,67,2025年3月
234,7,远安县,67,2025年3月
235,8,宜都市,68,2025年3月
236,8,*猇亭区,68,2025年3月
237,9,*夷陵区,69,2025年3月
238,10,当阳市,79,2025年3月
239,,国家考核区域,59,2025年3月
240,,全市平均,62,2025年3月
241,1,五峰县,46,2025年4月
242,2,兴山县,55,2025年4月
243,3,*点军区,60,2025年4月
244,4,秭归县,62,2025年4月
245,4,*西陵区,62,2025年4月
246,5,*夷陵区,63,2025年4月
247,6,*高新区,65,2025年4月
248,7,长阳县,66,2025年4月
249,7,枝江市,67,2025年4月
250,7,*伍家岗区,67,2025年4月
251,8,*猇亭区,68,2025年4月
252,8,宜都市,70,2025年4月
253,9,远安县,77,2025年4月
254,10,当阳市,78,2025年4月
255,,国家考核区域,64,2025年4月
256,,全市平均,65,2025年4月
257,1,五峰县,36,2025年5月
258,2,兴山县,42,2025年5月
259,3,秭归县,44,2025年5月
260,4,*点军区,46,2025年5月
261,5,*夷陵区,49,2025年5月
262,6,长阳县,49,2025年5月
263,7,*西陵区,49,2025年5月
264,8,*高新区,50,2025年5月
265,9,宜都市,51,2025年5月
266,10,*伍家岗区,52,2025年5月
267,11,*猇亭区,55,2025年5月
268,12,枝江市,55,2025年5月
269,13,当阳市,57,2025年5月
270,14,远安县,57,2025年5月
271,,国家考核区域,50,2025年5月
272,,全市平均,49,2025年5月
273,1,兴山县,17,2025年6月
274,2,五峰县,18,2025年6月
275,3,当阳市,22,2025年6月
276,4,秭归县,23,2025年6月
277,5,长阳县,24,2025年6月
278,6,枝江市,25,2025年6月
279,7,*点军区,25,2025年6月
280,8,*伍家岗区,25,2025年6月
281,9,*西陵区,26,2025年6月
282,10,*夷陵区,26,2025年6月
283,11,宜都市,27,2025年6月
284,12,*猇亭区,29,2025年6月
285,13,*高新区,29,2025年6月
286,14,远安县,34,2025年6月
287,,国家考核区域,27,2025年6月
288,,全市平均,25,2025年6月
289,1,兴山县,10,2025年7月
290,2,五峰县,16,2025年7月
291,3,秭归县,19,2025年7月
292,4,宜都市,21,2025年7月
293,5,长阳县,21,2025年7月
294,6,*西陵区,22,2025年7月
295,7,*伍家岗区,22,2025年7月
296,8,*点军区,22,2025年7月
297,9,枝江市,23,2025年7月
298,10,*夷陵区,23,2025年7月
299,11,当阳市,25,2025年7月
300,12,*猇亭区,25,2025年7月
301,13,*高新区,25,2025年7月
302,14,远安县,30,2025年7月
303,,国家考核区域,23,2025年7月
304,,全市平均,22,2025年7月
305,1,兴山县,10,2025年8月
306,2,五峰县,15,2025年8月
307,3,长阳县,19,2025年8月
308,4,秭归县,19,2025年8月
309,5,*西陵区,21,2025年8月
310,6,*伍家岗区,21,2025年8月
311,7,*点军区,21,2025年8月
312,8,*夷陵区,23,2025年8月
313,9,宜都市,25,2025年8月
314,10,枝江市,25,2025年8月
315,11,*高新区,25,2025年8月
316,12,*猇亭区,27,2025年8月
317,13,当阳市,29,2025年8月
318,14,远安县,32,2025年8月
319,,国家考核区域,23,2025年8月
320,,全市平均,22,2025年8月
