xh,px,xsq,jsntqzf,bqsj
140,12,*伍家岗区,-2.7,2024年1～10月
141,12,*高新区,-2.7,2024年1～10月
142,12,枝江市,-2.7,2024年1～10月
143,,国家考核区域,-2.9,2024年1～10月
144,,全市平均,-9.1,2024年1～10月
145,1,长阳县,-19.4,2024年1～11月
146,2,当阳市,-16.2,2024年1～11月
147,3,兴山县,-16,2024年1～11月
148,4,猇亭区,-13.5,2024年1～11月
149,5,五峰县,-9.1,2024年1～11月
150,6,远安县,-7.7,2024年1～11月
151,6,宜都市,-7.7,2024年1～11月
152,7,秭归县,-6.9,2024年1～11月
153,8,点军区,-5.9,2024年1～11月
154,9,伍家岗区,-5.3,2024年1～11月
155,10,夷陵区,-2.9,2024年1～11月
156,11,枝江市,-2.7,2024年1～11月
157,12,西陵区,0,2024年1～11月
158,12,高新区,0,2024年1～11月
159,,国家考核区域,-5.6,2024年1～11月
160,,全市平均,-6.1,2024年1～11月
161,1,长阳县,-18.4,2024年1～12月
162,2,当阳市,-15,2024年1～12月
163,3,兴山县,-11.5,2024年1～12月
164,4,*猇亭区,-10.5,2024年1～12月
165,5,五峰县,-8.3,2024年1～12月
166,6,远安县,-7.1,2024年1～12月
167,6,宜都市,-7.1,2024年1～12月
168,7,秭归县,-6.5,2024年1～12月
169,8,*点军区,-5.4,2024年1～12月
170,9,*伍家岗区,-4.9,2024年1～12月
171,10,*西陵区,-2.7,2024年1～12月
172,11,枝江市,-2.6,2024年1～12月
173,12,*高新区,-2.4,2024年1～12月
174,13,*夷陵区,0,2024年1～12月
175,,国家考核区域,-2.6,2024年1～12月
176,,全市平均,-8.3,2024年1～12月
177,1,枝江市,4.7,2025年1～2月
178,2,兴山县,7.9,2025年1～2月
179,3,当阳市,12.1,2025年1～2月
180,4,*夷陵区,12.5,2025年1～2月
181,5,*西陵区,12.7,2025年1～2月
182,6,*点军区,12.9,2025年1～2月
183,7,*伍家岗区,13.6,2025年1～2月
184,8,*高新区,17.4,2025年1～2月
185,9,宜都市,19.4,2025年1～2月
186,10,*猇亭区,19.6,2025年1～2月
187,11,五峰县,25,2025年1～2月
188,12,远安县,30.2,2025年1～2月
189,12,长阳县,30.2,2025年1～2月
190,13,秭归县,31,2025年1～2月
191,,国家考核区域,15.9,2025年1～2月
192,,全市平均,18.2,2025年1～2月
193,1,*点军区,-3.4,2025年1～3月
194,2,枝江市,-3.3,2025年1～3月
195,3,兴山县,0,2025年1～3月
196,3,当阳市,0,2025年1～3月
197,3,*西陵区,0,2025年1～3月
198,3,*夷陵区,0,2025年1～3月
199,4,*高新区,1.5,2025年1～3月
200,5,*伍家岗区,1.6,2025年1～3月
201,6,*猇亭区,9.3,2025年1～3月
202,7,宜都市,10.5,2025年1～3月
203,8,秭归县,14.6,2025年1～3月
204,9,远安县,15,2025年1～3月
205,10,五峰县,15.2,2025年1～3月
206,11,长阳县,16.3,2025年1～3月
207,,国家考核区域,1.7,2025年1～3月
208,,全市平均,3.8,2025年1～3月
209,1,*夷陵区,1.9,2025年1～4月
210,1,枝江市,1.9,2025年1～4月
211,2,*点军区,2,2025年1～4月
212,3,*伍家岗区,5.5,2025年1～4月
213,4,*西陵区,5.8,2025年1～4月
214,5,兴山县,6.5,2025年1～4月
215,6,*高新区,7.1,2025年1～4月
216,7,当阳市,8.5,2025年1～4月
217,8,宜都市,11.8,2025年1～4月
218,9,*猇亭区,12.5,2025年1～4月
219,10,长阳县,18.6,2025年1～4月
220,11,秭归县,18.9,2025年1～4月
221,12,远安县,20,2025年1～4月
222,13,五峰县,20.7,2025年1～4月
223,,国家考核区域,5.8,2025年1～4月
224,,全市平均,8.7,2025年1～4月
225,1,*点军区,0,2025年1～5月
226,2,枝江市,2,2025年1～5月
227,3,*夷陵区,2.1,2025年1～5月
228,4,*伍家岗区,4,2025年1～5月
229,5,*西陵区,4.3,2025年1～5月
230,6,*高新区,5.9,2025年1～5月
231,7,兴山县,6.9,2025年1～5月
232,8,宜都市,10.6,2025年1～5月
233,9,*猇亭区,11.4,2025年1～5月
234,10,秭归县,14.3,2025年1～5月
235,11,当阳市,14.6,2025年1～5月
236,12,长阳县,17.9,2025年1～5月
237,13,五峰县,19.2,2025年1～5月
238,14,远安县,21.9,2025年1～5月
239,,国家考核区域,6.4,2025年1～5月
240,,全市平均,7.1,2025年1～5月
241,1,*点军区,-4.8,2025年1～6月
242,2,*夷陵区,-4.7,2025年1～6月
243,3,*西陵区,-2.3,2025年1～6月
244,4,枝江市,0,2025年1～6月
245,5,*伍家岗区,0,2025年1～6月
246,6,*高新区,2.2,2025年1～6月
247,7,宜都市,4.7,2025年1～6月
248,8,*猇亭区,7.5,2025年1～6月
249,9,兴山县,7.7,2025年1～6月
250,10,秭归县,9.1,2025年1～6月
251,11,当阳市,10.8,2025年1～6月
252,12,长阳县,14.3,2025年1～6月
253,13,五峰县,16.7,2025年1～6月
254,14,远安县,17.2,2025年1～6月
255,,国家考核区域,0,2025年1～6月
256,,全市平均,5.3,2025年1～6月
257,1,*点军区,-5.4,2025年1～7月
258,2,*夷陵区,-5.3,2025年1～7月
259,3,*西陵区,-2.6,2025年1～7月
260,4,*伍家岗区,-2.4,2025年1～7月
261,5,*高新区,2.4,2025年1～7月
262,6,枝江市,2.6,2025年1～7月
263,7,兴山县,4.2,2025年1～7月
264,8,宜都市,5.3,2025年1～7月
265,9,*猇亭区,5.6,2025年1～7月
266,10,当阳市,9.1,2025年1～7月
267,11,秭归县,10.3,2025年1～7月
268,12,远安县,11.1,2025年1～7月
269,13,五峰县,13.6,2025年1～7月
270,14,长阳县,16.1,2025年1～7月
271,,国家考核区域,0,2025年1～7月
272,,全市平均,2.9,2025年1～7月
273,1,*点军区,-5.9,2025年1～8月
274,2,*夷陵区,-5.7,2025年1～8月
275,3,*伍家岗区,-5.3,2025年1～8月
276,4,*西陵区,-2.9,2025年1～8月
277,5,枝江市,0,2025年1～8月
278,6,*高新区,2.6,2025年1～8月
279,7,宜都市,2.8,2025年1～8月
280,8,*猇亭区,3,2025年1～8月
281,9,兴山县,4.5,2025年1～8月
282,10,当阳市,6.5,2025年1～8月
283,11,秭归县,7.1,2025年1～8月
284,12,远安县,8,2025年1～8月
285,13,长阳县,10.3,2025年1～8月
286,14,五峰县,15,2025年1～8月
287,,国家考核区域,0,2025年1～8月
288,,全市平均,0,2025年1～8月
