xh,px,xsq,bynd,bysj
257,1,五峰县,19,2025年5月
258,2,兴山县,23,2025年5月
259,3,*夷陵区,25,2025年5月
260,4,*西陵区,26,2025年5月
261,5,远安县,26,2025年5月
262,6,*点军区,27,2025年5月
263,7,长阳县,27,2025年5月
264,8,秭归县,27,2025年5月
265,9,*猇亭区,29,2025年5月
266,10,宜都市,30,2025年5月
267,11,*伍家岗区,30,2025年5月
268,12,当阳市,31,2025年5月
269,13,*高新区,31,2025年5月
270,14,枝江市,36,2025年5月
271,,国家考核区域,28,2025年5月
272,,全市平均,28,2025年5月
273,1,五峰县,10,2025年6月
274,2,*夷陵区,10,2025年6月
275,3,*西陵区,12,2025年6月
276,4,长阳县,12,2025年6月
277,5,当阳市,13,2025年6月
278,6,兴山县,13,2025年6月
279,7,*点军区,13,2025年6月
280,8,*伍家岗区,13,2025年6月
281,9,*猇亭区,14,2025年6月
282,10,远安县,14,2025年6月
283,11,秭归县,15,2025年6月
284,12,宜都市,16,2025年6月
285,13,*高新区,17,2025年6月
286,14,枝江市,18,2025年6月
287,,国家考核区域,13,2025年6月
288,,全市平均,14,2025年6月
289,1,五峰县,9,2025年7月
290,2,*夷陵区,9,2025年7月
291,3,当阳市,10,2025年7月
292,4,*点军区,10,2025年7月
293,5,*西陵区,10,2025年7月
294,6,远安县,10,2025年7月
295,7,兴山县,11,2025年7月
296,8,长阳县,11,2025年7月
297,9,*猇亭区,12,2025年7月
298,10,*伍家岗区,12,2025年7月
299,11,宜都市,13,2025年7月
300,12,秭归县,13,2025年7月
301,13,枝江市,15,2025年7月
302,14,*高新区,15,2025年7月
303,,国家考核区域,11,2025年7月
304,,全市平均,11,2025年7月
305,1,远安县,8,2025年8月
306,2,五峰县,9,2025年8月
307,3,兴山县,10,2025年8月
308,4,*点军区,10,2025年8月
309,5,长阳县,11,2025年8月
310,6,*夷陵区,11,2025年8月
311,7,*西陵区,12,2025年8月
312,8,当阳市,12,2025年8月
313,9,秭归县,13,2025年8月
314,10,*猇亭区,13,2025年8月
315,11,*伍家岗区,13,2025年8月
316,12,宜都市,14,2025年8月
317,13,*高新区,15,2025年8月
318,14,枝江市,17,2025年8月
319,,国家考核区域,12,2025年8月
320,,全市平均,12,2025年8月
