xh,px,xsq,nd,bqsj
136,7,*点军区,48,2024年1～10月
137,9,*高新区,49,2024年1～10月
138,10,*夷陵区,50,2024年1～10月
139,11,枝江市,51,2024年1～10月
140,12,*猇亭区,55,2024年1～10月
141,13,宜都市,56,2024年1～10月
142,14,当阳市,58,2024年1～10月
143,,国家考核区域,50,2024年1～10月
144,,全市平均,47,2024年1～10月
145,1,五峰县,32,2024年1～11月
146,2,兴山县,35,2024年1～11月
147,3,秭归县,37,2024年1～11月
148,4,长阳县,45,2024年1～11月
149,5,远安县,46,2024年1～11月
150,6,伍家岗区,47,2024年1～11月
151,7,西陵区,48,2024年1～11月
152,7,点军区,48,2024年1～11月
153,8,夷陵区,50,2024年1～11月
154,8,高新区,50,2024年1～11月
155,9,枝江市,51,2024年1～11月
156,10,宜都市,56,2024年1～11月
157,10,猇亭区,56,2024年1～11月
158,11,当阳市,57,2024年1～11月
159,,国家考核区域,50,2024年1～11月
160,,全市平均,47,2024年1～11月
161,1,五峰县,35,2024年1～12月
162,2,兴山县,37,2024年1～12月
163,3,秭归县,39,2024年1～12月
164,4,长阳县,48,2024年1～12月
165,5,远安县,49,2024年1～12月
166,6,*西陵区,51,2024年1～12月
167,6,*伍家岗区,51,2024年1～12月
168,7,*点军区,52,2024年1～12月
169,8,*夷陵区,53,2024年1～12月
170,8,*高新区,53,2024年1～12月
171,9,枝江市,54,2024年1～12月
172,10,*猇亭区,58,2024年1～12月
173,11,宜都市,59,2024年1～12月
174,12,当阳市,61,2024年1～12月
175,,国家考核区域,53,2024年1～12月
176,,全市平均,50,2024年1～12月
177,1,兴山县,58,2025年1～2月
178,2,五峰县,61,2025年1～2月
179,3,秭归县,79,2025年1～2月
180,4,*猇亭区,92,2025年1～2月
181,5,*伍家岗区,95,2025年1～2月
182,6,枝江市,97,2025年1～2月
183,7,长阳县,98,2025年1～2月
184,8,远安县,100,2025年1～2月
185,8,*西陵区,100,2025年1～2月
186,9,*点军区,102,2025年1～2月
187,10,宜都市,103,2025年1～2月
188,10,*夷陵区,103,2025年1～2月
189,11,*高新区,106,2025年1～2月
190,12,当阳市,110,2025年1～2月
191,,国家考核区域,99,2025年1～2月
192,,全市平均,93,2025年1～2月
193,1,五峰县,54,2025年1～3月
194,1,兴山县,54,2025年1～3月
195,2,秭归县,71,2025年1～3月
196,3,长阳县,84,2025年1～3月
197,3,*猇亭区,84,2025年1～3月
198,3,*伍家岗区,84,2025年1～3月
199,4,*点军区,86,2025年1～3月
200,5,枝江市,87,2025年1～3月
201,5,*西陵区,87,2025年1～3月
202,6,远安县,89,2025年1～3月
203,7,宜都市,91,2025年1～3月
204,7,*夷陵区,91,2025年1～3月
205,8,*高新区,92,2025年1～3月
206,9,当阳市,99,2025年1～3月
207,,国家考核区域,86,2025年1～3月
208,,全市平均,82,2025年1～3月
209,1,五峰县,52,2025年1～4月
210,1,兴山县,53,2025年1～4月
211,2,秭归县,68,2025年1～4月
212,3,长阳县,80,2025年1～4月
213,3,*猇亭区,80,2025年1～4月
214,3,*伍家岗区,80,2025年1～4月
215,4,*点军区,81,2025年1～4月
216,5,枝江市,82,2025年1～4月
217,5,*西陵区,82,2025年1～4月
218,6,远安县,85,2025年1～4月
219,7,*夷陵区,85,2025年1～4月
220,7,宜都市,86,2025年1～4月
221,8,*高新区,86,2025年1～4月
222,9,当阳市,93,2025年1～4月
223,,国家考核区域,83,2025年1～4月
224,,全市平均,78,2025年1～4月
225,1,五峰县,49,2025年1～5月
226,2,兴山县,50,2025年1～5月
227,3,秭归县,63,2025年1～5月
228,4,长阳县,73,2025年1～5月
229,5,*点军区,74,2025年1～5月
230,6,*猇亭区,75,2025年1～5月
231,7,*西陵区,75,2025年1～5月
232,8,*伍家岗区,75,2025年1～5月
233,9,枝江市,76,2025年1～5月
234,10,宜都市,79,2025年1～5月
235,11,远安县,79,2025年1～5月
236,12,*夷陵区,79,2025年1～5月
237,13,*高新区,79,2025年1～5月
238,14,当阳市,86,2025年1～5月
239,,国家考核区域,76,2025年1～5月
240,,全市平均,72,2025年1～5月
241,1,五峰县,44,2025年1～6月
242,2,兴山县,45,2025年1～6月
243,3,秭归县,56,2025年1～6月
244,4,长阳县,65,2025年1～6月
245,5,*伍家岗区,65,2025年1～6月
246,6,*点军区,65,2025年1～6月
247,7,*猇亭区,66,2025年1～6月
248,8,*西陵区,66,2025年1～6月
249,9,枝江市,67,2025年1～6月
250,10,*夷陵区,68,2025年1～6月
251,11,宜都市,70,2025年1～6月
252,12,*高新区,70,2025年1～6月
253,13,远安县,71,2025年1～6月
254,14,当阳市,74,2025年1～6月
255,,国家考核区域,67,2025年1～6月
256,,全市平均,64,2025年1～6月
257,1,兴山县,40,2025年1～7月
258,2,五峰县,40,2025年1～7月
259,3,秭归县,50,2025年1～7月
260,4,*西陵区,58,2025年1～7月
261,5,*伍家岗区,58,2025年1～7月
262,6,*点军区,58,2025年1～7月
263,7,长阳县,58,2025年1～7月
264,8,*猇亭区,59,2025年1～7月
265,9,*夷陵区,61,2025年1～7月
266,10,枝江市,61,2025年1～7月
267,11,宜都市,62,2025年1～7月
268,12,*高新区,62,2025年1～7月
269,13,远安县,64,2025年1～7月
270,14,当阳市,66,2025年1～7月
271,,国家考核区域,59,2025年1～7月
272,,全市平均,57,2025年1～7月
273,1,兴山县,36,2025年1～8月
274,2,五峰县,36,2025年1～8月
275,3,秭归县,46,2025年1～8月
276,4,*伍家岗区,52,2025年1～8月
277,5,*点军区,53,2025年1～8月
278,6,*西陵区,53,2025年1～8月
279,7,长阳县,53,2025年1～8月
280,8,*夷陵区,55,2025年1～8月
281,9,*猇亭区,55,2025年1～8月
282,10,枝江市,56,2025年1～8月
283,11,*高新区,57,2025年1～8月
284,12,宜都市,57,2025年1～8月
285,13,远安县,60,2025年1～8月
286,14,当阳市,61,2025年1～8月
287,,国家考核区域,54,2025年1～8月
288,,全市平均,52,2025年1～8月
