xh,px,xsq,jsntqzf,bqsj
91,11,枝江市,7.5,2024年1～7月
92,12,*夷陵区,8.2,2024年1～7月
93,13,*点军区,9.8,2024年1～7月
94,14,宜都市,13.8,2024年1～7月
95,,国家考核区域,5.4,2024年1～7月
96,,全市平均,5.7,2024年1～7月
97,1,*猇亭区,-2.6,2024年1～8月
98,2,兴山县,-1.6,2024年1～8月
99,3,当阳市,1.4,2024年1～8月
100,4,*西陵区,1.4,2024年1～8月
101,5,枝江市,2,2024年1～8月
102,6,远安县,2.1,2024年1～8月
103,7,五峰县,2.6,2024年1～8月
104,8,宜都市,2.8,2024年1～8月
105,9,长阳县,2.8,2024年1～8月
106,10,*点军区,3.3,2024年1～8月
107,11,*伍家岗区,3.4,2024年1～8月
108,12,*高新区,5.1,2024年1～8月
109,13,秭归县,6.5,2024年1～8月
110,14,*夷陵区,6.7,2024年1～8月
111,,国家考核区域,2.7,2024年1～8月
112,,全市平均,2.8,2024年1～8月
113,1,*猇亭区,0.7,2024年1～9月
114,2,兴山县,2.4,2024年1～9月
115,3,*西陵区,2.7,2024年1～9月
116,4,当阳市,2.8,2024年1～9月
117,5,五峰县,3.3,2024年1～9月
118,6,*伍家岗区,3.3,2024年1～9月
119,7,枝江市,3.3,2024年1～9月
120,8,远安县,3.5,2024年1～9月
121,9,*点军区,4.6,2024年1～9月
122,10,宜都市,5.5,2024年1～9月
123,11,秭归县,5.7,2024年1～9月
124,12,*高新区,5.7,2024年1～9月
125,13,*夷陵区,6.7,2024年1～9月
126,14,长阳县,6.9,2024年1～9月
127,,国家考核区域,4,2024年1～9月
128,,全市平均,4.2,2024年1～9月
129,1,*猇亭区,0.7,2024年1～10月
130,2,枝江市,1.3,2024年1～10月
131,3,*西陵区,2,2024年1～10月
132,4,当阳市,2.1,2024年1～10月
133,5,五峰县,2.5,2024年1～10月
134,6,远安县,2.8,2024年1～10月
135,7,兴山县,3.3,2024年1～10月
136,8,*伍家岗区,4,2024年1～10月
137,8,*点军区,4,2024年1～10月
138,10,长阳县,4.8,2024年1～10月
139,10,宜都市,4.8,2024年1～10月
140,12,*高新区,5.1,2024年1～10月
141,13,秭归县,5.8,2024年1～10月
142,14,*夷陵区,6.8,2024年1～10月
143,,国家考核区域,2.6,2024年1～10月
144,,全市平均,3.5,2024年1～10月
145,1,枝江市,-0.7,2024年1～11月
146,2,猇亭区,0,2024年1～11月
147,3,西陵区,1.4,2024年1～11月
148,4,兴山县,2.5,2024年1～11月
149,5,远安县,2.8,2024年1～11月
150,5,当阳市,2.8,2024年1～11月
151,5,宜都市,2.8,2024年1～11月
152,6,点军区,3.3,2024年1～11月
153,7,五峰县,3.4,2024年1～11月
154,8,伍家岗区,4.1,2024年1～11月
155,9,高新区,4.4,2024年1～11月
156,10,夷陵区,5.4,2024年1～11月
157,11,长阳县,5.6,2024年1～11月
158,12,秭归县,6.7,2024年1～11月
159,,国家考核区域,2.7,2024年1～11月
160,,全市平均,3.5,2024年1～11月
161,1,枝江市,-1.4,2024年1～12月
162,2,*猇亭区,0,2024年1～12月
163,3,远安县,2.1,2024年1～12月
164,3,*西陵区,2.1,2024年1～12月
165,4,兴山县,2.5,2024年1～12月
166,5,当阳市,2.9,2024年1～12月
167,6,*伍家岗区,3.4,2024年1～12月
168,7,五峰县,3.5,2024年1～12月
169,7,宜都市,3.5,2024年1～12月
170,8,*点军区,4.1,2024年1～12月
171,9,*高新区,4.5,2024年1～12月
172,10,*夷陵区,4.8,2024年1～12月
173,11,秭归县,6.1,2024年1～12月
174,12,长阳县,6.4,2024年1～12月
175,,国家考核区域,3.4,2024年1～12月
176,,全市平均,2.8,2024年1～12月
177,1,兴山县,-1.1,2025年1～2月
178,2,当阳市,0,2025年1～2月
179,3,枝江市,0.9,2025年1～2月
180,3,五峰县,4.6,2025年1～2月
181,4,远安县,5.1,2025年1～2月
182,5,*夷陵区,8,2025年1～2月
183,6,*伍家岗区,8.2,2025年1～2月
184,7,*点军区,8.7,2025年1～2月
185,7,*猇亭区,8.7,2025年1～2月
186,8,秭归县,8.8,2025年1～2月
187,9,*西陵区,11.2,2025年1～2月
188,10,宜都市,12.2,2025年1～2月
189,11,长阳县,14.6,2025年1～2月
190,12,*高新区,17.5,2025年1～2月
191,,国家考核区域,11.7,2025年1～2月
192,,全市平均,7.4,2025年1～2月
193,1,*点军区,-3.8,2025年1～3月
194,2,*伍家岗区,-3.5,2025年1～3月
195,3,兴山县,-3.1,2025年1～3月
196,4,当阳市,-1.8,2025年1～3月
197,5,*高新区,-1.7,2025年1～3月
198,6,五峰县,0,2025年1～3月
199,6,*西陵区,0,2025年1～3月
200,6,远安县,0,2025年1～3月
201,7,*夷陵区,0.9,2025年1～3月
202,8,秭归县,1.9,2025年1～3月
203,9,枝江市,3.5,2025年1～3月
204,9,长阳县,3.5,2025年1～3月
205,10,*猇亭区,3.6,2025年1～3月
206,11,宜都市,7.7,2025年1～3月
207,,国家考核区域,-3.5,2025年1～3月
208,,全市平均,0.9,2025年1～3月
209,1,*点军区,-4.8,2025年1～4月
210,2,兴山县,-3.8,2025年1～4月
211,3,*高新区,-2.8,2025年1～4月
212,4,*伍家岗区,-2.4,2025年1～4月
213,5,枝江市,-2.2,2025年1～4月
214,6,*夷陵区,2.1,2025年1～4月
215,7,秭归县,2.4,2025年1～4月
216,8,长阳县,3.9,2025年1～4月
217,9,宜都市,4,2025年1～4月
218,10,当阳市,4.8,2025年1～4月
219,11,五峰县,5.6,2025年1～4月
220,12,*西陵区,7.5,2025年1～4月
221,13,远安县,8,2025年1～4月
222,14,*猇亭区,9.4,2025年1～4月
223,,国家考核区域,1.6,2025年1～4月
224,,全市平均,2.4,2025年1～4月
225,1,*伍家岗区,-18.1,2025年1～5月
226,2,*点军区,-13.2,2025年1～5月
227,3,枝江市,-11.2,2025年1～5月
228,4,*夷陵区,-8.2,2025年1～5月
229,5,*高新区,-7.2,2025年1～5月
230,6,兴山县,-7.1,2025年1～5月
231,7,五峰县,-4.9,2025年1～5月
232,8,*西陵区,-4.1,2025年1～5月
233,9,当阳市,-3.3,2025年1～5月
234,10,宜都市,-0.7,2025年1～5月
235,11,*猇亭区,0,2025年1～5月
236,12,秭归县,1.4,2025年1～5月
237,13,长阳县,1.4,2025年1～5月
238,14,远安县,2,2025年1～5月
239,,国家考核区域,-9.2,2025年1～5月
240,,全市平均,-5.4,2025年1～5月
241,1,*点军区,-16.8,2025年1～6月
242,2,枝江市,-11.8,2025年1～6月
243,3,*伍家岗区,-10.3,2025年1～6月
244,4,*夷陵区,-9.8,2025年1～6月
245,5,*高新区,-6.5,2025年1～6月
246,6,*西陵区,-4.6,2025年1～6月
247,7,宜都市,-3.3,2025年1～6月
248,8,五峰县,-2.4,2025年1～6月
249,9,兴山县,-1.6,2025年1～6月
250,10,当阳市,-1.3,2025年1～6月
251,11,*猇亭区,0,2025年1～6月
252,12,远安县,1.3,2025年1～6月
253,13,秭归县,2,2025年1～6月
254,14,长阳县,3.3,2025年1～6月
255,,国家考核区域,-8.3,2025年1～6月
256,,全市平均,-4.6,2025年1～6月
257,1,*点军区,-12.1,2025年1～7月
258,2,枝江市,-11.4,2025年1～7月
259,3,*伍家岗区,-10.3,2025年1～7月
260,4,*夷陵区,-8.2,2025年1～7月
261,5,*高新区,-7.8,2025年1～7月
262,6,*西陵区,-3.4,2025年1～7月
263,7,五峰县,-0.8,2025年1～7月
264,8,远安县,-0.7,2025年1～7月
265,9,*猇亭区,0,2025年1～7月
266,10,宜都市,0,2025年1～7月
267,11,兴山县,0.8,2025年1～7月
268,12,当阳市,1.4,2025年1～7月
269,13,秭归县,3.4,2025年1～7月
270,14,长阳县,3.4,2025年1～7月
271,,国家考核区域,-7.1,2025年1～7月
272,,全市平均,-3.4,2025年1～7月
273,1,*伍家岗区,-9.7,2025年1～8月
274,2,枝江市,-9.1,2025年1～8月
275,3,*点军区,-8.4,2025年1～8月
276,4,*夷陵区,-8.2,2025年1～8月
277,5,*高新区,-7.2,2025年1～8月
278,6,*西陵区,-4,2025年1～8月
279,7,*猇亭区,-3.4,2025年1～8月
280,8,五峰县,-2.5,2025年1～8月
281,9,宜都市,-1.4,2025年1～8月
282,10,远安县,-0.7,2025年1～8月
283,11,当阳市,0,2025年1～8月
284,12,秭归县,0.7,2025年1～8月
285,13,兴山县,0.8,2025年1～8月
286,14,长阳县,2,2025年1～8月
287,,国家考核区域,-6.5,2025年1～8月
288,,全市平均,-4.1,2025年1～8月
