xh,px,xsq,jsntqzf,bysj
245,5,*伍家岗区,12.5,2025年4月
246,5,枝江市,12.5,2025年4月
247,6,*猇亭区,13.3,2025年4月
248,7,*高新区,17.2,2025年4月
249,8,远安县,20,2025年4月
250,9,长阳县,20.8,2025年4月
251,10,秭归县,24,2025年4月
252,11,兴山县,25,2025年4月
253,12,当阳市,48.1,2025年4月
254,13,五峰县,53.3,2025年4月
255,,国家考核区域,10.3,2025年4月
256,,全市平均,19.2,2025年4月
257,1,*夷陵区,-10.7,2025年5月
258,2,*点军区,-10,2025年5月
259,3,*西陵区,-7.1,2025年5月
260,4,*伍家岗区,-3.2,2025年5月
261,5,*猇亭区,0,2025年5月
262,6,*高新区,0,2025年5月
263,7,宜都市,3.4,2025年5月
264,8,秭归县,3.8,2025年5月
265,9,长阳县,8,2025年5月
266,10,枝江市,12.5,2025年5月
267,11,五峰县,18.8,2025年5月
268,12,兴山县,27.8,2025年5月
269,13,远安县,30,2025年5月
270,14,当阳市,47.6,2025年5月
271,,国家考核区域,-3.4,2025年5月
272,,全市平均,7.7,2025年5月
273,1,*夷陵区,-54.5,2025年6月
274,2,*伍家岗区,-45.8,2025年6月
275,3,*西陵区,-45.5,2025年6月
276,4,*点军区,-35,2025年6月
277,5,秭归县,-34.8,2025年6月
278,6,*猇亭区,-33.3,2025年6月
279,7,宜都市,-30.4,2025年6月
280,8,长阳县,-29.4,2025年6月
281,9,*高新区,-29.2,2025年6月
282,10,五峰县,-23.1,2025年6月
283,11,当阳市,-18.8,2025年6月
284,12,远安县,-17.6,2025年6月
285,13,枝江市,-14.3,2025年6月
286,14,兴山县,-13.3,2025年6月
287,,国家考核区域,-40.9,2025年6月
288,,全市平均,-30,2025年6月
289,1,*夷陵区,-18.2,2025年7月
290,2,*西陵区,-9.1,2025年7月
291,3,*伍家岗区,-7.7,2025年7月
292,4,远安县,0,2025年7月
293,5,宜都市,8.3,2025年7月
294,6,*点军区,11.1,2025年7月
295,7,五峰县,12.5,2025年7月
296,8,*高新区,15.4,2025年7月
297,9,秭归县,18.2,2025年7月
298,10,枝江市,25,2025年7月
299,11,*猇亭区,33.3,2025年7月
300,12,兴山县,37.5,2025年7月
301,13,当阳市,42.9,2025年7月
302,14,长阳县,57.1,2025年7月
303,,国家考核区域,0,2025年7月
304,,全市平均,10,2025年7月
305,1,当阳市,-45.5,2025年8月
306,2,远安县,-38.5,2025年8月
307,3,*点军区,-28.6,2025年8月
308,4,*伍家岗区,-27.8,2025年8月
309,5,*西陵区,-25,2025年8月
310,6,宜都市,-22.2,2025年8月
311,7,*高新区,-21.1,2025年8月
312,8,秭归县,-18.8,2025年8月
313,9,五峰县,-18.2,2025年8月
314,10,兴山县,-16.7,2025年8月
315,11,长阳县,-15.4,2025年8月
316,12,*猇亭区,-13.3,2025年8月
317,13,*夷陵区,-8.3,2025年8月
318,14,枝江市,-5.6,2025年8月
319,,国家考核区域,-25,2025年8月
320,,全市平均,-25,2025年8月
