xh,ssxq,xxmc,szdq,xxlb,xxxz,sjzgbm,adress,link_phone,Complaint_Hotline,Zip_code,zsfs,xxjj,szf,xzf,zzs,official_website,wxewm,xxzp
129,,"宜昌市深圳路小学(三峡大学附属深圳路小学
)",宜昌高新区,小学,公办,宜昌高新区管委会教育局,湖北省宜昌市城东大道11号,0717-6343220,0717-6985127,443000,统一招生,"宜昌市深圳路小学于2002年由宜昌市政府批准成立，地处宜昌市西陵区城东大道11号（宜昌高新区东山园区），2022年1月宜昌市委编办正式批复同意加挂“三峡大学附属深圳路小学”校名。
学校占地面积13333平方米，建筑面积8327平方米，校园绿化4700平方米。主要服务于宜昌高新区城东社区、北苑桥社区（不含怡景华园、北苑小区、东篱小区）、东山花园社区、深圳路社区（不含楠海花园、翰林苑和中南苑）的适龄儿童。现有37个教学班，1936名学生，在编在岗教师99名，平均年龄37岁。其中，研究生学历5人，本科学历82人；高级教师5人，一级教师45人。
学校在区教育局确定的“高品质.创新型”的工作目标引领下，采用卓越绩效管理模式科学管理，坚持“质量立校、文化兴校、特色强校”治校方略，牢固树立“教师发展学校、学校服务教师”管理理念，用心探索“科学管理、优质发展”管理模式，用规范、精细的要求落实工作，用信任、开放的理念管理校园，做到校园环境改善与校园文化建设同步，推进“五育”并举与培养核心素养同步，落实“双减”政策与课堂提质增效同步，形成了“合作、奉献、务实”的优良校风，实现了办学水平与办学成效的双赢。
学校先后荣获全国足球特色学校、全国篮球特色学校、湖北省文明校园、宜昌市人民群众满意学校、宜昌市德育品牌学校、宜昌市诗意校园、宜昌市教育现代化先进学校、宜昌市法治建设示范学校、宜昌市家庭教育工作示范学校、宜昌市第二届教育质量提名奖、区先进基层党组织等荣誉。
学校将坚持“以人为本、稳中求进、全面提质”的工作基调，走“抓内涵促发展、强管理创特色”的发展之路，创办管理更加精细、特色更加鲜明、品牌更加稳固的优质学校。",0,0,0,无,https://data.yichang.gov.cn/karma/pic/262d066c-f52e-4c0f-92c4-b46157ff35c8.jpeg,https://data.yichang.gov.cn/karma/pic/598c3e60-8134-4b49-816a-ef60219e2dc2.jpeg
130,,宜昌市珠海路小学,宜昌高新区,小学,公办,宜昌高新区管委会教育局,宜昌市珠海路1号,0717-6212918,0717-6985127,443000,统一招生,宜昌市珠海路小学位于珠海路1号，是宜昌市高新区的一所公办小学。校园占地面积25亩，建筑面积11840平方米，初定教学班24个，可容纳1000多名学生。学校设施设备齐备，每个教室都装配多媒体教学平台，同时还建有人工智能创客教室、科学实验室等信息化功能室。学校将在“一切为了人的发展”的办学理念指导下，以“培养身心健康、品德优良、适应未来发展的创新型人才”为办学目标，让每一位学生都健康快乐成长。,0,0,0,无,https://data.yichang.gov.cn/karma/pic/e57f7b36-d331-479c-b931-5e9083000b8b.jpeg,https://data.yichang.gov.cn/karma/pic/c9b8cd15-e101-40e1-beb3-390f9f226e41.jpeg
131,/,宜昌市南苑实验小学,西陵区,小学,公办,宜昌市西陵区教育局,湖北省宜昌市西陵区港窑路27号,0717-6331103,0717-6985127,443000,统一招生,"东山脚下，运河之畔。宜昌市南苑实验小学（原宜昌高新区实验小学）如一颗教育明珠，璀璨闪耀。学校办学历史悠久，其前身由809厂子弟学校与515厂子弟学校合并，于2004年交由宜昌高新区管理。2025年1月，宜昌高新区实验小学更名为宜昌市南苑实验小学，变由宜昌西陵区管理。 学校历年教学质量突出，2011届毕业生张儒君从小学一路高歌奋进，荣膺宜昌市高考状元。2015年，两名拾金不昧的学生荣获“十大民选新闻人物”称号。 学校现有30个教学班， 1500余名学生。在编教师88人，其中高级教师7人，一级教师31人，市级、区级师德标兵、明星班主任、学科带头人、骨干教师、“1+1+N""学科中心组成员等优秀教师近40人，党员教师43人，占教师总数近50%。 近年来，学校先后荣获“国家‘双有’工作先进集体”、“宜昌市爱国卫生先进单位”、“宜昌市文明先进单位”、“宜昌市体艺特色项目先进学校”、“宜昌市教育技术工作先进单位”、“六五普法先进单位”、“宜昌市消防安全示范学校”等50多项荣誉。",0,0,0,无,https://data.yichang.gov.cn/karma/pic/3b2ccb9f-2cfc-4762-8518-e72c3ac0dcee.jpeg,https://data.yichang.gov.cn/karma/pic/a34b29bf-27f1-41c8-aa92-bfa1626c464f.jpeg
132,,宜昌市毓秀路小学,宜昌高新区,小学,公办,宜昌高新区管委会教育局,宜昌高新区生物产业园毓秀路6号,15971636830,0717-6985127,443000,统一招生,宜昌市毓秀路小学（原梅花小学），位于宜昌高新区生物产业园毓秀路6号，项目总投资1个亿，与夷陵中学相依而建，设计规模36个教学班，可容纳学生1620名。2022年秋季招生开学。这是高新区一所拥有得天独厚区位优势的新建公办小学，从基础设施建设开始就从“高起点”出发，内设开放式图书阅览室、人工智能创客室、科学信息化功能室等设施设备，是一所能满足学生未来发展需求的创新型智慧校园。,0,0,0,无,https://data.yichang.gov.cn/karma/pic/3a8061e4-c2ff-44fe-8689-c26147b13110.jpeg,https://data.yichang.gov.cn/karma/pic/4f1593b9-f5f6-43ea-b35d-5d40cbd8cc70.jpeg
133,,宜昌高新技术产业开发区白洋小学,宜昌高新区,小学,公办,宜昌高新区管委会教育局,枝江市白洋镇洋城大道,15872625966,0717-6985127,443208,统一招生,"宜昌高新技术产业开发区白洋小学是宜昌高新区党工委、管委会为优化教育资源配置，促进教育均衡发展，改善民生，于2020年投资新建的一所小学。2020年12月正式开工，2022年8月竣工，2022年9月1日正式投入使用。
学校位于宜昌高新区白洋园区白洋新城洋城大道和丰岗路交叉口东北侧，校园占地面积30074.1平方米，建筑面积24636.84㎡，包括教学办公楼及风雨连廊、风雨操场、女生宿舍、男生宿舍、门房、地下室（停车位170）、300米环形操场、篮球场、排球和羽毛球场等建筑设施。规划开设36个教学班，容纳1620名学生，满足600名学生住宿。
学校立足高起点、高标准、高品位、高质量，按照现代化、标准化、信息化、数字化“四化”标准配备设施设备，校园监控、无线网路全覆盖，主要入口均安装有人脸识别系统，安防、消防系统功能齐全。教室、功能室、学生宿舍、餐厅均安装有空调，教室全部采用节能护眼灯光照明，可以有效保护学生视力。每间教室都安装有2个摄像头，可以对课堂教学实施电子巡查。学生寝室为6人间，每间寝室有独立卫生间和盥洗室。建有创客教室、录播教室、计算机教室、科学教室、音乐教室、舞蹈教室、美术教室、书法教室、劳动教室、个体心理咨询室、心理宣泄室、图书馆、多功能报告厅、室内篮球馆等各类教育教学专用教室。
学校绿柳吐烟、芳菲尽染，园林主题与现代新中式建筑交相辉映，学习空间与休闲文化空间完美结合，打造出高度人性化的智慧校园。
白洋小学新校区因教育均衡公平发展，学生全面健康成长而诞生。她与白洋新城隔路相望，千年古镇涵育文明乡风、滋养润泽生命。学校将在“和乐”文化的统领下，凸显“和美聚人，乐善育人”的理念，让和乐之风蔚满校园，让学生自信成长，让教师快乐工作，让学校创新发展。
丹心育桃李，满园竞芳菲，全体白小人将满怀教育热忱，用心呵护每一位孩子的梦想，乘风破浪、扬帆远航，以最美的姿态迎接美好的未来！",0,0,0,无,https://data.yichang.gov.cn/karma/pic/a847aead-235a-4d06-bb62-fc02a99d35f3.jpeg,https://data.yichang.gov.cn/karma/pic/5c80e220-0f47-48a2-86bf-f2729763b05b.jpeg
134,/,宜昌市西陵区金东方学校,西陵区,九年一贯制,民办,宜昌市西陵区教育局,湖北省宜昌市高新区旭光路与东风路交汇处,0717-6937666,0717-6985127,443000,统一招生、自主招生,宜昌西陵区金东方学校位于高新区旭光路和东风路交汇处，是金东方教育集团在2021年重点打造的一所更高品质的民办全日制中小学。 高新金小以“追求卓越、培养高品质的人”为办学理念，努力探索科学的育人模式与多元的育人体系，致力于培养拥有“健康的身、聪慧的脑、温暖的心”核心素养的现代少年。学校以“学生第一、团队合作、专业致胜、敬业、服务”为教师价值观共识，努力实现“培养孩子六年，利于孩子一生”。学校坚持课程育人、文化育人，相信专业的力量，坚信通过科学的育人方式，既可以帮助孩子追求当下的学业成就，又能为孩子未来持续发展打好基础。学校以“学习中心课堂”为载体，推动学生学习方式的转变；以“作业不出校门”为抓手，将有效教学、科学练习、高效学习与教学变革结合，真正实现轻负优质。 高新金初现有29个教学班，1100余学生，220余名教职工。以“追求卓越、培养高品质的人”为办学理念，秉承“自强不息，追求卓越”的校训，致力于把学生培养成品德高尚、气质高贵、情趣高雅的新时代好少年。学校在五项管理和“双减”政策下，规范办学，质量立校，形成了以学生综合核心素养为基石的“136”多元化课程体系，实现学生“低进中出，中进高出，高进优出”的目标。学校教育教学成绩突出，先后获得“西交少年班优质生源基地”“市一中夷陵中学优质生源基地”“区教育教学先进单位”等荣誉称号。,0,16000/1780,2200/2700,http://jdfcz.jdfschool.com/,https://data.yichang.gov.cn/karma/pic/ec198baa-4036-4d7e-985b-b531762de768.png,https://data.yichang.gov.cn/karma/pic/56a1fa3f-9a6d-4181-a22b-ba6eaf3a6962.jpeg
135,/,宜昌市西陵区天问学校,西陵区,九年一贯制,民办,宜昌市西陵区教育局,宜昌市高新区兰台路12号,13872572975,0717-6985127,443000,统一招生、自主招生,宜昌市西陵区天问学校位于宜昌市高新区兰台路12号，交通便利、环境优雅、设施一流、师资优良。 小学着力于内涵发展，为“造就自主发展的人”打下基础。对国家课程、学科拓展课程、兴趣活动课程、综合实践课程进行整合，实现了学科知识融汇贯通、教学与育人相结合的目标，采用自主课堂的理念，突出管理自主化、活动课程化。同时开设国学、戏曲、民乐等传统文化课程，让学生的校园生活体验更加多元。 初中自办学以来，学校秉承天问教育集团“人人自觉发奋、人人自由发挥、人人自主发展”的办学理念；按照专家领衔、名师执教、社会参与组建一流师资团队；全面开展卓越绩效管理，凸显“活动课程化、操作流程化、主题系列化、研修校本化”的管理特色。,0,16000/1780,2380/2680,https://www.tianwenedu.com/gxtwxx1.html,https://data.yichang.gov.cn/karma/pic/c59eddb5-6581-40f9-994c-4d9b80582bdb.jpeg,https://data.yichang.gov.cn/karma/pic/109b439a-7e2b-42e6-82fd-49e60d1d9806.png
136,,宜昌市外国语小学（北区）,西陵区,小学,民办,宜昌市西陵区教育局,宜昌市西陵区沿江大道80号,0717-6851783,0717-6739086,443000,自主招生,"宜昌市西陵区外国语小学创办于2002年，隶属于金东方教育集团，是一所全日制民办学校。现有北正街、东湖路两个校区，学校占地总面积20509.08平方米，地处宜昌市沿江大道55号和宜昌市东湖一路92号。学校现有56个教学班；其中东区30个教学班，北区26个教学班；学生总人数2184人，其中东区学生人数1200，北区学生人数1040；现有专任教师155人；专任教师中中学高级教师6人，市区级名师、学科带头人、骨干教师28人。
学校坚守儿童立场，秉承“学兼中西，追求卓越”的办学理念，以“学生利益高于一切”为核心价值观，以“学生第一、团队合作、专业致胜、敬业、服务”为共同价值观，致力于培养阳光、智慧的“五好”少年。通过“好理念、好师资、好课程”让优质教育惠及更多孩子，努力打造适合每一个孩子的教育。学校致力于培养“阳光、智慧”的现代少年，努力让外小学子拥有“好身体、好阅读、好思维、好习惯、好品格”。以“课程、课堂、课题”为突破口，用心做好部颁课程校本化，开设游泳、体育舞蹈、沙画等特色课程；下决心做好“学习中心课堂”探索与实验，培养学生自主学习能力；坚持做好“微课题”研究，提高教师研究意识与能力。
学校先后被评为“全国学生道德教育先进学校”“全国中小学外语教研示范学校”“全国优秀民办学校”“全国体育联盟（教学改革）实验学校”“湖北省绿色学校”“中国教育‘书香校园’”“全国五人制足球实验基地”“新世纪小学数学示范基地学校”以及宜昌市游泳特色学校，连续三年被评为“宜昌市德育品牌学校”。",0,12000,0,无,https://data.yichang.gov.cn/karma/pic/b43c6c61-8829-4208-8122-2e3219af334d.jpeg,https://data.yichang.gov.cn/karma/pic/91ea8669-7beb-442c-901c-f6abb1131c22.jpeg
137,,宜昌市外国语小学（东区）,西陵区,小学,民办,宜昌市西陵区教育局,宜昌市西陵区东湖一路,0717-6851783,0717-6739086,443000,自主招生,"宜昌市西陵区外国语小学创办于2002年，隶属于金东方教育集团，是一所全日制民办学校。现有北正街、东湖路两个校区，学校占地总面积20509.08平方米，地处宜昌市沿江大道55号和宜昌市东湖一路92号。学校现有56个教学班；其中东区30个教学班，北区26个教学班；学生总人数2184人，其中东区学生人数1200，北区学生人数1040；现有专任教师155人；专任教师中中学高级教师6人，市区级名师、学科带头人、骨干教师28人。
学校坚守儿童立场，秉承“学兼中西，追求卓越”的办学理念，以“学生利益高于一切”为核心价值观，以“学生第一、团队合作、专业致胜、敬业、服务”为共同价值观，致力于培养阳光、智慧的“五好”少年。通过“好理念、好师资、好课程”让优质教育惠及更多孩子，努力打造适合每一个孩子的教育。学校致力于培养“阳光、智慧”的现代少年，努力让外小学子拥有“好身体、好阅读、好思维、好习惯、好品格”。以“课程、课堂、课题”为突破口，用心做好部颁课程校本化，开设游泳、体育舞蹈、沙画等特色课程；下决心做好“学习中心课堂”探索与实验，培养学生自主学习能力；坚持做好“微课题”研究，提高教师研究意识与能力。
学校先后被评为“全国学生道德教育先进学校”“全国中小学外语教研示范学校”“全国优秀民办学校”“全国体育联盟（教学改革）实验学校”“湖北省绿色学校”“中国教育‘书香校园’”“全国五人制足球实验基地”“新世纪小学数学示范基地学校”以及宜昌市游泳特色学校，连续三年被评为“宜昌市德育品牌学校”。",0,12000,0,无,https://data.yichang.gov.cn/karma/pic/3febdefc-5bc2-4ea8-b0b0-adf8595c6eda.jpeg,https://data.yichang.gov.cn/karma/pic/37c8e2e0-41c8-44b3-85d1-e905203c8c50.jpeg
138,,宜昌市第五中学,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区红星路4号,0717-6227565,0717-6739086,443000,统一招生,"宜昌市第五中学创办于一九五二年十月十五日，位于历史文化名街红星路四号，学校校园占地9688.96平米。
多年来，学校坚持求真务实，立足优质、高效，抓改革创新；注重以人为本，推行素质教育。今天的五中成为既是宜昌市政府挂牌的名校，更是广大市民心目中的名校。学校从2009年至今连续五届荣获“湖北省文明单位（校园）”，是城区学校中唯一连续五届获奖的中学。学校还曾先后被授予全国“艺术教育工作先进单位”，“红十字会模范单位”，“卫生救护工作先进单位”， 湖北省“中小学综合实力50强学校”，“篮球特色学校”，“科技活动先进单位”，“三八红旗先进单位”，连续三届的省级“平安校园”，宜昌市“综合办学水平一等学校”，“先进基层党组织”，“群众满意的学校”，“教育教学管理先进学校”，“基础教育课程改革先进单位”，“共青团工作示范学校”等荣誉称号。
学校目前拥有十九个教学班，897名在校学生，拥有在编教职工72名，有正高级教师1名，高级教师37名，研究生学历6人，区级以上学科带头人、骨干教师14名，省市优秀学科教师20多名。
学校坚定“把最好的教育奉献给每个学生，以最美好的精神食粮滋养学生健康成长”的信念，在改革与发展的过程中，坚持以高标准为出发点，以高要求为着力点，以高效益为落脚点，秉承“依法治校，精细管理，文化涵养，和谐发展”的办学理念，着力于培养“德智兼优，学创增能，身心俱健、体艺显特”的学生，使学校保持健康、持续、高效的发展。",0,0,0,无,https://data.yichang.gov.cn/karma/pic/a6b58d39-3e42-4d96-9da3-8c84a84577d1.jpeg,https://data.yichang.gov.cn/karma/pic/ac3411a2-c087-407f-9f7f-1f83509300f4.jpeg
139,,宜昌市第九中学,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区西坝路34号,0717-6276656,0717-6739086,443000,统一招生,"美丽的长江西陵峡口江心岛西坝之上，峡幽山峻，天高水蓝，绿岛叠翠，孕育出一所美丽而又温馨的校园--宜昌市第九中学。两桥牵手两岸，两江依偎两旁，宜昌九中人借山光而悦人性，假江水以静心情；临高峡石壁，听两江微澜；眺屈子故里，观西陵画卷；吸天地山川之气，採小岛古韵之风。亦歌亦诗，至美至善。
1958年在宜师附小的基础上创办的宜昌九中，72年增设高中后成为一所全日制学校，80年与宜师附小分离，88年停办高中后成为一所企事合办初中，99年回归市直管辖，2013年2月与其他八所兄弟初中一并划归西陵区属管辖。
60多年栉风沐雨，历代九中人始终坚持以人为本，以文化人，秉承“健康第一、德才并美、文体并进、五育并举”的办学理念，为教师立德立言导航，为学生成人成才奠基。不畏艰辛、砥砺前行，学校办学水平和综合实力稳步前行，是全国足球特色校、全国第一所少年雷锋军校、全国中学生志愿服务示范校。
作为全国第一所挂牌的雷锋少年军校，九中坚持“学习雷锋、奉献他人、提升自己”的教育理念，把“志愿服务”作为学校德育品牌，将弘扬雷锋精神与校园“德育加油站”的建设紧密结合起来，打造了独特的“志愿服务•情满三江”校园文化品牌。成立的“久之韵”志愿服务队充分发扬“奉献、友爱、互助、进步”的精神，年均志愿服务达5000小时以上，为筑梦九中美德少年加油充电护航。学校连续多年蝉联市级“六好校园”。近年来，李杨昊同学被团中央表彰为“最美中学生”、学校被表彰为“全国中学生志愿服务示范学校”，是省内唯一受表彰的初中学校；学校“久之韵”志愿服务队被中央宣传部、文明委等15家部委表彰为“最佳志愿服务组织”，成为全国唯一一个受表彰的中学生社团。
在新时代的征程上，全体九中人坚持以信仰之光照亮前行之路，踔厉奋发，笃行不怠，用人生芳华去谱写教书育人最美丽的篇章。",0,0,380,无,https://data.yichang.gov.cn/karma/pic/c1b1d198-dac1-4537-b977-f5d2fda0f4bc.jpeg,https://data.yichang.gov.cn/karma/pic/0396e3d7-adaf-4f9c-8285-79135fbf2c1f.jpeg
140,,宜昌市第十六中学,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区西陵一路53号,0717-6458489,0717-6739086,443000,统一招生,"宜昌第十六中学，依东山之麓，处西陵闹市，被市民誉为“闹市中的名校”。学校始建于1957年，春秋六秩，历经风雨，铸就无数辉煌，荣获教育部优秀传统文化传承学校、教育部网络学习空间优秀学校、教育部综合素质评价课题实验校、全国班级文化建设先进学校、湖北省校园文化建设百强校等多项殊荣。
学校占地面积9335㎡，建筑面积8600㎡。现有25个教学班，在校学生千余人，教职工90余人。教师队伍优良，现有市管专家1人、杰出校长1人，宜昌名师2人，宜昌市明星管理者1人、西陵名师5人、区级骨干20人。宜昌市1+1+N学科中心组成员16人，宜昌市未来教育家、百人计划、千人计划培训对象6人、市初中学生发展性评价课题组研究人员7人，国家二级心理咨询师6人，研究生学历9人。
学校以“一切为了学生的健康成长和未来发展”为办学理念，坚持依法治校、科研兴校、质量强校，不断深化教育教学改革。近年来围绕信息技术与教育教学的深度融合，以大数据精准教学为核心，重塑教育新生态；以智慧云多元评价为导向，构建育人新模式。打造多元智慧教育空间，提供多样化的课程资源，丰富教育教学形式，满足学生个性化需求。注重提升学生核心素养，学生可持续发展能力强，在科技、体育、艺术等活动中表现突出，中考优秀率位居全市前列，刘玥岑、文令懿、徐昊天等同学以当年全市理科状元被香港中文大学、北京大学录取，潘雨泽被英国帝国理工大学录取。是深受宜昌市民信赖的现代化优质学校。
面向未来，十六中人将坚持立德树人，提升品质，追求卓越，开放兼容，以培养具有人文情怀、全球视野、创新能力的卓越学子为己任，让“卓尔不群 和而不同”成为全校师生的共同追求！",0,0,0,无,https://data.yichang.gov.cn/karma/pic/3754806f-067f-441a-982a-8126d6c0b852.jpeg,https://data.yichang.gov.cn/karma/pic/bef45d45-338f-47e6-a982-b8dbb3bbecf2.jpeg
141,,宜昌市第二十二中学（橘颂中学）,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区东山大道27号,0717-6712853,0717-6739086,443000,统一招生,"宜昌市橘颂中学坐落于东山大道27号，占地面积29030m2，建筑面积9071m2，目前有12个教学班，在校学生近450多人，系全国青少年校园足球特色学校，全国学校体育联盟（教学改革）实验学校，宜昌市文明校园，宜昌市花园式学校，宜昌市义务教育现代化先进学校，宜昌市西陵区生态示范学校。
这是一所有故事的学校。1972年，三三O工程总指挥部为解决职工子女的教育问题，改建东湖之滨废弃的养马棚而成学校，名曰“指挥部职工子弟中学”，接纳从小学一年级到高中一年级的学生一千余人。1974年，选址东山坡窑场（即现校址）兴建新校舍，中学部搬入，更名“水电部三三O工程局第一中学”；1979年，更名为“葛洲坝第一中学”。此后又先后更名为“葛洲坝实验中学”“葛洲坝外国语学校”“宜昌市第二十二中学”,2022年5月更改为现名。1991年至2006年改制为“企有民营”，2006年从企业移交给宜昌市教育局管理，2013年移交宜昌市西陵区教育局管理。2019年8月，学校新一届领导班子总结学校近五十年波澜壮阔的办学历程，提炼出“容、健、仁、变、和”学校“五德”精神，开启以文化人、精神立校、复兴名校荣光新征程，面向未来学校提出“创建民主校园、创造多样选择”“两创”办学理念，以“刚健有为、忠贞爱国”为校训，以“师生的家园、成长者的乐园、领跑者的力量源”为办学愿景，绘就出学校高质量、高品质发展的蓝图。
“万古汨罗深，骚人道不沉。”宜昌市橘颂中学将深度融合屈原文化，以屈原忠贞爱国品质铸学校精神之魂，为祖国滋兰树蕙，创造橘颂中学好的教育，为宜昌这座宜教之城贡献智慧。",0,0,0,无,https://data.yichang.gov.cn/karma/pic/ac8fc015-db90-475b-a1b6-e5d7405bab7e.jpeg,https://data.yichang.gov.cn/karma/pic/13a94a8e-f48a-4245-90c4-e5fb889e2d71.jpeg
142,,宜昌市第二十四中学（明珠中学）,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区夜明珠路14号,0717-6794453,0717-6739086,443000,统一招生,"学校创办于1973年，先后经历了“老三中”、“三六中”、“新三中”、“明珠中学”几个不同的历史时期。2016年，与25中成立西陵区第一个教育集团，抱团发展。
宜昌市明珠中学坐落于宜昌市望洲岗夜明珠路14号，占地面积近5万平方米，校舍面积7千多平方米，交通便捷，环境优美。现有在校学生约800人，在编在岗教职工67人。
葛洲坝的背景、民间的传说和50年来老师们的付出孕育出了学校的文化——明珠文化。明珠文化的核心价值观——智、美、纯、亮。理念——每一个生命都能成为闪亮的明珠。愿景——为每一个生命都闪亮创设适性的成长环境。使命——学生有灵气，教师有生气，学校有名气，校园充满生命的活力。目标——成为西陵区局属中学中环境最优美、教学空间最多样且各具特色的学校；成为校园文化特色鲜明、形态丰富、表达多样的充满活力的学校；成为义务教育段学生职业生涯体验教育的样板学校；成为1970年至2005年葛洲坝教育历史的保存地和葛洲坝教育人的精神家园。
宜昌市明珠中学是全国写字教育实验学校、湖北省社会治安综合治理安全文明校园、宜昌市现代化先进学校、宜昌市花园式学校。近十年来，学校连续被表彰为宜昌市文明单位，多次被宜昌市教育局表彰为平安校园,团市委表彰为五四红旗团委等。
宜昌市明珠中学有一支师德高尚、业务精良的高素质教师队伍。现岗教职工中高级教师23人，区级以上名师、骨干教师14人，中考命题组成员2人，近4 年有63人次获区人社局、区教育局表彰。
宜昌市明珠中学培养了一大批行为规范、素质过硬、身心健康的学生。近五年来，学校教育教学质量稳步提升，近20%的毕业生升入省级示范高中，近45%的学生获普通高中入学资格，每年均有近百名学生在体育、艺术、科技、素质展示等活动或竞赛中获奖。学生行为规范、身心健康、核心素养深受社会好评。",0,0,0,无,https://data.yichang.gov.cn/karma/pic/8b55f53a-2a2e-4c1d-bcff-3a62d57b07a9.jpeg,https://data.yichang.gov.cn/karma/pic/02dc704c-efec-4ed1-95db-0d280aab24cb.png
143,,宜昌市第二十五中学,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区朝阳路66号,0717-6302816,0717-6739086,443000,统一招生,"宜昌市第二十五中学始建于1976年，2013年9月迁至西陵区朝阳路新校区，2016年与二十四中联合成立宜昌市第二十五中学集团。校园占地面积32520平方米，目前共有26个教学班，1261名学生，87名教职工。学校立足沙河地域特色，秉承“让学校成为正心之泉、修身之源”的办学理念，凝炼并发展“清泉”文化，积极践行“厚植清泉文化，彰显生态价值”的育人观，着力推进清廉党建、清正管理、清雅德育、清润课程、清沙教研、清慧保障六大品牌建设，大力打造校园环境有品味、学校文化有品格、教育质量有品质的生态校园。
走进25中校园，清泉之雅自然流淌，驻足“三场四景一廊”，听泉水激石，沐清风相伴；徜徉雅乐、雅韵、雅艺、雅育、雅创五大教育空间，听余音绕梁，闻书声琅琅。课程与环境相融合，人文与文化相交融，在润物无声、绿色滋养的生态校园里，雅生们自由拔节生长。学校先后荣获国家节约型公共机构示范单位、全国生态教育示范学校、全国优秀少先队集体、少先队改革全国少工委办公室直接联系示范中小学校、湖北省文明校园、湖北省中小学综合实力100强、湖北省学校文化建设百强校、湖北省红旗团委、宜昌市德育品牌学校等荣誉称号。
“明月松间照，清泉石上流”，雅致的25中校园，处处充满着流淌不息的生命活力，时时洋溢着涓涓细流的清雅气质，成为师生同生共长的梦想学园。",0,0,420,无,https://data.yichang.gov.cn/karma/pic/8f61dc02-1d16-4725-916c-f63947bd747c.jpeg,https://data.yichang.gov.cn/karma/pic/8bb46175-eada-4999-b5c1-86f11bb1ee43.jpeg
144,,宜昌市东山中学,西陵区,初中,公办,宜昌市西陵区教育局,宜昌市西陵区白龙井路13号,0717-6393276,0717-6739086,443000,统一招生,"东山中学是西陵区人民政府投资兴建的公办初中，2016年9月东山中学正式招生办学。目前，学校有三个年级，学生900余名，专职教师77名，其中市区级名师、学科带头人、明星班主任、E教能手17人。
东山中学以“家国情怀、独立精神”为办学理念，以“崇德明礼 博学创新”为校训，植根书院文化，绽放创新教育。
书院式校园环境怡人温馨。白龙神池、东山草堂、绿萝溪……让每一个来到东山中学的学子流连忘返。
书院式课程体系丰富多彩。学校共设置30个校本课程，工笔绘画“群青庐”、棒球学习“惊鸿苑”、品茗尝香“茶艺馆”……还有科学探究启智轩知行合一，滋养着学生们的心灵。同时作为宜昌市数理化素养提升研究基地的东山中学，创设数理创客课程，组织博士讲座，开展天文观测，将数理趣味生动的一面展现在你的面前。
三大学习空间成就精彩。国学馆、阅读长廊、音美教室……人文艺术空间陶冶师生情操，提升艺术修养；科技馆、创客空间、机器人教室……科技创新空间让师生体验科技创造的魅力，自主学习空间开放管理，为师生提供学科探究平台，涵养学生自由活泼的为学品格。
现代智慧课堂砥砺前行。传承古代书院之自主学习精神，提倡学生自主学习、合作探究，教育云、微课、平板电脑……科技助力智慧课堂，课前上传自学资源，学生自主学习。课中运用新技术平台，学生高效锁定学习目标。课后分享学习成果，各有所得。课堂高效业已呈现，东山学子个性化学习状态正在形成。 
创客教育特色突出。“创客竞赛类”连续三年荣获湖北省冠军。由于成绩突出，学校相继荣获“全国青少年人工智能活动特色单位”“湖北省科普示范学校”“湖北省数字化示范校”等荣誉称号，2021年被团中央确定为“认定授牌”类 “小平科技创新实验室”拟建设学校（湖北省9所成功创建的学校之一）。
龙腾东山钟灵地，德启门庭毓秀人。东山中学正以坚实的步伐，走在通向区级样板、市级龙头、省级知名、全国有影响力现代化学校的大道上。",0,0,0,无,https://data.yichang.gov.cn/karma/pic/936d1f68-9344-470f-96ae-b96979f6d335.jpeg,https://data.yichang.gov.cn/karma/pic/f1a6db8c-d763-470f-b26d-43debdccd430.png
