xh,jb,xsq,dwmc,dz,fwsj,lxdh
69,基层医疗卫生机构,秭归县,秭归县龙舟社区医务室,秭归县茅坪镇碧桂园22号楼106,上午8:00-12:00，下午14:30-17:30,13507201592
70,基层医疗卫生机构,秭归县,秭归县南郡社区医务室,秭归县茅坪镇三星花园小区19号楼110－1号,上午8:00-12:00，下午14:30-17:30,13986811332
71,基层医疗卫生机构,秭归县,秭归县西楚社区医务室,秭归县茅坪镇平湖五路26号,上午8:00-12:00，下午14:30-17:30,13207215942
72,基层医疗卫生机构,秭归县,秭归县建平社区医务室,秭归县茅坪镇屈原路1号,上午8:00-12:00，下午14:30-17:30,18672664721
73,基层医疗卫生机构,秭归县,秭归县橘颂社区医务室,秭归县茅坪镇橘园街1号,上午8:00-12:00，下午14:30-17:30,18871777625
74,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县津洋口社区医务室,宜昌市长阳土家族自治县龙舟坪镇津洋口社区星城二路9号,上午8:00-12:00，下午14:30-17:30,13094164729
75,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县丹水社区医务室,宜昌市长阳土家族自治县龙舟坪镇丹水社区一网格,上午8:00-12:00，下午14:30-17:30,13997709951
76,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县板桥铺社区医务室,宜昌市长阳土家族自治县龙舟坪镇板桥铺社区二网格,上午8:00-12:00，下午14:30-17:30,13040965999
77,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县西寺坪社区医务室,宜昌市长阳土家族自治县龙舟坪镇西寺坪社区二网格,上午8:00-12:00，下午14:30-17:30,13986836867
78,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县何家坪社区医务室,宜昌市长阳土家族自治县龙舟坪镇何家坪社区六网格,上午8:00-12:00，下午14:30-17:30,13986807622
79,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县后山社区医务室,宜昌市长阳土家族自治县龙舟坪镇龙舟大道99号,上午8:00-12:00，下午14:30-17:30,15997543418
80,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县鸣凤社区医务室,宜昌市长阳土家族自治县龙舟坪镇鸣凤社区一网格,上午8:00-12:00，下午14:30-17:30,13477127994
81,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县白氏坪社区医务室,宜昌市长阳土家族自治县龙舟坪镇白氏坪社区十网格,上午8:00-12:00，下午14:30-17:30,15327631129
82,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县花坪社区医务室,宜昌市长阳土家族自治县龙舟坪镇龙舟大道110号,上午8:00-12:00，下午14:30-17:30(法定工作日),13477157348
83,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县龙舟坪镇卫生院（枫竹园社区医务室）,宜昌市长阳土家族自治县龙舟坪镇久兰路33号,上午8:00-12:00，下午14:30-17:30(法定工作日),13545750765
84,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县湖口社区医务室,宜昌市长阳土家族自治县龙舟坪镇龙舟大道20号,上午8:00-12:00，下午14:30-17:30(法定工作日),13687171705
85,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县龙门社区医务室,宜昌市长阳土家族自治县龙舟坪镇龙舟大道31号一楼,上午8:00-12:00，下午14:30-17:30(法定工作日),15997543958
86,基层医疗卫生机构,长阳土家族自治县,长阳土家族自治县龙舟坪社区卫生服务中心（四冲湾社区医务室),宜昌市长阳土家族自治县龙舟坪镇四冲湾7号,上午8:00-12:00，下午14:30-17:30(法定工作日),13477113578
87,基层医疗卫生机构,五峰土家族自治县,五峰土家族自治县渔洋关镇卫生院,渔洋关镇古潭路30号,24小时,0717-5756120
88,基层医疗卫生机构,五峰土家族自治县,五峰土家族自治县桥河社区医务室,五峰土家自治县渔洋关镇钟玲路1号,上午8:00-12:00，下午14:30-17:30,13972582295
89,基层医疗卫生机构,五峰土家族自治县,五峰土家族自治县曹家坪社区医务室,渔洋关镇曹家坪村五组,上午8:00-12:00，下午14:30-17:30,15171757613
90,基层医疗卫生机构,五峰土家族自治县,五峰土家族自治县三房坪社区医务室,渔洋关镇三房坪村一组,上午8:00-12:00，下午14:30-17:30,13032719276
91,基层医疗卫生机构,五峰土家族自治县,五峰土家族自治县大房坪社区医务室,渔洋关镇大房坪村居委会,上午8:00-12:00，下午14:30-17:30,0717-5756625
92,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道社区卫生服务中心,夷陵区小溪塔街道平云一路31号,24小时,0717-7821685
93,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道朝阳社区医务室,夷陵区小溪塔街道黄金路39号,上午8:00-12:00，下午14:30-17:30,0717-7228119
94,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道丁家坝社区医务室,夷陵区小溪塔街道松湖街3-28号,上午8:00-12:00，下午14:30-17:30,0717-7891734
95,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道谭家榜社区医务室,夷陵区夷兴大道263号,上午8:00-12:00，下午14:30-17:30,0717-7228120
96,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道营盘社区医务室,夷陵区小溪塔街道金发路4号,上午8:00-12:00，下午14:30-17:30,0717-7821516
97,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道东湖社区医务室,夷陵区小溪塔街道罗河路31号,上午8:00-12:00，下午14:30-17:30,0717-7803188
98,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道兴安社区医务室,夷陵区小溪塔街道兴安街5号,上午8:00-12:00，下午14:30-17:30,0717-7838308
99,基层医疗卫生机构,夷陵区,夷陵区小溪塔街道望江社区卫生服务中心,夷陵区小溪塔街道锦江大道22号,24 小时,0717-7850180
100,基层医疗卫生机构,夷陵区,夷陵区望江社区卫生服务中心长江市场社区医务室,夷陵区小溪塔街道峡江路90号,上午8:00-12:00，下午14:30-17:30,0717-7850178
101,基层医疗卫生机构,夷陵区,夷陵区望江社区卫生服务中心港虹社区医务室,夷陵区小溪塔街道平湖天下观山水4号楼-5号,上午8:00-12:00，下午14:30-17:30,0717-7855506
102,基层医疗卫生机构,夷陵区,夷陵区望江社区卫生服务中心冯家湾社区医务室,夷陵区人寿桥路万富景苑北侧,上午8:00-12:00，下午14:30-17:30,0717-7855115
103,基层医疗卫生机构,夷陵区,夷陵区东城城乡统筹发展试验区社区卫生服务中心,夷陵区鄢家河三组,24小时,0717-7787078
104,基层医疗卫生机构,夷陵区,夷陵区东城城乡统筹发展试验区锦江社区医务室,夷陵区东湖大道45号,上午8:00-12:00，下午14:30-17:30,0717-7525099
105,基层医疗卫生机构,夷陵区,夷陵区东城城乡统筹发展试验区锦湖社区医务室,夷陵区东方大道2号,上午8:00-12:00，下午14:30-17:30,0717-7525586
106,基层医疗卫生机构,夷陵区,夷陵区东城城乡统筹发展试验区绿洲社区医务室,夷陵区东湖大道149号,上午8:00-12:00，下午14:30-17:30,0717-7520889
107,基层医疗卫生机构,夷陵区,夷陵区东城城乡统筹发展试验区东城社区医务室,夷陵区东湖大道69号,上午8:00-12:00，下午14:30-17:30,0717-7831963
108,基层医疗卫生机构,西陵区,西陵区西陵社区卫生服务中心,湖北省宜昌市西陵区西陵二路64号,上午8:00-12:00，下午2:00-5:30(法定工作日),0717-6832325
109,基层医疗卫生机构,西陵区,西陵区樵湖岭社区卫生服务站,湖北省宜昌市西陵区北门外正街11号碧水兰亭4号,上午8:00-12:00，下午2:00-5:30(法定工作日),0717-6770162
110,基层医疗卫生机构,西陵区,西陵区刘家大堰社区卫生服务站,湖北省宜昌市西陵区刘家大堰27-1号,上午8:00-12:00，下午2:00-5:30(法定工作日),0717-6834754
111,基层医疗卫生机构,西陵区,铁路坝社区医务室,宜昌市西陵区东山大道98号,上午8:00-12:00，下午2:00-5:30(法定工作日),0717-6457472
112,基层医疗卫生机构,西陵区,石板溪社区医务室,宜昌市西陵区西陵二路金缔华城10号楼,上午8:00-12:00，下午2:00-5:30(法定工作日),0717-6217959
113,基层医疗卫生机构,西陵区,黄河路社区医务室,宜昌市西陵区窑湾街道渭河一路10号,上午8:00-12:00，下午2:00-5:30(法定工作日),0717–6216359
114,基层医疗卫生机构,西陵区,西陵区学院社区卫生服务中心,北门外正街18号、西陵一路47号,上午8:00-12:00，下午2:30-5:30(法定工作日),"0717-6221859
0717-6577282"
115,基层医疗卫生机构,西陵区,西陵区北门社区卫生服务站,西陵区北门外正街18号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6620306
116,基层医疗卫生机构,西陵区,西陵区气象台社区医务室,西陵区气象台18号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6213381
117,基层医疗卫生机构,西陵区,西陵区山庄路社区医务室,西陵区山庄路28-1号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6693246
118,基层医疗卫生机构,西陵区,西陵区桃花岭社区医务室,西陵区桃花岭6号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6256156
119,基层医疗卫生机构,西陵区,西陵区赵家湾社区医务室,西陵区胜利四路42-201号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6755120
120,基层医疗卫生机构,西陵区,西陵区墨池巷社区医务室,宜昌市西陵区学院街道西陵一路2号5-102号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6212533
121,基层医疗卫生机构,西陵区,西陵区环城东路社区医务室,宜昌市西陵区学院街道肖家巷39号,上午8:00-12:00，下午2:30-5:30(法定工作日),0717-6681931
122,基层医疗卫生机构,西陵区,西陵区云集社区卫生服务中心,湖北省宜昌市福绥路45号,周一至周六08:00-12:00 14:30-17:30,0717-6222127
123,基层医疗卫生机构,西陵区,西陵区白龙井社区卫生服务站,西陵区体育场路31号,上午8:00-12:00，下午2:30-5:30,0717-8853423
124,基层医疗卫生机构,西陵区,西陵区葛洲坝东湖社区卫生服务中心,西陵区团结路26号,"周一至周五8:00-20:00，
周末上午8:00-11:30，下午14:30-17:30",0717-6718609
125,基层医疗卫生机构,西陵区,西陵区清波路社区卫生服务站,西陵区清波路5号,上午8:00-12:00，下午2:30-5:30,0717-6729450
126,基层医疗卫生机构,西陵区,西陵区石子岭社区医务室,西陵区樵湖二路34号,周一至周六上午8:00-11:30，下午2:30-5:30,0717-6980535
127,基层医疗卫生机构,西陵区,西陵区锦绣社区医务室,东夷路盒子广场,周一至周六上午8:00-11:30，下午2:30-5:30,0717-6970103
128,基层医疗卫生机构,西陵区,西陵区葛洲坝东山社区卫生服务中心,西陵区肖家岗路15号,8：00-17：30,0717-6713159 0717-6713799
129,基层医疗卫生机构,西陵区,西陵区夜明珠街道英雄山社区医务室,宜昌市西陵区望州岗路11号,上午8:00-11:30，下午2:30-5:30（法定工作日）,0717-6738120
130,基层医疗卫生机构,西陵区,西陵区夜明珠街道肖家岗社区卫生服务站,西陵区东山大道11号,上午8：00—下午17：30,0717-6792248
131,基层医疗卫生机构,西陵区,西陵区夜明珠街道大堰湾社区卫生服务站,西陵区列电路5号,上午8:00-11:30，下午2:30-5:30,0717-6713542
132,基层医疗卫生机构,西陵区,西陵区夜明珠街道望洲岗社区卫生服务站,夜朋珠路31号,上午8:00-11:30，下午2:30-5:30,0717-6722362
133,基层医疗卫生机构,西陵区,西陵区夜明珠街道平湖馨苑社区卫生服务站,朝阳路105号,周一至周五上午8:00-11:30，下午2:00-5:00；周六、周日8:00-11:30,0717-6713858
134,基层医疗卫生机构,西陵区,西陵区葛洲坝西坝社区卫生服务中心,湖北省宜昌市西陵区西坝建设路10号,24小时,0717-6714323
135,基层医疗卫生机构,西陵区,西陵区桥北社区医务室,西陵区西坝街办建设路30号,上午8:00-11:30，下午2:00-5:00,0717-6278682
136,基层医疗卫生机构,西陵区,西陵区甲街社区医务室,西陵区西坝街道和平路24号,上午8:00-11:30，下午2:30-5:30,0717-6270616
137,基层医疗卫生机构,西陵区,西陵区东山社区卫生服务中心,宜昌市港城路19号,上午08：00-12:00，下午14:30-17:30（夜间门诊17：30-22：00）,0717-6306606
138,基层医疗卫生机构,西陵区,西陵区山河园路社区医务室,宜昌高新区山河园路20号恒大帝景2号办公楼105、106室,上午08：00-12:00，下午14:30-17:30,0717-6215400
139,基层医疗卫生机构,西陵区,西陵区廖家湾社区医务室,宜昌发展大道北苑路1号星运城1栋101,上午08：00-12:00，下午14:30-17:30,0717-6219202
140,基层医疗卫生机构,西陵区,西陵区青岛路社区医务室,宜昌高新区发展大道28号,上午08：00-12:00，下午14:30-17:30,0717-6213189
141,基层医疗卫生机构,西陵区,西陵区东山花园社区医务室,宜昌高新区珠海路13-21号,上午08：00-12:00，下午14:30-17:30,0717-6210320
142,基层医疗卫生机构,西陵区,西陵区汕头路社区医务室,宜昌高新区汕头路19号,上午08：00-12:00，下午14:30-17:30,0717-6213128
143,基层医疗卫生机构,西陵区,西陵区南苑社区医务室,城东大道55-27号,上午08：00-12:00，下午14:30-17:30,0717-6211590
144,基层医疗卫生机构,西陵区,西陵区城东社区医务室,发展大道3号（巡警小区内）,上午08：00-12:00，下午14:30-17:30,0717-6212070
145,基层医疗卫生机构,西陵区,西陵区王家坝社区医务室,宜化巴黎香颂一期商铺（城东大道71号）,上午08：00-12:00，下午14:30-17:30,0717-6210256
146,基层医疗卫生机构,伍家岗区,伍家岗区白沙路社区卫生服务中心,宜昌市伍家岗区白沙路6号,24小时,0717-6551916
147,基层医疗卫生机构,伍家岗区,伍家岗区王家河社区医务室,宜昌市伍家岗区夷陵大道388号王家河社区党群中心负一楼,上午8:00-12:00，下午14:30-17:30,0717-6552296
148,基层医疗卫生机构,伍家岗区,伍家岗区桔城路社区医务室,宜昌市伍家岗区凤凰城48栋1楼,上午8:00-12:00，下午14:30-17:30,0717-6555574
149,基层医疗卫生机构,伍家岗区,伍家岗区八一路社区医务室,宜昌市伍家岗区八一路12号,上午8:00-12:00，下午14:30-17:30,0717-6552636
150,基层医疗卫生机构,伍家岗区,伍家岗区龙盘湖社区医务室,宜昌市伍家岗区伍临路101号龙盘湖世纪山水99栋正对面,上午8:00-12:00，下午14:30-17:30,0717-6211733
151,基层医疗卫生机构,伍家岗区,伍家岗区花艳社区卫生服务中心,宜昌市伍家岗区伍家乡共和村5组,24小时,0717-6269002
152,基层医疗卫生机构,伍家岗区,伍家岗区鑫鼎社区医务室,宜昌市伍家岗区伍临路38号香城尚都7栋,上午8:00-12:00，下午14:30-17:30,0717-6552898
153,基层医疗卫生机构,伍家岗区,伍家岗区金巴岭社区医务室,宜昌市伍家岗区东站路与桔乡路交汇处融公馆13栋,上午8:00-12:00，下午14:30-17:30,0717-6261160
154,基层医疗卫生机构,伍家岗区,伍家岗区张家湾社区医务室,宜昌市伍家岗区城东大道180号东南岸7号楼1楼,上午8:00-12:00，下午14:30-17:30,15997533672
155,基层医疗卫生机构,伍家岗区,伍家岗区宝塔河街道杨岔路社区卫生服务中心,宜昌市伍家区东山大道340号,24小时,18062994022
156,基层医疗卫生机构,伍家岗区,伍家岗区宝塔河街道杨岔路社区卫生服务中心,宜昌市伍家区东山大道340号,24小时,18062994022
157,基层医疗卫生机构,伍家岗区,伍家岗区宝塔河街道张家坡社区医务室,宜昌市伍家岗区东山大道305号,上午8:00-12:00，下午14:00-17:30,0717-6359565
158,基层医疗卫生机构,伍家岗区,伍家岗区宝塔河街道艾家嘴社区医务室,宜昌市伍家岗区金龙路1号,上午8:00-12:00，下午14:00-17:30,0717-6219645
159,基层医疗卫生机构,伍家岗区,伍家岗区城东社区卫生服务中心,宜昌市伍家岗区城东大道105号,24小时,19986642951
160,基层医疗卫生机构,伍家岗区,伍家岗区宝塔河街道胡家冲社区医务室,宜昌市伍家岗区新华广场C04号楼2楼,上午8:00-12:00，下午14:00-17:30,18771805061
161,基层医疗卫生机构,伍家岗区,伍家岗区大公桥社区卫生服务中心,宜昌市伍家岗区夷陵大道161号,24小时,0717-6015120
162,基层医疗卫生机构,伍家岗区,伍家岗区大公桥街道隆康路社区医务室,宜昌市伍家岗区隆康路日新里6号,上午8:00-12:00，下午14:00-17:30,18571006421
163,基层医疗卫生机构,伍家岗区,伍家岗区万寿桥街道万达医务室,宜昌市伍家岗区夷陵大道206号,上午8:00-12:00，下午14:00-17:30,18571006430
164,基层医疗卫生机构,伍家岗区,伍家岗区万寿桥街道建设社区医务室,宜昌市伍家岗区东山大道177号,上午8:00-12:00，下午14:00-17:30,18571006428
165,基层医疗卫生机构,点军区,点军区土城乡卫生院,宜昌市点军区土城乡土城村5组,24小时,0717-7884022
166,基层医疗卫生机构,点军区,点军区艾家镇卫生院,宜昌市点军区艾家镇刘家村五组,24小时,0717-7900131
167,基层医疗卫生机构,点军区,点军区联棚乡中心卫生院,宜昌市点军区联棚乡集镇,24小时,0717-6679120
168,基层医疗卫生机构,点军区,点军街办社区卫生服务中心,宜昌市点军区联棚乡集镇,24小时,0717-6679120
169,基层医疗卫生机构,点军区,点军区桥边镇卫生院,宜昌市点军区桥边镇集镇1026号,24小时,0717-7881010
170,基层医疗卫生机构,点军区,点军区广化寺社区医务室,宜昌市点军区桥边镇碧桂园御园小区,上午8:00-12:00，下午14:00-17:30,0717-7881010
171,基层医疗卫生机构,点军区,点军区点军街道五龙社区医务室,点军街道办事处五龙阳光小区,上午8:00-12:00，下午14:00-17:30,15090930941
172,基层医疗卫生机构,点军区,点军区点军街道红光社区医务室,点军街办红光社区党群服务中心,上午8:00-12:00，下午14:00-17:30,15071774878
173,基层医疗卫生机构,点军区,点军区点军街道朱市街社区医务室,点军街办江南大道165号教工小区一号楼,上午8:00-12:00，下午14:00-17:30,13774199215
174,基层医疗卫生机构,点军区,点军区点军街道至喜社区医务室,点军街办紫阳大道,上午8:00-12:00，下午14:00-17:30,13886677536
175,基层医疗卫生机构,点军区,点军区点军街道梅子溪社区医务室,点军街办碧桂园观山悦,上午8:00-12:00，下午14:00-17:30,13047178332
176,基层医疗卫生机构,点军区,点军区点军街道谭家河社区医务室,点军街办谭家河村,上午8:00-12:00，下午14:00-17:30,18771794131
177,基层医疗卫生机构,猇亭区,猇亭区古老背社区卫生服务中心,宜昌市猇亭区桐岭路21号,8:00-17:00,0717-6414174
178,基层医疗卫生机构,猇亭区,猇亭区云池社区卫生服务中心,宜昌市猇亭区金猇路189号,8:00-17:00,0717-6536383
179,基层医疗卫生机构,猇亭区,七里新村社区医务室,宜昌市猇亭区金猇路185号,8:00-12:00，14:00-17:00,0717-6216387
180,基层医疗卫生机构,猇亭区,六泉湖社区医务室,宜昌市猇亭区六泉湖社区20栋,8:00-12:00，14:00-17:00,0717-6219124
181,基层医疗卫生机构,猇亭区,桐岭新村社区医务室,宜昌市猇亭区金岭路98号,8:00-12:00，14:00-17:00,0717-6516131
