xh,jgmc,wsjglb,xzqh,dj,mzzlrc,bz,tjsj
31,宜昌咿呀口腔医院,专科医院,市直管,二级,22463,,2024年
32,宜昌鑫家园妇产医院,专科医院,市直管,二级,12422,,2024年
33,宜昌爱尔东山眼科医院,专科医院,市直管,二级,27017,,2024年
34,宜昌市优抚医院,专科医院,市直管,三级,96729,,2024年
35,宜昌市第三人民医院,专科医院,市直管,三级,99160,,2024年
36,宜昌馨语康复医院,康复医院,宜都市,二级,9197,,2025.6
37,宜都咿呀口腔医院,口腔医院,宜都市,二级,13460,,2025.6
38,宜都爱尔眼科医院,眼科医院,宜都市,二级,12804,,2025.6
39,枝江张氏骨科医院,骨科医院,枝江市,二级,25068,,2025.6
40,枝江康宁精神病医院,精神病医院,枝江市,二级,17060,,2025.6
41,枝江博仁疼痛专科医院,其他专科医院,枝江市,二级,14630,,2025.6
42,枝江爱尔眼科医院,眼科医院,枝江市,二级,16371,,2025.6
43,枝江市口腔医院,口腔医院,枝江市,一级及未定级,21490,,2025.6
44,当阳安康精神病医院,精神病医院,当阳市,二级,30815,,2025.6
45,当阳咿呀口腔医院,口腔医院,当阳市,二级,3691,,2025.6
46,当阳德众口腔医院,口腔医院,当阳市,二级,17159,,2025.6
47,当阳爱尔眼科医院,眼科医院,当阳市,二级,12624,,2025.6
48,当阳仁爱眼科医院,眼科医院,当阳市,二级,6197,,2025.6
49,远安弘仁康复医院,康复医院,远安县,二级,2104,,2025.6
50,远安咿呀口腔医院,口腔医院,远安县,二级,8958,,2025.6
51,兴山弘仁康复医院,康复医院,兴山县,二级,16850,,2025.6
52,秭归博德精神病医院,精神病医院,秭归县,二级,3825,,2025.6
53,长阳土家族自治县精神病医院,精神病医院,长阳县,二级,,与长阳县中医医院，一个单位两个牌子，以中医医院数据为准！,2025.6
54,长阳爱尔眼科医院,眼科医院,长阳县,二级,10501,,2025.6
55,宜昌夷陵康宁精神病医院,精神病医院,夷陵区,二级,3450,,2025.6
56,宜昌夷陵弘仁康复医院,康复医院,夷陵区,二级,3938,,2025.6
57,宜昌夷陵申冈精神病医院,精神病医院,夷陵区,一级及未定级,864,,2025.6
58,宜昌中南口腔医院,口腔医院,西陵区,二级,18822,,2025.6
59,宜昌爱合口腔医院,口腔医院,西陵区,二级,24327,,2025.6
60,宜昌桃花岭泌尿外科医院,其他专科医院,西陵区,二级,2371,,2025.6
61,宜昌爱尔东山眼科医院,眼科医院,西陵区,二级,21504,,2025.6
62,宜昌怡康皮肤病医院,皮肤病医院 ,西陵区,三级,40860,,2025.6
63,宜昌华厦眼科医院,眼科医院,西陵区,三级,28897,,2025.6
64,宜昌西陵爱尔眼科医院,眼科医院,西陵区,三级,16463,,2025.6
65,宜昌正德骨科医院,骨科医院,西陵区,一级及未定级,1070,,2025.6
66,宜昌蕾帝整形美容医院,美容医院,西陵区,一级及未定级,1024,,2025.6
67,宜昌亚太整形美容医院,美容医院,西陵区,一级及未定级,25095,,2025.6
68,宜昌鑫家园妇产医院,妇产（科）医院,伍家岗区,二级,10115,,2025.6
69,宜昌咿呀口腔医院,口腔医院,伍家岗区,二级,33317,,2025.6
70,宜昌环生中医肛肠医院,其他专科医院,伍家岗区,二级,35599,,2025.6
71,宜昌爱尔眼科医院,眼科医院,伍家岗区,三级,31868,,2025.6
72,宜昌东江医院,妇产（科）医院,伍家岗区,一级及未定级,1568,,2025.6
73,宜昌春华牛皮癣中医专科医院,其他中医专科医院,伍家岗区,一级及未定级,1045,,2025.6
74,宜昌市第三人民医院,传染病医院 ,宜昌市直,三级,104040,,2025.6
75,宜昌市优抚医院,精神病医院,宜昌市直,三级,101075,,2025.6
