ssxzqh,bm,mc,lx,lb
420502,H42050201480,宜昌西陵陈永全口腔诊所,定点医疗机构,普通诊所                    
420502,H42050201481,宜昌市西陵区王成口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201482,湖北省宜昌市西陵区佳诚口腔诊所,定点医疗机构,普通诊所                    
420502,H42050201483,宜昌西陵长寿康诊所,定点医疗机构,普通诊所                    
420502,H42050201487,宜昌西陵云夷诊所,定点医疗机构,普通诊所                    
420502,H42050201494,宜昌市西陵区蝶变矫正牙科诊所,定点医疗机构,口腔诊所                    
420502,H42050201500,宜昌西陵大智慧中医诊所,定点医疗机构,中医诊所                    
420502,H42050201519,宜昌市仁济口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201520,宜昌西陵时代口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201521,宜昌市西陵区美思特口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201522,宜昌市西陵区赵家湾诊所,定点医疗机构,普通诊所                    
420502,H42050201523,宜昌市西陵区育才路特疗诊所,定点医疗机构,普通诊所                    
420502,H42050201524,宜昌西陵聚杏堂中医诊所,定点医疗机构,普通诊所                    
420502,H42050201525,宜昌市西陵区国爱诊所,定点医疗机构,普通诊所                    
420502,H42050201537,宜昌市高新区景玺口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201539,宜昌西陵康泰诊所,定点医疗机构,普通诊所                    
420502,H42050201544,宜昌西陵天佑诊所,定点医疗机构,普通诊所                    
420502,H42050201547,宜昌西陵恒康诊所,定点医疗机构,普通诊所                    
420502,H42050201548,宜昌西陵福宁门诊部,定点医疗机构,综合门诊部
420502,H42050201549,宜昌市西陵区金缔口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201550,宜昌西陵谭思平诊所,定点医疗机构,普通诊所                    
420502,H42050201552,宜昌高新健民诊所,定点医疗机构,普通诊所                    
420502,H42050201554,宜昌高新区美立刻口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201560,宜昌西陵绿萝路口腔诊所,定点医疗机构,普通诊所                    
420502,H42050201561,宜昌高新区东山花园诊所,定点医疗机构,普通诊所                    
420502,H42050201564,宜昌西陵仁德诊所,定点医疗机构,普通诊所                    
420502,H42050201566,宜昌市市直机关卫生所,定点医疗机构,卫生所（室）                  
420502,H42050201567,宜昌西陵宋会明中医诊所,定点医疗机构,中医诊所                    
420502,H42050201569,宜昌西陵仁泰口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201574,宜昌高新区余春英诊所,定点医疗机构,普通诊所                    
420502,H42050201577,宜昌市西陵区口腔医院,定点医疗机构,口腔医院          
420502,H42050201578,武汉大学口腔医院宜昌门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201582,宜昌西陵康健诊所,定点医疗机构,普通诊所                    
420502,H42050201585,宜昌高新区何定芳速愈诊所,定点医疗机构,普通诊所                    
420502,H42050201586,宜昌高新区汪万年东山口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201587,宜昌市西陵区陈正安诊所,定点医疗机构,普通诊所                    
420502,H42050201588,宜昌西陵珍珠路汪万年口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201589,宜昌西陵欧城汪万年口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201590,宜昌爱合口腔医院维艺东山门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201592,宜昌高新区和协诊所,定点医疗机构,普通诊所                    
420502,H42050201595,宜昌市西陵区笑访诊所,定点医疗机构,普通诊所                    
420502,H42050201597,宜昌西陵华康诊所,定点医疗机构,普通诊所                    
420502,H42050201600,宜昌市西陵区永旭口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201605,宜昌葛洲坝康逸门诊部,定点医疗机构,综合门诊部
420502,H42050201608,宜昌市西陵区白龙口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201609,宜昌高新区楠海花园诊所,定点医疗机构,普通诊所                    
420502,H42050201610,宜昌西陵高峡诊所,定点医疗机构,普通诊所                    
420502,H42050201611,宜昌邦康综合门诊部,定点医疗机构,综合门诊部
420502,H42050201612,宜昌西陵康顺诊所,定点医疗机构,普通诊所                    
420502,H42050201613,宜昌高新区同心诊所,定点医疗机构,普通诊所                    
420502,H42050201614,宜昌邓宜诊所有限公司,定点医疗机构,普通诊所                    
420502,H42050201615,宜昌西陵康贝口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201617,宜昌高新区鸿盛源门诊部,定点医疗机构,综合门诊部
420502,H42050201622,宜昌市西陵区方圆诊所,定点医疗机构,普通诊所                    
420502,H42050201626,宜昌市美年大健康管理有限公司华祥综合门诊部,定点医疗机构,综合门诊部
420502,H42050201627,宜昌西陵爱齿康口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201628,宜昌市西陵区玉康诊所,定点医疗机构,普通诊所                    
420502,H42050201630,宜昌高新区民康诊所,定点医疗机构,普通诊所                    
420502,H42050201633,宜昌梦戴维门诊部,定点医疗机构,综合门诊部
420502,H42050201636,宜昌西陵益民诊所,定点医疗机构,普通诊所                    
420502,H42050201639,宜昌雨之堂中医门诊部,定点医疗机构,中医门诊部                  
420502,H42050201671,宜昌市西陵区怀溶诊所,定点医疗机构,普通诊所                    
420502,H42050201835,宜昌市西陵区学院社区卫生服务中心（宜昌市西陵医院）,定点医疗机构,综合医院            
420502,H42050201836,宜昌西陵七彩阳光度假养老公寓卫生所,定点医疗机构,卫生所（室）                  
420502,H42050201838,宜昌高新益民诊所,定点医疗机构,普通诊所                    
420502,H42050201840,宜昌市西陵区瑞祥中医诊所,定点医疗机构,中医诊所                    
420502,H42050201841,宜昌西陵济世堂诊所,定点医疗机构,普通诊所                    
420502,H42050201844,宜昌西陵怡源诊所,定点医疗机构,综合门诊部
420502,H42050201845,宜昌高新健华诊所,定点医疗机构,普通诊所                    
420502,H42050201846,宜昌西陵医仁诊所,定点医疗机构,普通诊所                    
420502,H42050201847,宜昌市西陵区仁健中医门诊部,定点医疗机构,普通专科门诊部              
420502,H42050201850,宜昌西陵信誉诊所,定点医疗机构,普通诊所                    
420502,H42050201851,宜昌西陵济仁诊所,定点医疗机构,普通诊所                    
420502,H42050201852,宜昌西陵陈红芳中医诊所,定点医疗机构,普通诊所                    
420502,H42050201855,宜昌市西陵区北门社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050201856,宜昌市西陵区云集街道山庄路社区医务室（宜昌市西陵区云集街道山庄路社区卫生服务站）,定点医疗机构,社区卫生服务站
420502,H42050201864,宜昌市西陵区新概念口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201870,宜昌西陵康成诊所,定点医疗机构,普通诊所                    
420502,H42050201884,宜昌高新区艾康中医诊所,定点医疗机构,中医诊所                    
420502,H42050201894,宜昌桃花岭泌尿外科医院,定点医疗机构,其他专科医院      
420502,H42050201900,宜昌西陵东西南北中诊所,定点医疗机构,普通诊所                    
420502,H42050201918,宜昌西陵明珠诊所,定点医疗机构,普通诊所                    
420502,H42050201919,宜昌肛泰医院,定点医疗机构,综合医院            
420502,H42050201921,宜昌西陵潘清口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201922,白洋镇卫生院,定点医疗机构,乡卫生院                    
420502,H42050201927,宜昌高新区德铭诊所,定点医疗机构,普通诊所                    
420502,H42050201943,宜昌高新区爱民诊所,定点医疗机构,普通诊所                    
420502,H42050201944,宜昌西陵区益齿生口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050201945,宜昌高新区仁康诊所,定点医疗机构,普通诊所                    
420502,H42050201951,宜昌市西陵区樵湖岭社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050201978,宜昌市西陵区刘家大堰社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050201986,白洋镇善溪窑村卫生室,定点医疗机构,卫生所（室）                  
420502,H42050201987,宜昌普健老年病医院,定点医疗机构,其他专科医院      
420502,H42050202005,湖北三峡职业技术学院附属医院,定点医疗机构,综合医院            
420502,H42050202008,宜昌高新区东山社区卫生服务中心,定点医疗机构,社区卫生服务中心
420502,H42050202009,宜昌高新区东山社区卫生服务中心楠海花园免疫接种门诊,定点医疗机构,预防保健中心                                
420502,H42050202013,宜昌西陵德道堂李氏诊所,定点医疗机构,其他诊所                    
420502,H42050202014,宜昌西陵宜乐美口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202016,宜昌西陵夏景中医诊所,定点医疗机构,中医诊所                    
420502,H42050202020,葛洲坝西坝社区卫生服务中心,定点医疗机构,社区卫生服务中心
420502,H42050202022,葛洲坝东山社区卫生服务中心,定点医疗机构,社区卫生服务中心
420502,H42050202052,宜昌杏林堂综合门诊部,定点医疗机构,综合门诊部
420502,H42050202054,三峡医学检验实验室,定点医疗机构,临床检验中心                
420502,H42050202056,宜昌西陵众大口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050202169,宜昌市西陵区窑湾乡茶庵村卫生室,定点医疗机构,村卫生室                      
420502,H42050202170,宜昌市西陵区窑湾乡黑虎山村卫生室,定点医疗机构,村卫生室                      
420502,H42050202171,宜昌市西陵区窑湾乡后坪村卫生室,定点医疗机构,村卫生室                      
420502,H42050202172,宜昌市西陵区窑湾乡唐家湾村卫生室,定点医疗机构,村卫生室                      
420502,H42050202173,宜昌市西陵区窑湾乡望州村卫生室,定点医疗机构,村卫生室                      
420502,H42050202174,宜昌市西陵区窑湾乡沙河村卫生室,定点医疗机构,村卫生室                      
420502,H42050202175,宜昌市西陵区窑湾乡大树湾村卫生室,定点医疗机构,村卫生室                      
420502,H42050202177,宜昌市西陵区窑湾乡石板村卫生室,定点医疗机构,村卫生室                      
420502,H42050202421,宜昌西陵陈鹏中医（综合）诊所,定点医疗机构,中医诊所                    
420502,H42050202456,宜昌西陵皓兴口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202474,宜昌西陵九灵诊所,定点医疗机构,综合门诊部
420502,H42050202665,宜昌市西陵区云集街道桃花岭社区医务室,定点医疗机构,社区卫生服务站
420502,H42050202668,宜昌西陵宁康诊所,定点医疗机构,普通诊所                    
420502,H42050202685,宜昌牙管家口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050202698,宜昌西陵康明诊所,定点医疗机构,普通诊所                    
420502,H42050202700,宜昌中南口腔医院,定点医疗机构,口腔医院          
420502,H42050202704,宜昌市西陵区西坝街道甲街社区医务室,定点医疗机构,医务室                        
420502,H42050202705,宜昌市西陵区万杰口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050202713,宜昌西陵樵湖诊所,定点医疗机构,普通诊所                    
420502,H42050202727,宜昌市西陵区学院街道气象台社区医务室（宜昌市西陵区学院街道气象台社区卫生服务站）,定点医疗机构,社区卫生服务站
420502,H42050202729,宜昌市西陵区云集街道赵家湾社区医务室（宜昌市西陵区云集街道赵家湾社区卫生服务站）,定点医疗机构,社区卫生服务站
420502,H42050202752,宜昌市西陵区学院街道墨池巷社区医务室（宜昌市西陵区学院街道墨池巷社区卫生服务站）,定点医疗机构,社区卫生服务站
420502,H42050202760,宜昌西陵济沛堂中医（综合）诊所,定点医疗机构,中西医结合诊所              
420502,H42050202771,宜昌市西陵区葛洲坝街道石子岭社区医务室,定点医疗机构,社区卫生服务站
420502,H42050202774,宜昌西陵华清中医诊所,定点医疗机构,中医诊所                    
420502,H42050202783,宜昌西陵肤康诊所,定点医疗机构,普通诊所                    
420502,H42050202814,宜昌长江中医医院,定点医疗机构,综合医院            
420502,H42050202818,宜昌市西陵区夜明珠街道英雄山社区医务室,定点医疗机构,社区卫生服务站
420502,H42050202836,宜昌西陵冯口中医诊所,定点医疗机构,中医诊所                    
420502,H42050202842,宜昌西陵布耐德中医诊所,定点医疗机构,中医诊所                    
420502,H42050202847,宜昌西陵为明诊所,定点医疗机构,中西医结合诊所              
420502,H42050202849,宜昌西陵田开科中医诊所,定点医疗机构,中医诊所                    
420502,H42050202853,宜昌西陵云济诊所,定点医疗机构,中西医结合诊所              
420502,H42050202861,宜昌市榕树家百杏中医诊所有限公司,定点医疗机构,中医诊所                    
420502,H42050202870,宜昌市西陵区葛洲坝街道锦绣社区医务室,定点医疗机构,社区卫生服务站
420502,H42050202881,宜昌西陵睿智中医诊所,定点医疗机构,中医诊所                    
420502,H42050202883,宜昌西陵万杰口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202885,宜昌西陵卢万芋中医诊所,定点医疗机构,中医诊所                    
420502,H42050202890,宜昌西陵罗清峰中医诊所,定点医疗机构,中医诊所                    
420502,H42050202899,三峡电力职业学院医务室,定点医疗机构,医务室                        
420502,H42050202906,宜昌爱尔东山眼科医院,定点医疗机构,眼科医院          
420502,H42050202918,国药西陵医养结合医院,定点医疗机构,综合医院            
420502,H42050202927,宜昌市西陵区蝶变矫正牙科,定点医疗机构,口腔诊所                    
420502,H42050202946,宜昌西陵沃康中医诊所,定点医疗机构,中医诊所                    
420502,H42050202949,宜昌西陵夷尔福云锦中医（综合）诊所,定点医疗机构,中西医结合诊所              
420502,H42050202952,宜昌西陵壬子中医诊所,定点医疗机构,中医诊所                    
420502,H42050202958,宜昌西陵康圆诊所,定点医疗机构,普通诊所                    
420502,H42050202960,宜昌西陵芽医森口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202961,国药西坝建设路卫生所,定点医疗机构,卫生所（室）                  
420502,H42050202964,宜昌西陵楚越口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202972,宜昌西陵孙长军中医（综合）诊所,定点医疗机构,中医诊所                    
420502,H42050202975,宜昌西陵悦美口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202982,宜昌西陵罗春艳仁康口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050202988,宜昌西陵榕树家素龄中医诊所,定点医疗机构,中医诊所                    
420502,H42050202991,宜昌西陵榕树家素龄绿萝中医诊所,定点医疗机构,中医诊所                    
420502,H42050202996,宜昌市西陵区西陵街道石板溪社区医务室,定点医疗机构,社区卫生服务站
420502,H42050202997,宜昌市西陵区西陵街道铁路坝社区医务室,定点医疗机构,社区卫生服务站
420502,H42050202998,宜昌市西陵区窑湾街道学府社区医务室,定点医疗机构,社区卫生服务站
420502,H42050203002,宜昌西陵中南中医门诊部,定点医疗机构,中医门诊部                  
420502,H42050203017,宜昌西陵芷心堂中医（综合）诊所,定点医疗机构,中医诊所                    
420502,H42050203018,宜昌西陵知玄中医（综合）诊所,定点医疗机构,中医（综合）门诊部          
420502,H42050203024,宜昌西陵张帅中医（综合）诊所,定点医疗机构,中医诊所                    
420502,H42050203031,宜昌西陵爱尔眼科医院,定点医疗机构,眼科医院          
420502,H42050203043,宜昌高新利和堂诊所,定点医疗机构,中医诊所                    
420502,H42050203050,国药（宜昌）口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050203054,宜昌西陵长健诊所,定点医疗机构,普通诊所                    
420502,H42050203055,宜昌西陵御景诊所,定点医疗机构,普通诊所                    
420502,H42050203057,宜昌西陵启安诊所,定点医疗机构,普通诊所                    
420502,H42050203064,宜昌西陵唐家湾辰康中医（综合）诊所,定点医疗机构,普通诊所                    
420502,H42050203088,宜昌市疾病预防控制中心高新区门诊部,定点医疗机构,疾病预防控制中心                            
420502,H42050203094,宜昌咿呀口腔门诊部,定点医疗机构,口腔门诊部                  
420502,H42050203097,宜昌西陵心脑未来中医诊所,定点医疗机构,中医诊所                    
420502,H42050203105,宜昌牙管家古佛寺口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050203121,宜昌西陵中南口腔医院葛洲坝门诊部,定点医疗机构,口腔门诊部                  
420502,H42050203129,宜昌高新立宇方诊所,定点医疗机构,普通诊所                    
420503,H42050300002,宜昌市中医医院（宜昌市职业病防治院、三峡大学中医医院）,定点医疗机构,中医（综合）医院  
420502,H42050300003,宜昌市传染病医院 宜昌市第三人民医院,定点医疗机构,传染病医院        
420503,H42050300004,三峡大学附属仁和医院,定点医疗机构,综合医院            
420503,H42050300006,宜昌伍家岗郑松牙牙乐口腔诊所,定点医疗机构,普通诊所                    
420503,H42050300009,宜昌爱尔眼科医院,定点医疗机构,眼科医院          
420503,H42050300010,宜昌市伍家岗区大公桥社区卫生服务中心,定点医疗机构,社区卫生服务中心
420503,H42050300011,宜昌市伍家岗区福久源社区卫生服务站,定点医疗机构,社区卫生服务站
420503,H42050300013,宜昌伍家岗陈万会时代口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300015,宜昌伍家岗陈劲松福鑫口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300017,宜昌伍家岗吕尧诊所,定点医疗机构,医务室                        
420503,H42050300018,宜昌伍家岗周世武诊所,定点医疗机构,普通诊所                    
420503,H42050300019,宜昌伍家岗刘华兵辅仁诊所,定点医疗机构,普通诊所                    
420503,H42050300059,宜昌牙卫士口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300081,宜昌伍家岗万氏中医诊所,定点医疗机构,中医诊所                    
420503,H42050300185,宜昌伍家岗费群英呗尔特口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300187,宜昌伍家岗康仁门诊部,定点医疗机构,综合门诊部
420503,H42050300188,宜昌伍家岗岳氏中医诊所,定点医疗机构,普通诊所                    
420503,H42050300189,宜昌伍家岗李强皮肤堂诊所,定点医疗机构,普通诊所                    
420503,H42050300190,宜昌伍家岗曹江雨康惠口腔诊所,定点医疗机构,普通诊所                    
420503,H42050300191,宜昌伍家岗胡刚德新诊所,定点医疗机构,普通诊所                    
420503,H42050300193,宜昌市妇幼保健院（宜昌市儿童医院、三峡大学妇女儿童临床医院、宜昌市妇幼保健和计划生育服务中心）,定点医疗机构,妇幼保健院                                  
420503,H42050300196,宜昌伍家岗卫康诊所,定点医疗机构,普通诊所                    
420503,H42050300197,宜昌伍家岗时代口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300198,伍家岗区宝塔河街道杨岔路社区卫生服务中心（宜昌市万寿医院、宜昌市惠民医院、伍家岗区妇幼健康计划生育服务站）,定点医疗机构,社区卫生服务中心
420503,H42050300201,宜昌长航医院,定点医疗机构,综合医院            
420503,H42050300202,宜昌伍家岗顺昌口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300212,宜昌伍家岗税成明诊所,定点医疗机构,普通诊所                    
420503,H42050300218,宜昌伍家岗宏健诊所,定点医疗机构,普通诊所                    
420503,H42050300221,宜昌长航医院东院,定点医疗机构,综合医院            
420503,H42050300225,宜昌伍家岗康欣诊所,定点医疗机构,普通诊所                    
420503,H42050300226,宜昌伍家岗韩庆莉皓康诊所,定点医疗机构,普通诊所                    
420503,H42050300288,宜昌伍家岗热电诊所,定点医疗机构,普通诊所                    
420503,H42050300289,宜昌伍家岗蒋勇诊所,定点医疗机构,普通诊所                    
420503,H42050300292,宜昌伍家岗齐露丹中西医结合诊所,定点医疗机构,普通诊所                    
420503,H42050300295,宜昌市伍家岗区伍家乡旭光村卫生室,定点医疗机构,村卫生室                      
420503,H42050300299,宜昌市伍家岗区伍家乡共谊村卫生室,定点医疗机构,村卫生室                      
420503,H42050300302,宜昌市伍家岗区白沙路社区卫生服务中心（宜昌市伍家岗区人民医院）,定点医疗机构,社区卫生服务中心
420503,H42050300303,宜昌伍家岗赵艮琼和谐口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300304,宜昌伍家岗邓良新东辰口腔诊所,定点医疗机构,口腔门诊部                  
420503,H42050300305,宜昌市平惠诊所有限公司,定点医疗机构,普通诊所                    
420503,H42050300306,宜昌市伍家岗区伍家乡共前村卫生室,定点医疗机构,村卫生室                      
420503,H42050300318,宜昌市中心人民医院（三峡大学第一临床医学院、三峡大学附属中心人民医院）,定点医疗机构,综合医院            
420503,H42050300344,宜昌市伍家岗区宝塔河街道中南路社区卫生服务站,定点医疗机构,社区卫生服务站
420503,H42050300355,宜昌伍家岗李征宇时运诊所,定点医疗机构,普通诊所                    
420503,H42050300356,宜昌伍家岗普仁堂诊所,定点医疗机构,普通诊所                    
420503,H42050300621,宜昌鑫家园妇产医院,定点医疗机构,妇产（科）医院    
420503,H42050300622,宜昌伍家岗王创诊所,定点医疗机构,普通诊所                    
420503,H42050300623,北京同仁堂宜昌胜利路中医诊所,定点医疗机构,中医诊所                    
420503,H42050300624,宜昌市伍家岗区城东社区卫生服务中心,定点医疗机构,社区卫生服务中心
420503,H42050300625,宜昌伍家岗范芙蓉口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300626,宜昌伍家岗谭众诊所,定点医疗机构,普通诊所                    
420503,H42050300627,宜昌伍家岗邵莉平口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300628,宜昌伍家岗张树平诊所,定点医疗机构,普通诊所                    
420503,H42050300629,宜昌伍家岗蒋斌诊所,定点医疗机构,中西医结合诊所              
420503,H42050300630,宜昌伍家岗美康口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050300631,宜昌春华牛皮癣中医专科医院,定点医疗机构,其他中医专科医院  
420503,H42050300632,宜昌伍家岗万隆口腔门诊部,定点医疗机构,口腔门诊部                  
420503,H42050300633,宜昌伍家岗熊玮口腔门诊部,定点医疗机构,口腔门诊部                  
420503,H42050300634,宜昌市伍家岗区福康诊所,定点医疗机构,普通诊所                    
420503,H42050300638,宜昌市伍家岗区花艳社区卫生服务中心,定点医疗机构,社区卫生服务中心
420503,H42050300639,宜昌伍家岗康达中医诊所,定点医疗机构,中医诊所                    
420503,H42050300641,宜昌 伍家岗万飞雪诊所,定点医疗机构,普通诊所                    
420503,H42050300642,宜昌伍家岗牛德富乐雅诊所,定点医疗机构,普通诊所                    
420503,H42050300923,宜昌伍家岗张楠诊所,定点医疗机构,普通诊所                    
420503,H42050300949,宜昌伍家岗汪焕然艾家咀诊所,定点医疗机构,普通诊所                    
420503,H42050301104,宜昌伍家岗金明和胃诊所,定点医疗机构,普通诊所                    
420503,H42050301105,宜昌伍家岗泽明诊所,定点医疗机构,普通诊所                    
420503,H42050301150,宜昌伍家岗徐锡顺汇康内科诊所,定点医疗机构,普通诊所                    
420503,H42050301174,宜昌伍家岗瑞康诊所,定点医疗机构,普通诊所                    
420503,H42050301177,宜昌伍家岗杜贤万仁缘诊所,定点医疗机构,普通诊所                    
420503,H42050301256,宜昌伍家岗美信口腔诊所,定点医疗机构,普通诊所                    
420503,H42050301257,宜昌伍家岗赵茜平诊所,定点医疗机构,普通诊所                    
420503,H42050301258,宜昌伍家岗亚江诊所,定点医疗机构,普通诊所                    
420503,H42050301259,宜昌伍家岗辛夷口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301260,宜昌伍家岗杜开江长康口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301261,宜昌伍家岗全莉顺意堂诊所,定点医疗机构,普通诊所                    
420503,H42050301262,宜昌伍家岗廖仁平平民诊所,定点医疗机构,普通诊所                    
420503,H42050301263,宜昌伍家岗郭保华德康诊所,定点医疗机构,普通诊所                    
420503,H42050301264,宜昌市西陵区白龙诊所,定点医疗机构,普通诊所                    
420503,H42050301361,宜昌市伍家岗区爱心护理院,定点医疗机构,护理院                      
420503,H42050301362,宜昌伍家岗李登云诊所,定点医疗机构,普通诊所                    
420503,H42050301371,宜昌伍家岗梅和平梅氏中医诊所,定点医疗机构,普通诊所                    
420503,H42050301373,宜昌伍家岗彭晓荷金台口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301445,宜昌伍家岗蒋义华合益诊所,定点医疗机构,普通诊所                    
420503,H42050301448,宜昌伍家岗健鑫诊所,定点医疗机构,普通诊所                    
420503,H42050301449,宜昌伍家岗王雪梅艾雅口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301453,宜昌伍家岗张绍富众健诊所,定点医疗机构,普通诊所                    
420503,H42050301496,宜昌御人堂中医康复医院,定点医疗机构,中医（综合）医院  
420503,H42050301507,宜昌伍家岗严枫喜中医诊所,定点医疗机构,普通诊所                    
420503,H42050301526,宜昌伍家岗蒋劲松楚康诊所,定点医疗机构,普通诊所                    
420503,H42050301531,宜昌伍家岗瑞齿口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301533,宜昌彭氏中医医院,定点医疗机构,中医（综合）医院  
420503,H42050301543,宜昌伍家岗仁康综合门诊部,定点医疗机构,综合门诊部
420503,H42050301565,宜昌伍家岗闵建丽乐加口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301576,宜昌伍家岗维康口腔诊所,定点医疗机构,口腔诊所                    
420503,H42050301584,宜昌伍家岗美思特口腔诊所,定点医疗机构,普通诊所                    
420503,H42050301601,宜昌伍家岗康瑞中医诊所,定点医疗机构,中医诊所                    
420503,H42050301604,宜昌伍家岗刘传福仁诊所,定点医疗机构,普通诊所                    
420503,H42050301624,宜昌伍家岗昌顺口腔诊所,定点医疗机构,口腔诊所                    
