xh,jgmc,zzjgdm,jjlx,wsjglb,jgflgl,sfggwsjg,xzqh
53,宜都罗远信诊所,PDY850997,民营,诊所类,营利性医疗机构,,宜都市
54,宜都文峰诊所,PDY851359,民营,诊所类,营利性医疗机构,,宜都市
55,宜都上和中医诊所,PDY851471,民营,诊所类,营利性医疗机构,,宜都市
56,宜都艾思眼科诊所,PDY850823,民营,诊所类,营利性医疗机构,,宜都市
57,宜都枝城镇刘晓艳口腔诊所,PDY003923,民营,诊所类,营利性医疗机构,,宜都市
58,宜都枝城镇黎孔英诊所,PDY848969,民营,诊所类,营利性医疗机构,,宜都市
59,宜都董斌诊所,PDY002197,民营,诊所类,营利性医疗机构,,宜都市
60,宜都城乡信谊诊所,PDY003085,民营,诊所类,营利性医疗机构,,宜都市
61,宜都雅美口腔诊所,PDY842962,民营,诊所类,营利性医疗机构,,宜都市
62,宜都分路碑呀科口腔诊所,PDY843068,民营,诊所类,营利性医疗机构,,宜都市
63,宜都胡雁军诊所,PDY843797,民营,诊所类,营利性医疗机构,,宜都市
64,宜都许小敏诊所,PDY849064,民营,诊所类,营利性医疗机构,,宜都市
65,宜都陆城兴谊诊所,PDY851199,民营,诊所类,营利性医疗机构,,宜都市
66,宜都家多福诊所,PDY851316,民营,诊所类,营利性医疗机构,,宜都市
67,宜都拾光医疗美容诊所,PDY851447,民营,诊所类,营利性医疗机构,,宜都市
68,宜都美添天合美邦医疗美容诊所,PDY851367,民营,诊所类,营利性医疗机构,,宜都市
69,宜都肖玉格诊所,MA4B2M9L4,民营,诊所类,营利性医疗机构,,宜都市
70,宜都郭宏权诊所,PDY843156,民营,诊所类,营利性医疗机构,,宜都市
71,宜都枝城昌鹤综合门诊部,PDY848547,民营,诊所类,营利性医疗机构,,宜都市
72,宜都赵家尚诊所,PDY001610,民营,诊所类,营利性医疗机构,,宜都市
73,宜都刘代靖诊所,PDY842719,民营,诊所类,营利性医疗机构,,宜都市
74,宜都陆城福泽苑诊所,PDY843084,民营,诊所类,营利性医疗机构,,宜都市
75,宜都杨晚霞口腔诊所,PDY843930,民营,诊所类,营利性医疗机构,,宜都市
76,宜都康和中医诊所,PDY850671,民营,诊所类,营利性医疗机构,,宜都市
77,宜都陆城博鑫诊所,PDY844378,民营,诊所类,营利性医疗机构,,宜都市
78,宜都常虹张天炎诊所,PDY851121,民营,诊所类,营利性医疗机构,,宜都市
79,宜都德邻院诊所,PDY851324,民营,诊所类,营利性医疗机构,,宜都市
80,宜都姚家店盛景堂中医诊所,PDY851068,民营,诊所类,营利性医疗机构,,宜都市
81,宜都曹卫华中医诊所,PDY851017,民营,诊所类,营利性医疗机构,,宜都市
82,宜都恒妍医疗美容门诊部,PDY851412,民营,诊所类,营利性医疗机构,,宜都市
83,宜都张练武口腔诊所,PDY843164,民营,诊所类,营利性医疗机构,,宜都市
84,宜都陆城柳祚荣诊所,PDY84284X,民营,诊所类,营利性医疗机构,,宜都市
85,宜都杨丽诊所,PDY843105,民营,诊所类,营利性医疗机构,,宜都市
86,宜都向家秀口腔诊所,PDY002795,民营,诊所类,营利性医疗机构,,宜都市
87,宜都文艺口腔诊所,PDY002859,民营,诊所类,营利性医疗机构,,宜都市
88,宜都陆城康盛中医诊所,PDY003763,民营,诊所类,营利性医疗机构,,宜都市
89,宜都汪泽萍诊所,PDY843535,民营,诊所类,营利性医疗机构,,宜都市
90,宜都枝城镇永康诊所,PDY84356X,民营,诊所类,营利性医疗机构,,宜都市
91,宜都枝城镇曹晓燕诊所,PDY001661,民营,诊所类,营利性医疗机构,,宜都市
92,宜都枝城杜玉芬口腔诊所,PDY850831,民营,诊所类,营利性医疗机构,,宜都市
93,枝江市仙女镇中心福利院医务室,PDY845936,公立,诊所类,非营利性医疗机构,,枝江市
94,枝江市安福寺镇中心福利院医务室,PDY847018,公立,诊所类,非营利性医疗机构,,枝江市
95,枝江市七星台镇农村中心福利院医务室,PDY84591X,公立,诊所类,非营利性医疗机构,,枝江市
96,三峡大学附属仁和医院枝江铁路卫生所,PDY845880,公立,诊所类,营利性医疗机构,,枝江市
97,枝江市马家店街道办事处中心福利院医务室,PDY847050,公立,诊所类,非营利性医疗机构,,枝江市
98,枝江市百里洲镇中心福利院医务室,PDY845928,公立,诊所类,非营利性医疗机构,,枝江市
99,枝江市董市镇中心福利院医务室,PDY847034,公立,诊所类,非营利性医疗机构,,枝江市
100,枝江市董市镇姚家港医务室,PDY847026,公立,诊所类,非营利性医疗机构,,枝江市
101,枝江市中医医院驻枝江市看守所卫生所,PDY845952,公立,诊所类,非营利性医疗机构,,枝江市
102,枝江市马家店街道办事处江口福利院医务室,PDY847042,公立,诊所类,非营利性医疗机构,,枝江市
103,枝江市问安镇中心福利院医务室,PDY845944,公立,诊所类,非营利性医疗机构,,枝江市
104,枝江市职业教育中心医务室,PDY843981,公立,诊所类,非营利性医疗机构,,枝江市
105,枝江市第一高级中学医务室,PDY845231,公立,诊所类,非营利性医疗机构,,枝江市
106,宜昌市第二社会福利院医务室,PDY84460X,公立,诊所类,非营利性医疗机构,,枝江市
107,枝江市第二高级中学医务室,PDY84524X,公立,诊所类,非营利性医疗机构,,枝江市
108,枝江杨江莅诊所,PDY843586,民营,诊所类,营利性医疗机构,,枝江市
109,枝江周天美诊所,PDY844917,民营,诊所类,营利性医疗机构,,枝江市
110,枝江孙独元诊所,PDY846453,民营,诊所类,营利性医疗机构,,枝江市
111,枝江通君乐中医诊所,PDY847376,民营,诊所类,营利性医疗机构,,枝江市
112,枝江永之康诊所,PDY844853,民营,诊所类,营利性医疗机构,,枝江市
113,枝江建华诊所,PDY845135,民营,诊所类,营利性医疗机构,,枝江市
114,枝江陈明芳诊所,PDY844132,民营,诊所类,营利性医疗机构,,枝江市
115,武汉乐一口腔枝江门诊部,PDY846509,民营,诊所类,营利性医疗机构,,枝江市
116,枝江理豪诊所,PDY845792,民营,诊所类,营利性医疗机构,,枝江市
117,枝江董先福诊所,PDY847421,民营,诊所类,营利性医疗机构,,枝江市
118,枝江曾勇诊所,PDY843850,民营,诊所类,营利性医疗机构,,枝江市
119,枝江覃金乐口腔诊所,PDY845020,民营,诊所类,营利性医疗机构,,枝江市
120,枝江曹绪双诊所,PDY845127,民营,诊所类,营利性医疗机构,,枝江市
121,枝江赵芝全中医诊所,PDY844079,民营,诊所类,营利性医疗机构,,枝江市
122,枝江李彤云诊所,PDY847069,民营,诊所类,营利性医疗机构,,枝江市
123,枝江郭莉诊所,PDY844802,民营,诊所类,营利性医疗机构,,枝江市
124,枝江周永斌诊所,PDY844175,民营,诊所类,营利性医疗机构,,枝江市
125,枝江朗朗口腔诊所,PDY846998,民营,诊所类,营利性医疗机构,,枝江市
126,枝江鸿瑞口腔诊所,PDY846971,民营,诊所类,营利性医疗机构,,枝江市
127,枝江陈家凤诊所,PDY845178,民营,诊所类,营利性医疗机构,,枝江市
128,枝江郑华诊所,PDY844933,民营,诊所类,营利性医疗机构,,枝江市
129,枝江莫琦诊所,PDY844941,民营,诊所类,营利性医疗机构,,枝江市
130,枝江程际华口腔诊所,PDY844263,民营,诊所类,营利性医疗机构,,枝江市
131,枝江魏家礼中医诊所,PDY844810,民营,诊所类,营利性医疗机构,,枝江市
132,枝江周代华诊所,PDY847456,民营,诊所类,营利性医疗机构,,枝江市
133,枝江良春诊所,PDY843914,民营,诊所类,营利性医疗机构,,枝江市
134,枝江泰昌诊所,PDY844909,民营,诊所类,营利性医疗机构,,枝江市
135,枝江四和诊所,PDY844255,民营,诊所类,营利性医疗机构,,枝江市
136,枝江民兴诊所,PDY845223,民营,诊所类,营利性医疗机构,,枝江市
137,枝江陈小英诊所,PDY844925,民营,诊所类,营利性医疗机构,,枝江市
138,枝江朱中海口腔诊所,PDY847464,民营,诊所类,营利性医疗机构,,枝江市
139,枝江裕康诊所,PDY844220,民营,诊所类,营利性医疗机构,,枝江市
140,枝江康迪隆诊所,PDY846445,民营,诊所类,营利性医疗机构,,枝江市
141,枝江周心华中医诊所,PDY84575X,民营,诊所类,营利性医疗机构,,枝江市
142,枝江同捷诊所,PDY84647X,民营,诊所类,营利性医疗机构,,枝江市
143,枝江吕晓露诊所,PDY830160,民营,诊所类,营利性医疗机构,,枝江市
144,枝江彭家富诊所,PDY844562,民营,诊所类,营利性医疗机构,,枝江市
145,枝江赫家雄诊所,PDY847157,民营,诊所类,营利性医疗机构,,枝江市
146,枝江李江艳诊所,PDY846488,民营,诊所类,营利性医疗机构,,枝江市
147,枝江蔡芹诊所,PDY844773,民营,诊所类,营利性医疗机构,,枝江市
148,枝江玉萍诊所,PDY845100,民营,诊所类,营利性医疗机构,,枝江市
149,枝江美雅口腔诊所,PDY845725,民营,诊所类,营利性医疗机构,,枝江市
150,枝江牙牙口腔门诊部,PDY845514,民营,诊所类,营利性医疗机构,,枝江市
151,枝江徐久悦诊所,PDY845063,民营,诊所类,营利性医疗机构,,枝江市
152,向培新口腔诊所,PDY845290,民营,诊所类,营利性医疗机构,,枝江市
153,枝江仁爱口腔诊所,PDY845987,民营,诊所类,营利性医疗机构,,枝江市
154,湖北楚辉医疗服务有限公司枝江陆贰陆诊所,PDY845557,民营,诊所类,营利性医疗机构,,枝江市
155,枝江诺美医疗美容诊所,PDY843922,民营,诊所类,营利性医疗机构,,枝江市
156,枝江付会芹诊所,PDY844845,民营,诊所类,营利性医疗机构,,枝江市
157,枝江陈明香诊所,PDY843877,民营,诊所类,营利性医疗机构,,枝江市
158,枝江惠民中医诊所,PDY846023,民营,诊所类,营利性医疗机构,,枝江市
159,枝江易礼洲诊所,PDY844781,民营,诊所类,营利性医疗机构,,枝江市
160,枝江金智兵诊所,PDY845768,民营,诊所类,营利性医疗机构,,枝江市
161,枝江彭滔口腔诊所,PDY843869,民营,诊所类,营利性医疗机构,,枝江市
162,枝江胡庆鹏盲人医疗按摩所,PDY845047,民营,诊所类,营利性医疗机构,,枝江市
163,枝江四季中医诊所,PDY846007,民营,诊所类,营利性医疗机构,,枝江市
164,枝江众大诊所,PDY847392,民营,诊所类,营利性医疗机构,,枝江市
165,枝江弘泽诊所,PDY846496,民营,诊所类,营利性医疗机构,,枝江市
166,枝江樊华芹诊所,PDY847448,民营,诊所类,营利性医疗机构,,枝江市
167,枝江何孔金诊所,PDY84487X,民营,诊所类,营利性医疗机构,,枝江市
168,枝江嘉福中医诊所,PDY846058,民营,诊所类,营利性医疗机构,,枝江市
169,枝江林运望中医诊所,PDY846031,民营,诊所类,营利性医疗机构,,枝江市
170,枝江普康中医诊所,PDY846015,民营,诊所类,营利性医疗机构,,枝江市
171,枝江张玉华中医诊所,MADN9L841,民营,诊所类,营利性医疗机构,,枝江市
172,枝江立吉美医疗美容诊所,PDY847480,民营,诊所类,营利性医疗机构,,枝江市
173,枝江蒋敬民中医诊所,PDY845696,民营,诊所类,营利性医疗机构,,枝江市
174,枝江润玉口腔诊所,PDY845979,民营,诊所类,营利性医疗机构,,枝江市
175,枝江成思口腔诊所,PDY84698X,民营,诊所类,营利性医疗机构,,枝江市
176,枝江王群口腔诊所,PDY845039,民营,诊所类,营利性医疗机构,,枝江市
177,枝江开兴中医诊所,PDY845709,民营,诊所类,营利性医疗机构,,枝江市
178,枝江德馨诊所,PDY844976,民营,诊所类,营利性医疗机构,,枝江市
179,枝江美悦口腔诊所,PDY845506,民营,诊所类,营利性医疗机构,,枝江市
180,枝江董市老街中医诊所,PDY843607,民营,诊所类,营利性医疗机构,,枝江市
181,枝江作虎中医诊所,PDY843623,民营,诊所类,营利性医疗机构,,枝江市
182,枝江郜雅口腔门诊部,PDY846461,民营,诊所类,营利性医疗机构,,枝江市
183,枝江周晓玲口腔诊所,PDY845864,民营,诊所类,营利性医疗机构,,枝江市
184,枝江杨宇中医诊所,PDY84604X,民营,诊所类,营利性医疗机构,,枝江市
185,枝江爱雅仕口腔诊所,PDY845995,民营,诊所类,营利性医疗机构,,枝江市
186,枝江赵培元口腔诊所,PDY845522,民营,诊所类,营利性医疗机构,,枝江市
187,枝江苏时梅诊所,PDY84743X,民营,诊所类,营利性医疗机构,,枝江市
188,枝江榕树家中医诊所,PDY847413,民营,诊所类,营利性医疗机构,,枝江市
189,枝江保元堂中医诊所,PDY847384,民营,诊所类,营利性医疗机构,,枝江市
190,枝江潘志革诊所,PDY844861,民营,诊所类,营利性医疗机构,,枝江市
191,枝江胡玉林中医诊所,PDY845565,民营,诊所类,营利性医疗机构,,枝江市
192,枝江贾小军中医诊所,PDY844829,民营,诊所类,营利性医疗机构,,枝江市
193,枝江艾思眼科诊所,PDY845573,民营,诊所类,营利性医疗机构,,枝江市
194,枝江唐杰诊所,PDY843957,民营,诊所类,营利性医疗机构,,枝江市
195,枝江周蓓口腔诊所,PDY846437,民营,诊所类,营利性医疗机构,,枝江市
196,长坂坡中医诊所,PDY845549,民营,诊所类,营利性医疗机构,,枝江市
197,枝江刘中梅诊所,PDY845004,民营,诊所类,营利性医疗机构,,枝江市
198,枝江予海口腔诊所,PDY843893,民营,诊所类,营利性医疗机构,,枝江市
199,枝江孟宪廷诊所,PDY844407,民营,诊所类,营利性医疗机构,,枝江市
200,当阳市玉泉办事处卫生院驻福利院医务室,PDY837186,公立,诊所类,非营利性医疗机构,,当阳市
201,当阳市第一高级中学医务室,PDY821192,公立,诊所类,非营利性医疗机构,,当阳市
202,当阳市两河镇卫生院驻农村福利院医务室,PDY83732X,公立,诊所类,非营利性医疗机构,,当阳市
203,当阳市中医院第二高级中学医务室,PDY826815,公立,诊所类,非营利性医疗机构,,当阳市
204,当阳市半月镇福利院医务室,PDY837311,公立,诊所类,非营利性医疗机构,,当阳市
205,当阳长坂坡医院驻当阳看守所卫生所,PDY820050,公立,诊所类,非营利性医疗机构,,当阳市
206,当阳长坂坡医院驻光荣院医务室,PDY820114,公立,诊所类,营利性医疗机构,,当阳市
207,当阳葛洲坝水泥有限责任公司医务室,PDY820173,民营,诊所类,营利性医疗机构,,当阳市
208,当阳永健医药有限公司新民分公司中医诊所,PDY837063,民营,诊所类,营利性医疗机构,,当阳市
209,当阳胡春波诊所,420055052,民营,诊所类,营利性医疗机构,,当阳市
210,当阳市谢爱青中医内科诊所,PDY82035X,民营,诊所类,营利性医疗机构,,当阳市
211,当阳市张光裕诊所,PDY820843,民营,诊所类,营利性医疗机构,,当阳市
212,当阳王怀洲中医诊所,PDY836992,民营,诊所类,营利性医疗机构,,当阳市
213,当阳市郑英莲诊所,PDY820181,民营,诊所类,营利性医疗机构,,当阳市
214,当阳陈顺义诊所,PDY82051X,民营,诊所类,营利性医疗机构,,当阳市
215,当阳市文松林诊所,PDY820018,民营,诊所类,营利性医疗机构,,当阳市
216,当阳张云艳诊所,PDY836888,民营,诊所类,营利性医疗机构,,当阳市
217,当阳市向斌诊所,PDY821010,民营,诊所类,营利性医疗机构,,当阳市
218,当阳周文宜诊所,PDY820288,民营,诊所类,营利性医疗机构,,当阳市
219,当阳张亮诊所,PDY820472,民营,诊所类,营利性医疗机构,,当阳市
220,当阳袁悦诊所,PDY836933,民营,诊所类,营利性医疗机构,,当阳市
221,当阳市祥顺大药房中医坐堂医诊所,420063536,民营,诊所类,营利性医疗机构,,当阳市
222,当阳市齐婷诊所,PDY820958,民营,诊所类,营利性医疗机构,,当阳市
223,当阳市蔡兴国诊所,PDY821045,民营,诊所类,营利性医疗机构,,当阳市
224,当阳云飞诊所,420054913,民营,诊所类,营利性医疗机构,,当阳市
225,当阳冯运友诊所,PDY820093,民营,诊所类,营利性医疗机构,,当阳市
226,当阳市王爱华诊所,PDY821248,民营,诊所类,营利性医疗机构,,当阳市
227,当阳市余玉修诊所,PDY820325,民营,诊所类,营利性医疗机构,,当阳市
228,当阳饶锦辉诊所,PDY820368,民营,诊所类,营利性医疗机构,,当阳市
229,当阳奥莱美诺医疗美容诊所,420065804,民营,诊所类,营利性医疗机构,,当阳市
230,当阳雷鹏诊所,PDY821141,民营,诊所类,营利性医疗机构,,当阳市
231,当阳市曹功义诊所,PDY824211,民营,诊所类,营利性医疗机构,,当阳市
232,当阳市柳家军诊所,PDY821096,民营,诊所类,营利性医疗机构,,当阳市
233,当阳市袁前步诊所,PDY821352,民营,诊所类,营利性医疗机构,,当阳市
234,当阳长坂坡田帮耀诊所,420064507,民营,诊所类,营利性医疗机构,,当阳市
235,当阳市佟政诊所,PDY820106,民营,诊所类,营利性医疗机构,,当阳市
236,当阳市涂春玲诊所,PDY820659,民营,诊所类,营利性医疗机构,,当阳市
237,当阳姚志华中医诊所,420065263,民营,诊所类,营利性医疗机构,,当阳市
238,当阳市李云鹏诊所,PDY821133,民营,诊所类,营利性医疗机构,,当阳市
239,当阳詹红清诊所,PDY837071,民营,诊所类,营利性医疗机构,,当阳市
240,当阳市肖美玲诊所,PDY820464,民营,诊所类,营利性医疗机构,,当阳市
241,当阳蒋静诊所,PDY836917,民营,诊所类,营利性医疗机构,,当阳市
242,当阳刘承利中医诊所,PDY820587,民营,诊所类,营利性医疗机构,,当阳市
243,当阳市长坂坡康宁药业有限公司中医诊所,PDY837223,民营,诊所类,营利性医疗机构,,当阳市
244,当阳杨云诊所,PDY820704,民营,诊所类,营利性医疗机构,,当阳市
245,当阳市苏志军诊所,PDY821301,民营,诊所类,营利性医疗机构,,当阳市
246,当阳曹诗兰诊所,420065310,民营,诊所类,营利性医疗机构,,当阳市
247,当阳市贺厚新诊所,PDY820878,民营,诊所类,营利性医疗机构,,当阳市
248,当阳市陈梅诊所,PDY821264,民营,诊所类,营利性医疗机构,,当阳市
249,当阳刘七林诊所,PDY820739,民营,诊所类,营利性医疗机构,,当阳市
250,宜昌高济长坂坡大药房连锁有限公司南正街店中医诊所,420060653,民营,诊所类,营利性医疗机构,,当阳市
251,宜昌高济长坂坡大药房连锁有限公司第五分店诊所,420065229,民营,诊所类,营利性医疗机构,,当阳市
252,当阳柯燕平口腔诊所,PDY836896,民营,诊所类,营利性医疗机构,,当阳市
253,当阳李士佩诊所,PDY820560,民营,诊所类,营利性医疗机构,,当阳市
254,当阳蒋义诊所,PDY837127,民营,诊所类,营利性医疗机构,,当阳市
255,当阳文燕诊所,420060863,民营,诊所类,营利性医疗机构,,当阳市
256,当阳市张其和诊所,PDY82078X,民营,诊所类,营利性医疗机构,,当阳市
257,当阳市王华诊所,PDY820405,民营,诊所类,营利性医疗机构,,当阳市
258,当阳市王永丰诊所,PDY821328,民营,诊所类,营利性医疗机构,,当阳市
259,当阳林冲诊所,420065612,民营,诊所类,营利性医疗机构,,当阳市
260,当阳长坂坡大药房利民店中医坐堂医诊所,PDY837119,民营,诊所类,营利性医疗机构,,当阳市
261,当阳阮英俊口腔诊所,PDY837039,民营,诊所类,营利性医疗机构,,当阳市
262,当阳市刘天梅诊所,PDY820763,民营,诊所类,营利性医疗机构,,当阳市
263,当阳苏氏牙科诊所,420063563,民营,诊所类,营利性医疗机构,,当阳市
264,当阳王店祥顺大药房中医诊所,PDY836984,民营,诊所类,营利性医疗机构,,当阳市
265,当阳市朱明中医诊所,PDY820771,民营,诊所类,营利性医疗机构,,当阳市
266,当阳杨小燕诊所,PDY83695X,民营,诊所类,营利性医疗机构,,当阳市
267,当阳市黄相洪诊所,PDY82131X,民营,诊所类,营利性医疗机构,,当阳市
268,当阳曹云华诊所,PDY837047,民营,诊所类,营利性医疗机构,,当阳市
269,当阳市何春莲诊所,PDY820755,民营,诊所类,营利性医疗机构,,当阳市
270,当阳周爱华口腔诊所,PDY820202,民营,诊所类,营利性医疗机构,,当阳市
271,当阳华静医疗美容诊所,420065797,民营,诊所类,营利性医疗机构,,当阳市
272,当阳市刘应柏诊所,PDY821109,民营,诊所类,营利性医疗机构,,当阳市
273,当阳龙广法口腔诊所,PDY83716X,民营,诊所类,营利性医疗机构,,当阳市
274,当阳童巧云诊所,420057015,民营,诊所类,营利性医疗机构,,当阳市
275,当阳宋明华诊所,PDY837020,民营,诊所类,营利性医疗机构,,当阳市
276,当阳市高敏口腔诊所,PDY821336,民营,诊所类,营利性医疗机构,,当阳市
277,当阳汪作忠中医诊所,PDY83708X,民营,诊所类,营利性医疗机构,,当阳市
278,当阳市吴圣波诊所,PDY821029,民营,诊所类,营利性医疗机构,,当阳市
279,当阳干红兵诊所,PDY820595,民营,诊所类,营利性医疗机构,,当阳市
280,当阳付先进诊所,PDY820536,民营,诊所类,营利性医疗机构,,当阳市
281,当阳曹良平诊所,PDY836925,民营,诊所类,营利性医疗机构,,当阳市
282,当阳文柏林诊所,PDY826807,民营,诊所类,营利性医疗机构,,当阳市
283,当阳谈朝勇中医诊所,420054971,民营,诊所类,营利性医疗机构,,当阳市
284,当阳付攀娣诊所,PDY820069,民营,诊所类,营利性医疗机构,,当阳市
285,当阳胡勇诊所,PDY820149,民营,诊所类,营利性医疗机构,,当阳市
286,当阳郑新诊所,PDY82043X,民营,诊所类,营利性医疗机构,,当阳市
287,当阳陈永龙口腔诊所,420054910,民营,诊所类,营利性医疗机构,,当阳市
288,当阳邓君诊所,PDY820456,民营,诊所类,营利性医疗机构,,当阳市
289,当阳李向东中医诊所,420063478,民营,诊所类,营利性医疗机构,,当阳市
290,当阳市刘白桦诊所,PDY820747,民营,诊所类,营利性医疗机构,,当阳市
291,当阳市刘方国诊所,PDY821125,民营,诊所类,营利性医疗机构,,当阳市
292,当阳玉阳祥瑞大药房中医坐堂医诊所,PDY837098,民营,诊所类,营利性医疗机构,,当阳市
293,当阳章平口腔诊所,420053188,民营,诊所类,营利性医疗机构,,当阳市
294,当阳市干溪大药房中医诊所,PDY836976,民营,诊所类,营利性医疗机构,,当阳市
295,宜昌高济长坂坡大药房连锁有限公司香榭水岸店中医诊所,PDY83724X,民营,诊所类,营利性医疗机构,,当阳市
296,宜昌高济长坂坡大药房连锁有限公司大众店,PDY837258,民营,诊所类,营利性医疗机构,,当阳市
297,宜昌高济长坂坡大药房连锁有限公司中医诊所,PDY837231,民营,诊所类,营利性医疗机构,,当阳市
298,远安县疾病预防控制中心门诊部,PDY00140H,公立,诊所类,非营利性医疗机构,,远安县
299,远安县人民医院驻看守所卫生所,PDY00154H,公立,诊所类,非营利性医疗机构,,远安县
300,远安县职业教育中心医务室,420260810,公立,诊所类,非营利性医疗机构,,远安县
301,远安县第一高级中学医务室,42025973X,公立,诊所类,非营利性医疗机构,,远安县
302,湖北航天医院江河医务室,420283983,公立,诊所类,营利性医疗机构,,远安县
303,嫘祖诊所,MA48W85H9,民营,诊所类,营利性医疗机构,,远安县
304,远安周立志中医诊所,MA4B0JCB2,民营,诊所类,营利性医疗机构,,远安县
305,远安施德诊所,MA4B3EKX6,民营,诊所类,营利性医疗机构,,远安县
306,远安谭爱萍全科诊所,MADMNM9B3,民营,诊所类,营利性医疗机构,,远安县
307,便民诊所,MA4DK6EL2,民营,诊所类,营利性医疗机构,,远安县
308,远安县鸣凤镇博爱诊所,MA4B0L5H2,民营,诊所类,营利性医疗机构,,远安县
309,远安朱氏中医诊所,MA4B27NM0,民营,诊所类,营利性医疗机构,,远安县
310,家福诊所,MA4CLMR36,民营,诊所类,营利性医疗机构,,远安县
