xh,jgmc,wsjglb,xzqh,mzzlrc,bz,tjsj
51,秭归县郭家坝镇中心卫生院,卫生院,秭归县,53149,,2024年
52,秭归县沙镇溪镇中心卫生院,卫生院,秭归县,56897,,2024年
53,长阳县火烧坪乡卫生院,卫生院,长阳土家族自治县,10560,,2024年
54,长阳县磨市镇卫生院,卫生院,长阳土家族自治县,55729,,2024年
55,长阳县高家堰镇卫生院,卫生院,长阳土家族自治县,43515,,2024年
56,长阳县贺家坪镇中心卫生院,卫生院,长阳土家族自治县,45845,,2024年
57,长阳县鸭子口乡卫生院,卫生院,长阳土家族自治县,8626,,2024年
58,长阳县大堰乡卫生院,卫生院,长阳土家族自治县,30611,,2024年
59,长阳县资丘镇中心卫生院,卫生院,长阳土家族自治县,22968,,2024年
60,长阳县渔峡口镇卫生院,卫生院,长阳土家族自治县,55039,,2024年
61,长阳县榔坪镇中心卫生院,卫生院,长阳土家族自治县,71229,,2024年
62,长阳县都镇湾镇中心卫生院,卫生院,长阳土家族自治县,45321,,2024年
63,长阳县龙舟坪镇卫生院,卫生院,长阳土家族自治县,16078,,2024年
64,五峰土家族自治县牛庄乡卫生院,卫生院,五峰土家族自治县,7666,,2024年
65,五峰土家族自治县湾潭中心卫生院,卫生院,五峰土家族自治县,20562,,2024年
66,五峰土家族自治县仁和坪镇卫生院,卫生院,五峰土家族自治县,23666,,2024年
67,五峰土家族自治县傅家堰乡卫生院,卫生院,五峰土家族自治县,10342,,2024年
68,五峰土家族自治县渔洋关镇卫生院,卫生院,五峰土家族自治县,28787,,2024年
69,五峰土家族自治县长乐坪镇卫生院,卫生院,五峰土家族自治县,18033,,2024年
70,五峰土家族自治县采花中心卫生院,卫生院,五峰土家族自治县,15693,,2024年
71,五峰土家族自治县五峰镇中心卫生院,卫生院,五峰土家族自治县,30532,,2024年
72,夷陵区樟村坪镇卫生院,卫生院,夷陵区,24285,,2024年
73,夷陵区乐天溪镇卫生院,卫生院,夷陵区,25243,,2024年
74,夷陵区分乡镇中心卫生院,卫生院,夷陵区,24999,,2024年
75,夷陵区下堡坪乡卫生院,卫生院,夷陵区,14066,,2024年
76,夷陵区龙泉镇卫生院,卫生院,夷陵区,48640,,2024年
77,夷陵区三斗坪镇卫生院,卫生院,夷陵区,18968,,2024年
78,夷陵区邓村乡卫生院,卫生院,夷陵区,17186,,2024年
79,夷陵区太平溪镇中心卫生院,卫生院,夷陵区,18282,,2024年
80,夷陵区雾渡河镇中心卫生院,卫生院,夷陵区,28206,,2024年
81,夷陵区黄花镇卫生院,卫生院,夷陵区,49183,,2024年
82,夷陵区鸦鹊岭镇中心卫生院,卫生院,夷陵区,87169,,2024年
83,宜昌市点军区艾家镇卫生院,卫生院,点军区,7446,,2024年
84,宜昌市点军区土城乡卫生院,卫生院,点军区,26078,,2024年
85,宜昌市点军区联棚乡卫生院,卫生院,点军区,45774,,2024年
86,宜昌市点军区桥边镇中心卫生院,卫生院,点军区,33147,,2024年
87,白洋镇卫生院,卫生院,高新区,27515,,2024年
88,宜都市枝城镇卫生院,一般卫生院 ,宜都市,92825,,2025.6
89,宜都市高坝洲镇卫生院,一般卫生院 ,宜都市,41725,,2025.6
90,宜都市姚家店镇卫生院,一般卫生院 ,宜都市,65229,,2025.6
91,宜都市聂家河镇卫生院,一般卫生院 ,宜都市,25632,,2025.6
92,宜都市五眼泉镇卫生院,一般卫生院 ,宜都市,42117,,2025.6
93,宜都市潘家湾土家族乡卫生院,一般卫生院 ,宜都市,51568,,2025.6
94,宜都市松宜矿区卫生院,一般卫生院 ,宜都市,12090,,2025.6
95,宜都市松木坪镇中心卫生院,中心卫生院,宜都市,35566,,2025.6
96,宜都市王家畈镇中心卫生院,中心卫生院,宜都市,39384,,2025.6
97,宜都市红花套镇中心卫生院,中心卫生院,宜都市,33805,,2025.6
98,枝江市顾家店镇卫生院,一般卫生院 ,枝江市,63481,,2025.6
99,枝江市七星台镇卫生院,一般卫生院 ,枝江市,78046,,2025.6
100,枝江市仙女镇卫生院,一般卫生院 ,枝江市,36275,,2025.6
101,枝江市董市镇卫生院,一般卫生院 ,枝江市,61417,,2025.6
102,枝江市安福寺镇中心卫生院,中心卫生院,枝江市,83666,,2025.6
103,枝江市问安镇中心卫生院,中心卫生院,枝江市,52197,,2025.6
104,枝江市百里洲镇中心卫生院,中心卫生院,枝江市,104626,,2025.6
105,当阳市坝陵办事处卫生院,一般卫生院 ,当阳市,79543,,2025.6
106,当阳市庙前镇卫生院,一般卫生院 ,当阳市,14571,,2025.6
107,当阳市两河镇卫生院,一般卫生院 ,当阳市,20359,,2025.6
108,当阳市半月镇卫生院,一般卫生院 ,当阳市,40969,,2025.6
109,当阳市草埠湖镇卫生院,一般卫生院 ,当阳市,30865,,2025.6
110,当阳市玉泉办事处卫生院,一般卫生院 ,当阳市,46232,,2025.6
111,当阳市河溶镇中心卫生院,中心卫生院,当阳市,68438,,2025.6
112,当阳市王店镇中心卫生院,中心卫生院,当阳市,23824,,2025.6
113,当阳市淯溪镇中心卫生院,中心卫生院,当阳市,58833,,2025.6
114,远安县河口乡卫生院,一般卫生院 ,远安县,16593,,2025.6
115,远安县旧县镇卫生院,一般卫生院 ,远安县,24420,,2025.6
116,远安县花林寺镇卫生院,一般卫生院 ,远安县,22963,,2025.6
117,远安县洋坪镇中心卫生院,中心卫生院,远安县,51774,,2025.6
118,远安县茅坪场镇中心卫生院,中心卫生院,远安县,33272,,2025.6
119,远安县嫘祖镇中心卫生院,中心卫生院,远安县,38269,,2025.6
120,兴山县古夫镇卫生院,一般卫生院 ,兴山县,25079,,2025.6
121,兴山县榛子乡卫生院,一般卫生院 ,兴山县,18950,,2025.6
122,兴山县南阳镇卫生院,一般卫生院 ,兴山县,20605,,2025.6
123,兴山县高桥乡卫生院,一般卫生院 ,兴山县,20250,,2025.6
124,兴山县昭君镇卫生院,一般卫生院 ,兴山县,,与兴山县中医医院一个单位两个牌子，数据以中医医院为准！,2025.6
125,兴山县黄粮镇中心卫生院,中心卫生院,兴山县,23546,,2025.6
126,兴山县峡口镇中心卫生院,中心卫生院,兴山县,19975,,2025.6
127,兴山县水月寺镇中心卫生院,中心卫生院,兴山县,16607,,2025.6
128,秭归县水田坝乡卫生院,一般卫生院 ,秭归县,122454,,2025.6
129,秭归县两河口镇卫生院,一般卫生院 ,秭归县,113617,,2025.6
130,秭归县九畹溪镇卫生院,一般卫生院 ,秭归县,37947,,2025.6
131,秭归县泄滩乡卫生院,一般卫生院 ,秭归县,33494,,2025.6
132,秭归县梅家河乡卫生院,一般卫生院 ,秭归县,37546,,2025.6
133,秭归县磨坪乡卫生院,一般卫生院 ,秭归县,32408,,2025.6
134,秭归县屈原镇卫生院,一般卫生院 ,秭归县,30258,,2025.6
135,秭归县茅坪镇卫生院,一般卫生院 ,秭归县,,与秭归县中医医院一个单位两个牌子，数据以中医医院为准！,2025.6
136,秭归县沙镇溪镇中心卫生院,中心卫生院,秭归县,56758,,2025.6
137,秭归县归州镇中心卫生院,中心卫生院,秭归县,112989,,2025.6
138,秭归县杨林桥镇中心卫生院,中心卫生院,秭归县,59569,,2025.6
139,秭归县郭家坝镇中心卫生院,中心卫生院,秭归县,78054,,2025.6
140,长阳县渔峡口镇卫生院,一般卫生院 ,长阳县,64131,,2025.6
141,长阳县大堰乡卫生院,一般卫生院 ,长阳县,33607,,2025.6
142,长阳县磨市镇卫生院,一般卫生院 ,长阳县,55325,,2025.6
143,长阳县高家堰镇卫生院,一般卫生院 ,长阳县,23873,,2025.6
144,长阳县龙舟坪镇卫生院,一般卫生院 ,长阳县,14503,,2025.6
145,长阳县鸭子口乡卫生院,一般卫生院 ,长阳县,10050,,2025.6
146,长阳县火烧坪乡卫生院,一般卫生院 ,长阳县,13376,,2025.6
147,长阳县都镇湾镇中心卫生院,中心卫生院,长阳县,47116,,2025.6
148,长阳县榔坪镇中心卫生院,中心卫生院,长阳县,83012,,2025.6
149,长阳县资丘镇中心卫生院,中心卫生院,长阳县,28450,,2025.6
150,长阳县贺家坪镇中心卫生院,中心卫生院,长阳县,20050,,2025.6
151,五峰土家族自治县仁和坪镇卫生院,中心卫生院,五峰县,24735,,2025.6
152,五峰土家族自治县傅家堰乡卫生院,一般卫生院 ,五峰县,12186,,2025.6
153,五峰土家族自治县渔洋关镇卫生院,一般卫生院 ,五峰县,17977,,2025.6
154,五峰土家族自治县长乐坪镇卫生院,一般卫生院 ,五峰县,17528,,2025.6
155,五峰土家族自治县五峰镇卫生院,一般卫生院 ,五峰县,51042,,2025.6
156,五峰土家族自治县牛庄乡卫生院,一般卫生院 ,五峰县,9627,,2025.6
157,五峰土家族自治县湾潭中心卫生院,中心卫生院,五峰县,23351,,2025.6
158,五峰土家族自治县采花中心卫生院,中心卫生院,五峰县,17035,,2025.6
159,夷陵区黄花镇卫生院,一般卫生院 ,夷陵区,52379,,2025.6
160,夷陵区邓村乡卫生院,一般卫生院 ,夷陵区,19359,,2025.6
161,夷陵区太平溪镇卫生院,一般卫生院 ,夷陵区,18609,,2025.6
162,夷陵区下堡坪乡卫生院,一般卫生院 ,夷陵区,15925,,2025.6
163,夷陵区三斗坪镇卫生院,一般卫生院 ,夷陵区,21612,,2025.6
164,夷陵区樟村坪镇卫生院,一般卫生院 ,夷陵区,25088,,2025.6
165,夷陵区龙泉镇卫生院,一般卫生院 ,夷陵区,55314,,2025.6
166,夷陵区乐天溪镇中心卫生院,中心卫生院,夷陵区,27819,,2025.6
167,夷陵区鸦鹊岭镇中心卫生院,中心卫生院,夷陵区,90363,,2025.6
168,夷陵区雾渡河镇中心卫生院,中心卫生院,夷陵区,41760,,2025.6
169,夷陵区分乡镇中心卫生院,中心卫生院,夷陵区,27816,,2025.6
170,宜昌市点军区土城乡卫生院,一般卫生院 ,点军区,28298,,2025.6
171,宜昌市点军区桥边镇卫生院,一般卫生院 ,点军区,40194,,2025.6
172,宜昌市点军区艾家镇卫生院,一般卫生院 ,点军区,9154,,2025.6
173,宜昌市点军区联棚乡中心卫生院,中心卫生院,点军区,46030,,2025.6
174,枝江市白洋镇卫生院,一般卫生院 ,宜昌高新区,33869,,2025.6
