xh,xsq,dwmc,fwlx,xxdz,lxdh,gzsj
18,西陵区,宜昌市第三人民医院预防接种门诊,成人接种，狂犬病暴露处置,宜昌市西陵区港窑路23号,0717-6487475，0717-6481295,成人接种周一到周日，上午8：00—11：30，下午14：30—17：00。狂犬疫苗门诊每天24小时接种
19,西陵区,宜昌市三医院产科接种点,产科接种,宜昌市西陵区港窑路23号,0717-6485369,24小时
20,高新区,白洋镇卫生院,儿童、成人接种；狂犬病暴露处置,宜昌市高新区白洋镇陵江街43号,0717-4402344,成人接种周一到周五，儿童接种周一，周三，周五，工作时间：上午8：00-11：30，下午2：00-5：00。狂犬疫苗接种时间周一到周日：上午8：00-11：30，下午2：00-5：00
21,伍家岗区,大公桥社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,宜昌市夷陵大道125号,0717-6058890,1、儿童、成人接种：上午8：00--11：30，下午14：30--17：00（会根据季节调整接种时间，以“宜健通”信息为准）； 2、犬伤门诊：周一至周日24小时。
22,伍家岗区,白沙路社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,宜昌市伍家岗区白沙路6号,0717-6552285,1、儿童、成人接种：上午8：00--11：30，下午14：30--17：00（会根据季节调整接种时间，以“宜健通”信息为准）； 2、犬伤门诊：周一至周日24小时。
23,伍家岗区,白沙路社区卫生服务中心狂犬病暴露处置门诊,狂犬病暴露处置,宜昌市伍家岗区东山大道340号,0717-6552055,犬伤门诊：周一至周日24小时。
24,伍家岗区,宜昌市妇幼保健院接种门诊,儿童、成人接种,宜昌市城东大道99号,0717-6475230,周一到周日全天，上午8点—12点，下午2点半—五点半
25,伍家岗区,张家坡社区医务室接种门诊,儿童、成人接种；狂犬病暴露处置,宜昌市东山大道305号,0717-6354275,"2、儿童、成人接种：上午8：00--11：30，下午14：00--17：00（会根据季节调整接种时间，以“宜健通”信息为准）； 2、犬伤门诊：周一至周日。上午8：00--11：30，下午14：00--17：00

"
26,伍家岗区,杨岔路社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,宜昌市伍家岗区合益路66号,0717-6915619/6915617（白）0717-6915650（夜）,"2、儿童、成人接种：上午8：00--11：30，下午14：00--17：00（会根据季节调整接种时间，以“宜健通”信息为准）； 2、犬伤门诊：周一至周日24小时。

"
27,伍家岗区,城东社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,宜昌市城东大道105号,0717-6522758/19986642951,"2、儿童、成人接种：上午8：00--11：30，下午14：00--17：00（会根据季节调整接种时间，以“宜健通”信息为准）； 2、犬伤门诊：周一至周日上午8：00--11：30，下午14：00--20：00。

"
28,伍家岗区,湖北国际旅行卫生保健中心宜昌门诊部,出入境接种,宜昌市沿江大道160号,"0717-6281971/
18986800228",法定工作日 ：上午8：00-12：00，下午14：30-17：00
29,伍家岗区,花艳社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,宜昌市伍家岗区伍家乡共和村5组,0717—6261960/0717-6261760,1、儿童、成人接种：上午8：00--11：30，下午14：30--17：00（会根据季节调整接种时间，以“宜健通”信息为准）； 2、犬伤门诊：周一至周日24小时。
30,伍家岗区,长航医院东院成人预防接种门诊,成人接种、狂犬病暴露处置,宜昌市伍家岗区合益路49号,0717-6523718/18062378002,1、成人预防接种：周一至周日上午8：00-12：00，下午14：30-17：00 ；2、犬伤门诊：周一至周日08：00-21：00
31,伍家岗区,三峡大学附属仁和医院成人预防接种门诊,成人接种,湖北省宜昌市伍家岗区沈家店路2号,0717-6555161,"工作时间周一至周六上午8：00-11：30，下午14：30-17：00）国家规定节假日另行通知！
"
32,伍家岗区,三峡大学附属仁和医院狂犬病暴露处置门诊,狂犬病暴露处置,宜昌市夷陵路410号,0717-6555189,24小时
33,伍家岗区,宜昌鑫家园妇产科接种点医院,产科接种,宜昌市伍家岗区伍临路31号,0717-6866030,24小时
34,伍家岗区,宜昌妇幼保健院产科接种点,产科接种,宜昌市城东大道99号,0717-6457120,24小时
35,伍家岗区,宜昌市中心医院产科接种点,产科接种,宜昌市夷陵大道183号,0717-6487965,24小时
36,伍家岗区,三峡大学附属仁和医院产科接种点,产科接种,宜昌市伍家岗区夷陵大道410号,0717-6554168,24小时
37,点军区,"联棚乡卫生院
接种门诊",儿童、成人接种；狂犬病暴露处置,宜昌市联棚乡联棚村二组,0717-6629120工作日)/0717-6679120（24小时）,1、儿童接种门诊每周一上午8：00-11：30，下午14：00-17：00 ;周五下午14.00-17.00（具体时间以“宜健通”放号为准）；2、成人预防接种 周一至周六上午8：00-11：30，下午14：00-17：00 ；3、犬伤门诊：周一至周日24小时。
38,点军区,"桥边镇卫生院
接种门诊",儿童、成人接种；狂犬病暴露处置,宜昌市点军区桥边集镇1026号,0717-7881560（工作日）/0717-7881010（24小时）,1、儿童、成人预防接种门诊每周二上午、周五上午8：00-11：30（会根据季节调整接种时间，具体时间以“宜健通”放号为准）。 2、犬伤门诊：周一至周日24小时
39,点军区,"艾家镇卫生院接种门诊
",儿童、成人接种；狂犬病暴露处置,"宜昌市点军区
艾家镇刘家村5组",0717-7900006/0717-7900131（24小时）,儿童，成人接种门诊周一至周五上午8：00-11：30，下午14：00-17：00。狂犬门诊24小时接诊
40,点军区,"土城乡卫生院
接种门诊",儿童、成人接种；狂犬病暴露处置,"点军区土城乡土城村3组
",0717_7884022,"1、儿童、成人预防接种门诊每周五上午8点至12点，（会根据季节调
整接种时间，具体以“宜健通”小程序放号为准，以预约的号源为准）。 2、犬伤门诊：周一至周日24小时。
"
41,点军区,宜昌市中心人民医院江南院区成人预防接种门诊,成人接种,点军区点军乡五龙大道3号,0717-6860208,周一至周五上午8：00-11：30下午14：30-17：00，周六上午8：00-11：30（周四下午不接种）法定节假日以宜健通放号为准
42,点军区,宜昌市点军区医院产科接种点,产科接种,宜昌市点军区五龙大道3号,0717-6675056,24小时
43,猇亭区,古老背社区卫生服务中心接种门诊,儿童、成人接种,宜昌市猇亭区桐岭路21号,0717-6514595,周一至周日上午8：00-11：30，下午14：30-17：00；周末节假日接种需提前在“宜健通”小程序上预约（会根据季节调整接种时间，以“宜健通”小程序信息为准）。
44,猇亭区,宜昌市第五人民医院成人预防接种门诊,狂犬病暴露处置,宜昌市猇亭区正大路38号,0717-6510120,犬伤门诊周一至周日全天
45,猇亭区,宜昌市五医院产科接种点,产科接种,宜昌市猇亭区正大路38号,0717-6515663,24小时
46,夷陵区,宜昌市夷陵区小溪塔街道社区卫生服务中心预防接种门诊,儿童、成人接种,夷陵区小溪塔街道平湖大道26号 （儿童、成人接种）,0717-7827187 ,周一至周日8：00-11：30，14：30-17：00，春节另行安排。
47,夷陵区,,狂犬病暴露处置,夷陵区小溪塔街道平云一路31号（犬伤接种）,0717-7823065,24小时
48,夷陵区,宜昌市夷陵区小溪塔街道望江社区卫生服务中心预防接种门诊,儿童、成人接种,夷陵区小溪塔街道锦江大道22号,0717-7851865,周一至周五上午8：00-11：30，下午14：30-17：00，周六上午8：30-11：30，节假日除外。
49,夷陵区,宜昌市夷陵人民医院（妇幼院区）预防接种门诊,儿童、成人接种,夷陵区东城城乡统筹发展试验区锦江大道97号,0717-7821953,周一至周日8：00-11：30，14：30-17：00。
50,夷陵区,宜昌市夷陵人民医院（综合院区）狂犬病暴露预防处置门诊,狂犬病暴露处置,夷陵区小溪塔街道东湖大道32号,0717-7827360,24小时
51,夷陵区,宜昌市夷陵区东城城乡统筹发展试验区社区卫生服务中心预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区东城城乡统筹发展试验区鄢家河村3组,0717-7786081,周一、周三上午8：00-11：30，下午14：30-17：00，节假日除外。狂犬病暴露处置门诊：24小时
52,夷陵区,宜昌市夷陵区樟村坪镇卫生院预防接种门诊,"儿童、成人接种；狂犬病暴露处置；
",夷陵区樟村坪镇明珠路6号,0717-7660017,周一上午8：00-12：00，下午14：30-17：00，节假日除外。狂犬病暴露处置门诊：24小时
53,夷陵区,宜昌市夷陵区雾渡河镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区雾渡河镇小庙村1组,狂犬病暴露处置门诊电话0717-7613120 （24小时)     疫苗接种门诊电话 0717-7611208,周三上午8：00-11：30，下午14：30-17：00，节假日除外。狂犬病暴露处置门诊：24小时
54,夷陵区,宜昌市夷陵区分乡镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区分乡镇敬存路165号,0717-7930272,上半年周三上午8：00-12：00，下午14：30-17：30；下半年周三上午8：00-12：00，下午14：00-17：00，节假日除外。狂犬病暴露处置门诊：24小时
55,夷陵区,宜昌市夷陵区太平溪镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区太平溪镇烟竹园路1号,0717-7510145,儿童接种门诊周三上午8：00-11：30，下午14：00-17：00，节假日除外。狂犬病暴露门诊：24小时。
56,夷陵区,宜昌市夷陵区三斗坪镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区三斗坪镇黛狮路104号,0717-6611245,周一上午8：00-11：30，下午14：30-17：00，节假日除外。狂犬病暴露处置门诊：24小时
57,夷陵区,宜昌市夷陵区乐天溪镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区乐天溪镇八河口街10号,0717-7560299,周二上午8：00-11：30，下午14：30-17：00，节假日除外。狂犬病暴露处置门诊：24小时
58,夷陵区,"宜昌市夷陵区龙泉镇卫生院预防接种门诊
",儿童、成人接种；狂犬病暴露处置,夷陵区龙泉镇龙泉大道57号,0717-7761501 （24小时） 0717-7761504,周一至周五上午8：00-11：30，下午14：30-17：00，节假日除外。狂犬病暴露门诊：24小时
59,夷陵区,宜昌市夷陵区鸦鹊岭镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置；产科接种,夷陵区鸦鹊岭镇梅林大道63号,"0717-7734542
0717-7734569（24小时）",周一至周五上午8：00-11：30，下午14：30-17：00，节假日除外。狂犬病暴露门诊：24小时
60,夷陵区,宜昌市夷陵区下堡坪乡卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区下堡坪乡下堡坪集镇秀峰街110号,0717-7631121,周一至周五上午8：00-11：30，节假日除外。
61,夷陵区,宜昌市夷陵区邓村乡卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区邓村乡邓红路52号,0717-7500041,儿童接种门诊周二上午8：00-12：00，下午14：30-17：00，节假日除外。狂犬病暴露门诊：24小时。
62,夷陵区,宜昌市夷陵区黄花镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,夷陵区黄花镇川汉路109号,0717-7516259,周三上午8：00-11：30，下午14：00-17：00节假日除外。狂犬病暴露处置门诊：24小时
63,夷陵区,宜昌市夷陵人民医院（妇幼院区）产科接种点,产科接种,夷陵区东城城乡统筹发展试验区锦江大道97号,0717-8850258,24小时
64,枝江市,枝江市马家店街道社区卫生服务中心预防接种门诊,儿童、成人接种,马家店街道团结路18号,0717-4200790,周一，周二，周三，周五上午8：00-11：30，下午14：30-17：00，周六周日上午8：00-11：30，节假日接种时间会临时发布通知
65,枝江市,枝江市七星台镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,七星台镇滨江路35号,0717-4513221,"狂犬暴露处置：周一至周日上午08：00-12：00，下午14：30-17：00；儿童成人接种：周一、二、三、五上午08：00-11：30,下午14：30-17：00，节假日接种时间会临时在辖区内发布通知"
66,枝江市,枝江市顾家店镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,顾家店镇曹廷杰大道25号,0717-4161090,"狂犬暴露处置：每日上午08：00-12：00,下午14：30-17：00；儿童成人接种：周一、二、三、五上午08：00-11：30,下午14：30-17：00，节假日接种时间会临时在辖区内发布通知"
67,枝江市,枝江市问安镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,问安镇万安路25号,0717-4519916,"狂犬暴露处置每日08：00-12：00,14：30-17：00；儿童成人接种：每周一、三、五08：00-11：30,14：30-16：30，节假日接种时间会临时在辖区内发布通知"
68,枝江市,枝江市安福寺镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,安福寺镇玛瑙河大道153号,0717-4463605,"狂犬暴露处置：周一至周日上午08：00-12：00,下午14：30-17：00；儿童成人接种：周一、二、三、五上午08：00-11：30,下午14：30-17：00，节假日接种时间会临时在辖区内发布通知"
69,枝江市,枝江市仙女镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,枝江市仙女镇新正街37号,0717-4266214,"狂犬暴露处置每日08：00-12：00,14：30-17：00；儿童成人接种工作日08：00-11：30,14：30-17：00，节假日接种时间会临时在辖区内发布通知"
70,枝江市,枝江市百里洲镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,百里洲镇市场路23号,"0717-4513120
13647275239","狂犬暴露处置：周一至周日上午08：00-12：00,下午14：30-17：00；儿童成人接种工作日上午08：00-12：00,下午14：30-17：00，节假日接种时间会临时在辖区内发布通知"
71,枝江市,枝江市董市镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,董市镇金盆山大道25号,0717-4102636,"狂犬暴露处置每日08：00-12：00,14：30-17：00；儿童成人接种工作日08：00-11：30,14：30-17：00，节假日接种时间会临时在辖区内发布通知"
72,枝江市,枝江市妇幼保健院预防接种门诊,儿童、成人接种；,马家店街道民主大道111号,0717-4513868,周一至周六上午08：00—11：30，下午14：30—17：00；
73,枝江市,枝江市妇幼保健院产科接种点,产科接种,马家店街道民主大道111号,0717-4513868,周一至周日上午08：00—11：30，下午14：30—17：00；
74,枝江市,枝江市中医医院狂犬病暴露预防处置门诊,狂犬病暴露预防处置,马家店街道团结路18号,0717-4212510,狂犬病暴露处置周一至周日全天24小时
75,枝江市,枝江市中医医院产科接种点,产科接种,马家店街道团结路18号,0717-4211145,周一至周日上午08：00—12：00，下午14：30—17：30；
76,枝江市,枝江市人民医院产科接种点,产科接种,马家店街道友谊大道61号,0717-4505449,周一至周日上午08：00-11：30，下午14：00-16：30;
77,宜都市,陆城街道社区卫生服务中心（接种门诊）,儿童，成人接种；狂犬病暴露处置,陆城街道园林大道160号,0717-4822728,狂犬暴露处置每日24小时；周一至周日上午8：00-11：30，下午14：30-17：00
78,宜都市,枝城镇卫生院（接种门诊）,儿童，成人接种；狂犬病暴露处置,枝城镇城坡垴路9号,0717-4660582,狂犬暴露处置每日24小时；儿童成人接种周一至周六上午8：00-11：30，下午14：00-17：00
79,宜都市,红花套镇卫生院（接种门诊）,儿童，成人接种；狂犬病暴露处置,红花套镇荆门山大道37号,0717-4816363,"狂犬暴露处置每日24小时；儿童成人接种：每周一至周五08：00-11：30,14：00-17：00"
80,宜都市,高坝洲镇卫生院（接种门诊）,儿童、成人接种、狂犬病暴露处置,高坝洲镇中坪村三组,0717-4952284,"狂犬暴露处置每日24小时；儿童成人接种：每周一08：00-11：30,14：00-17：00"
81,宜都市,松木坪镇中心卫生院（接种门诊）,儿童，成人接种；狂犬病暴露处置,松木坪镇贺炳炎大道39号,0717-4600044,"狂犬暴露处置每日24小时；儿童成人接种：每周三08：00-11：30,14：30-17：00"
82,宜都市,王家畈镇中心卫生院（接种门诊）,儿童、成人接种；狂犬病暴露处置,王家畈集镇永安路125号,0717-4791120,狂犬暴露处置每日24小时；儿童成人接种：每周四上午8：00-12：00
83,宜都市,姚家店镇卫生院（接种门诊）,儿童、成人接种；狂犬病暴露处置,姚家店村二组(楠竹园路77号,0717-4840977,狂犬暴露处置每日24小时；儿童成人接种：周一至周五上午8：00-11：30，下午14：30-17：00
84,宜都市,潘家湾土家族乡卫生院（接种门诊）,儿童、成人接种；狂犬病暴露处置,潘家湾土家族乡石林路107号,0717-4735057,狂犬暴露处置每日24小时；儿童成人接种：每周二8：00-11：30，14：30-17：00
85,宜都市,聂家河镇卫生院（接种门诊）,儿童、成人接种；狂犬病暴露处置,聂家河镇渔洋路13号,0717-4770026,狂犬暴露处置每日24小时；儿童成人接种：周一至周五上午7：30-11：00，下午14：30-17：00
86,宜都市,五眼泉镇卫生院（接种门诊）,儿童、成人接种；狂犬病暴露处置,五眼泉镇庙岗107号,0717-4850847,狂犬暴露处置每日24小时；儿童、成人接种周二上午8：00-11：30，下午14：30-17：00
87,宜都市,宜都市妇幼保健院（接种门诊）,儿童、成人接种,宜都市陆城街道宜华大道100号,0717-4823100,周一至周日上午8：00-11：30，下午14：30-17：00
88,宜都市,宜都市妇幼保健院（产科）,产科接种,宜都市陆城街道宜华大道100号,0717-4903861,周一至周日上午8：00-11：30，下午14：00-17：00
89,宜都市,宜都市人民医院产科,产科接种,宜都市陆城街道东正街52号,0717-4903066,周一至周日上午8：00-11：30，下午14：00-17：00
90,当阳市,半月镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,半月镇马窑路97号,0717-3442250,"儿童接种： 周二上午8：00--11：00；5月-9月，周二上午7：30--11：00。
成人接种 ：周一至周五上午8：00-11：30；下午14：30-17：00。狂苗接种：周一至周日上午8：00--11：30；下午 14：30-17：00"
91,当阳市,两河镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,两河镇麦城路58号,0717-3380049,"儿童接种：周四上午8：00--11：30。成人接种：周一至周五 上午8：00--11：30，下午14：30--17：00。狂苗接种：周一至周日 上午8：00--11：30；下午14：30--17：00
"
92,当阳市,王店镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,王店镇汉宜路102号,0717-3460383,"儿童接种：周一至周三上午8：00--11：00。成人接种：周一至周三（ 上午8：00--11：00，下午14：30--16：30）。狂苗接种：周一至周日（上午8：00--11：00，下午14：30--17：00）
"
93,当阳市,草埠湖镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,草埠湖镇盘山路135号,0717-3480699,儿童接种：周二上午08：00--11：00；5月至9月，周二上午7：30--11：00 。 成人接种：周一至周五上午8：00—11：00  ，  下午14：30—17：00。狂苗接种：周一至周日上午8：00—11：30，下午14：30—17：00
94,当阳市,河溶镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,河溶镇溶新路103号,0717-3351600,"儿童接种：周一至周二上午8：00--11：00。成人接种：周一至周四 上午8：00--11：00。狂苗接种：周一至周日 上午8：00--12：00，下午14：00--17：00
"
95,当阳市,坝陵卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,坝陵开发区车站路28号,0717-3281013,儿童接种：周四上午08：00--11：30。成人接种：周一至周五上午08：00--11：30，下午14：30-17：00。狂苗接种：周一至周日上午08：00--11：30，下午 14：30--17：00
96,当阳市,坝陵卫生院慈化接种点,儿童,坝陵慈化社区慈窑路167号,0717-3281013,"儿童接种：周三上午08：00--11：30

"
97,当阳市,玉泉办事处卫生院干溪接种门诊,儿童、成人接种；狂犬病暴露处置,玉泉干溪集镇,0717-3321303,"儿童接种：周四上午08：00--11：30。成人接种：周一、周二、周四上午8：00--11：30，下午14：00--16：30。狂苗接种：周一至周日08：00--11：30  ，下午14：00--16：30
"
98,当阳市,玉泉办事处卫生院玉泉接种点,儿童、成人接种,玉泉办事处关陵路51号,0717-3321303,儿童接种：周三上午08：00--11：30。成人接种：周三上午8：00--11：30，下午14：00--16：30
99,当阳市,淯溪镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,淯溪镇大河桥路53号,0717-3360008,"儿童接种：周一至周二上午08：00-11：30。成人接种：周一至周五08：00-11：30, 下午14：30-16：30。狂苗接种：周一至周日上午08：00--12：00 下午 14：30--17：00"
100,当阳市,庙前镇卫生院烟集接种门诊,儿童、成人接种；狂犬病暴露处置,庙前镇烟集街91号,0717-3430780,"儿童接种 ：周一上午8：00-11：30。成人接种：周二至周五，上午8：00-11：30，下午14：30-17：00 。狂苗接种：周一至周日，上午8：00-11：45，下午14：30-17：00                            

"
101,当阳市,当阳市妇幼保健计划生育服务中心预防接种门诊,儿童、成人接种；狂犬病暴露处置,当阳市长坂路151号,0717-3224787,儿童接种：周一至周二、周日上午08：00-11：30，下午14：30-16：30，（多人份疫苗周一上午）。成人接种：周一至周日上午08：00--11：30，下午14：30--17：00。狂苗接种：周一至周日上午08：00--11：30，下午14：30--20：00 
102,当阳市,当阳市人民医院预防接种门诊,儿童、成人接种；狂犬病暴露处置,当阳市玉阳路71号,0717-3254154,儿童接种：周二、周三上午08：00-11：30。成人接种：周一至周五、周日上午08：00-11：30，下午14：30-17：00 。狂苗接种：24小时（门诊急诊科）
103,当阳市,玉阳街道社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,当阳市长坂路159号,0717-3906388,儿童接种：周一周二周日上午08：00-11：30。成人接种：周一至周日上午08：00-11：30，下午14：30-17：00。狂苗接种：周一至周日上午08：00-11：30，下午14：30-17：00
104,当阳市,宜昌市当阳市长坂坡医院产科接种点,产科接种点,当阳市长坂路68号,0717-3903670,周一至周日上午08：00-11：30，下午14：00-17：00
105,当阳市,宜昌市当阳市妇幼保健院产科接种点,产科接种点,当阳市长坂路149号,0717-3226673,周一至周日上午08：00—11：30，下午14：30—17：00
106,当阳市,宜昌市当阳市人民医院产科接种点,产科接种点,当阳市玉阳路71号,0717-3232431,周一至周日上午08：00-11：30，下午14：30-17：00
107,远安县,鸣凤镇社区卫生服务中心接种门诊,儿童、成人接种；狂犬病暴露处置,鸣凤镇解放路60号,0717-3817916,周一至周日上午8：00-11：00，下午14：00-17：00）
108,远安县,花林寺镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,花林寺镇花林路117号,0717-3686480,周一至周日上午8：00-11：00，下午14：00-17：00）
109,远安县,旧县镇卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,旧县镇亭子山路71号,0717-3780133,周一至周日上午8：00-11：00，下午14：00-17：00）
110,远安县,洋坪镇中心卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,洋坪镇汉口路210号,0717-3776231,周一至周日上午8：00-11：00，下午14：00-17：00）
111,远安县,河口乡卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,河口乡云台路16号,0717-3671068,周一至周日上午8：00-11：00，下午14：00-17：00）
112,远安县,茅坪场镇中心卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,茅坪场镇茅坪场路17号,0717-3881819,周一至周日上午8：00-11：00，下午14：00-17：00）
113,远安县,嫘祖镇中心卫生院接种门诊,儿童、成人接种；狂犬病暴露处置,嫘祖镇康庄街44号,0717-3773390,周一至周日上午8：00-11：00，下午14：00-17：00）
114,远安县,远安县人民医院产科接种点,产科接种,鸣凤镇凤仪路169号,0717-3812931,24小时
115,兴山县,昭君镇卫生院预防接种门诊,儿童、成人,兴山县昭君镇小河社区凤凰街1号,0717-2511660,周一至周五上午8：00-12：00， 下午14：30-17：30
116,兴山县,高桥乡卫生院预防接种门诊,儿童、成人,高桥乡龚家桥村二组009号,0717-2459268,周一至周五上午8：00-12：00，下午14：30-17：30
117,兴山县,黄粮镇中心卫生院预防接种门诊,儿童、成人,黄粮镇黄粮坪村6组129号,0717-2400077,冬季：周一至周五上午8：30-12：00，下午14：00-17：30；夏季周一至周五上午8：00-12：00，下午14：30-17：30
118,兴山县,榛子乡卫生院预防接种门诊,儿童、成人、狂犬病暴露处置,榛子乡幸福村三组6号,0717-2408868,周一至周五上午8：00-12：00，下午14：30-17：30
119,兴山县,南阳镇卫生院预防接种门诊,儿童、成人,南阳镇阳泉村一组12号,0717-2450780,周一至周五上午8：00-12：00，下午14：30-17：30
120,兴山县,水月寺镇中心卫生院预防接种门诊,儿童、成人,水月寺镇居委会1组28号,0717-2440098,周一至周五上午8：00-12：00，下午14：30-17：30
121,兴山县,峡口镇中心卫生院预防接种门诊,儿童、成人,兴山县峡口镇居委会一组,0717-2480212,周一至周五上午8：00-12：00，下午14：30-17：30
122,兴山县,兴山县人民医院接种门诊,儿童、成人,兴山县古夫镇香溪大道23号,0717-2519158,周一至周五上午8：00-12：00，下午14：30-17：30
123,兴山县,兴山县人民医院狂犬暴露预防暴露处置门诊,狂犬病暴露处置,,0717-2519090,24小时
124,兴山县,兴山县人民医院产科接种点,产科接种,兴山县香溪大道23号,0717-2519023,24小时
125,五峰县,仁和坪镇卫生院,儿童、成人接种；狂犬病暴露处置,五峰县仁和坪镇正街146号,0717-5754539,儿童、成人接种周一至周五上午8：00--12：00下午14：30--17：30。狂犬病暴露处置周一至周日24h
126,五峰县,长乐坪镇卫生院,儿童、成人接种；狂犬病暴露处置,长乐坪镇下街56号,0717－5781159,儿童、成人接种周一至周五上午8：00--12：00下午14：30--17：30 。 狂犬病暴露处置周一至周日24h
127,五峰县,五峰镇中心卫生院,儿童、成人接种；狂犬病暴露处置,五峰镇黄土包1号,0717－5822306,儿童、成人接种周一至周五上午8：00--12：00下午14：30--17：30 。狂犬病暴露处置周一至周日24h
