xh,jgmc,wsjglb,xzqh,dj,mzzlrc,bz,tjsj
32,长阳土家族自治县精神病医院,专科医院,长阳土家族自治县,二级,,与长阳县中医医院，一个单位两个牌子，以中医医院数据为准。,2024年
33,长阳土家族自治县妇幼保健院,妇幼保健院,长阳土家族自治县,二级,71589,,2024年
34,五峰土家族自治县人民医院,综合医院,五峰土家族自治县,二级,178204,,2024年
35,五峰土家族自治县中医医院,中医（综合）医院,五峰土家族自治县,二级,45796,,2024年
36,五峰土家族自治县妇幼保健计划生育服务中心,妇幼保健院,五峰土家族自治县,二级,12337,,2024年
37,宜昌家和医院,综合医院,夷陵区,二级,34748,,2024年
38,宜昌市夷陵区中医医院,中医（综合）医院,夷陵区,二级,21136,,2024年
39,宜昌夷陵弘仁康复医院,专科医院,夷陵区,二级,5011,,2024年
40,夷陵区妇幼保健院,妇幼保健院,夷陵区,二级,360240,,2024年
41,宜昌长江中医医院,中医（综合）医院,市直管,二级,8646,,2024年
42,宜昌桃花岭泌尿外科医院,专科医院,市直管,二级,313,,2024年
43,宜昌爱合口腔医院,专科医院,市直管,二级,21520,,2024年
44,宜昌中南口腔医院,专科医院,市直管,二级,16034,,2024年
45,宜昌长航医院,综合医院,市直管,二级,15649,,2024年
46,宜昌长航医院东院,综合医院,市直管,二级,79977,,2024年
47,宜昌环生中医肛肠医院,专科医院,市直管,二级,27349,,2024年
48,宜昌咿呀口腔医院,专科医院,市直管,二级,22463,,2024年
49,宜昌鑫家园妇产医院,专科医院,市直管,二级,12422,,2024年
50,宜昌市第五人民医院,综合医院,猇亭区,二级,111598,,2024年
51,湖北三峡职业技术学院附属医院,综合医院,市直管,二级,78924,,2024年
52,宜昌民福医院,综合医院,市直管,二级,26715,,2024年
53,宜昌爱尔东山眼科医院,专科医院,市直管,二级,27017,,2024年
54,宜都市妇幼保健院,妇幼保健院,宜都市,二级,130221,,2025.6
55,宜昌馨语康复医院,康复医院,宜都市,二级,9197,,2025.6
56,宜都咿呀口腔医院,口腔医院,宜都市,二级,13460,,2025.6
57,宜都爱尔眼科医院,眼科医院,宜都市,二级,12804,,2025.6
58,枝江市妇幼保健院,妇幼保健院,枝江市,二级,46337,,2025.6
59,枝江张氏骨科医院,骨科医院,枝江市,二级,25068,,2025.6
60,枝江健宁护理院,护理院,枝江市,二级,8616,,2025.6
61,枝江康福护理院,护理院,枝江市,二级,6475,,2025.6
62,枝江恒晟护理院,护理院,枝江市,二级,29814,,2025.6
63,枝江康宁精神病医院,精神病医院,枝江市,二级,17060,,2025.6
64,枝江博仁疼痛专科医院,其他专科医院,枝江市,二级,14630,,2025.6
65,枝江爱尔眼科医院,眼科医院,枝江市,二级,16371,,2025.6
66,枝江市中医医院,中医（综合）医院,枝江市,二级,106309,,2025.6
67,当阳市妇幼保健院,妇幼保健院,当阳市,二级,37047,,2025.6
68,当阳安康精神病医院,精神病医院,当阳市,二级,30815,,2025.6
69,当阳咿呀口腔医院,口腔医院,当阳市,二级,3691,,2025.6
70,当阳德众口腔医院,口腔医院,当阳市,二级,17159,,2025.6
71,当阳爱尔眼科医院,眼科医院,当阳市,二级,12624,,2025.6
72,当阳仁爱眼科医院,眼科医院,当阳市,二级,6197,,2025.6
73,当阳市中医医院,中医（综合）医院,当阳市,二级,158292,,2025.6
74,当阳长坂坡医院,综合医院,当阳市,二级,81434,,2025.6
75,远安县妇幼保健院,妇幼保健院,远安县,二级,16806,,2025.6
76,远安弘仁康复医院,康复医院,远安县,二级,2104,,2025.6
77,远安咿呀口腔医院,口腔医院,远安县,二级,8958,,2025.6
78,远安县中医医院,中医（综合）医院,远安县,二级,76390,,2025.6
79,远安县人民医院,综合医院,远安县,二级,249844,,2025.6
80,兴山弘仁康复医院,康复医院,兴山县,二级,16850,,2025.6
81,兴山县中医医院,中医（综合）医院,兴山县,二级,68854,,2025.6
82,秭归县妇幼保健院,妇幼保健院,秭归县,二级,52196,,2025.6
83,秭归博德精神病医院,精神病医院,秭归县,二级,3825,,2025.6
84,长阳土家族自治县妇幼保健院,妇幼保健院,长阳县,二级,71384,,2025.6
85,长阳土家族自治县精神病医院,精神病医院,长阳县,二级,,与长阳县中医医院，一个单位两个牌子，以中医医院数据为准！,2025.6
86,长阳爱尔眼科医院,眼科医院,长阳县,二级,10501,,2025.6
87,长阳土家族自治县中医医院,中医（综合）医院,长阳县,二级,113700,,2025.6
88,五峰土家族自治县妇幼保健院,妇幼保健院,五峰县,二级,6118,,2025.6
89,五峰土家族自治县中医医院,中医（综合）医院,五峰县,二级,39707,,2025.6
90,宜昌夷陵康宁精神病医院,精神病医院,夷陵区,二级,3450,,2025.6
91,夷陵区妇幼保健院,妇幼保健院,夷陵区,二级,348725,,2025.6
92,宜昌夷陵弘仁康复医院,康复医院,夷陵区,二级,3938,,2025.6
93,宜昌市夷陵区中医医院,中医（综合）医院,夷陵区,二级,25176,,2025.6
94,宜昌家和医院,综合医院,夷陵区,二级,34965,,2025.6
95,宜昌中南口腔医院,口腔医院,西陵区,二级,18822,,2025.6
96,宜昌爱合口腔医院,口腔医院,西陵区,二级,24327,,2025.6
97,宜昌桃花岭泌尿外科医院,其他专科医院,西陵区,二级,2371,,2025.6
98,宜昌爱尔东山眼科医院,眼科医院,西陵区,二级,21504,,2025.6
99,宜昌长江中医医院,中医（综合）医院,西陵区,二级,9567,,2025.6
100,宜昌民福医院,综合医院,西陵区,二级,28325,,2025.6
101,宜昌鑫家园妇产医院,妇产（科）医院,伍家岗区,二级,10115,,2025.6
102,宜昌咿呀口腔医院,口腔医院,伍家岗区,二级,33317,,2025.6
103,宜昌环生中医肛肠医院,其他专科医院,伍家岗区,二级,35599,,2025.6
104,宜昌长航医院东院,综合医院,伍家岗区,二级,99725,,2025.6
105,宜昌长航医院,综合医院,伍家岗区,二级,14188,,2025.6
106,宜昌市第五人民医院,综合医院,猇亭区,二级,112066,,2025.6
107,湖北三峡职业技术学院附属医院,综合医院,宜昌市直,二级,82288,,2025.6
