xh,jgmc,wsjglb,xzqh,mzzlrc,bz,tjsj
46,松木坪双井寺村卫生室,村卫生室,宜都市,10289,,2024年
47,松木坪江家湾村卫生室,村卫生室,宜都市,6462,,2024年
48,松木坪金岗岭村卫生室,村卫生室,宜都市,8652,,2024年
49,松木坪庙河村卫生室,村卫生室,宜都市,4918,,2024年
50,松木坪彭家桥村卫生室,村卫生室,宜都市,7854,,2024年
51,松木坪茶元寺村卫生室,村卫生室,宜都市,11412,,2024年
52,松木坪镇松木坪村卫生室,村卫生室,宜都市,12278,,2024年
53,松木坪泉水垱村卫生室,村卫生室,宜都市,9510,,2024年
54,松木坪观音桥村卫生室,村卫生室,宜都市,10800,,2024年
55,枝城回龙垱村卫生室,村卫生室,宜都市,4410,,2024年
56,枝城赤溪河村卫生室,村卫生室,宜都市,4610,,2024年
57,枝城何阳店村卫生室,村卫生室,宜都市,5123,,2024年
58,枝城泉水河村卫生室,村卫生室,宜都市,5392,,2024年
59,枝城楼子河村卫生室,村卫生室,宜都市,5725,,2024年
60,枝城龙王台村卫生室,村卫生室,宜都市,5176,,2024年
61,枝城梁家畈村卫生室,村卫生室,宜都市,4681,,2024年
62,枝城六里冲村卫生室,村卫生室,宜都市,3510,,2024年
63,枝城白水港村卫生室,村卫生室,宜都市,8362,,2024年
64,枝城大堰堤村卫生室,村卫生室,宜都市,7992,,2024年
65,枝城官垱村卫生室,村卫生室,宜都市,7769,,2024年
66,枝城架锅山村卫生室,村卫生室,宜都市,5994,,2024年
67,枝城九道河村卫生室,村卫生室,宜都市,7823,,2024年
68,枝城洋溪村卫生室,村卫生室,宜都市,6989,,2024年
69,枝城阳合岭村卫生室,村卫生室,宜都市,4610,,2024年
70,枝城余家桥村卫生室,村卫生室,宜都市,7596,,2024年
71,枝城纸坊冲村卫生室,村卫生室,宜都市,5682,,2024年
72,枝城钟家冲村卫生室,村卫生室,宜都市,4663,,2024年
73,枝城环城村卫生室,村卫生室,宜都市,2612,,2024年
74,枝城三板湖村卫生室,村卫生室,宜都市,5963,,2024年
75,枝城官坪村卫生室,村卫生室,宜都市,3325,,2024年
76,枝城解家冲村卫生室,村卫生室,宜都市,4125,,2024年
77,枝城黎家坪村卫生室,村卫生室,宜都市,6411,,2024年
78,枝城水井坪村卫生室,村卫生室,宜都市,5352,,2024年
79,枝城沿江村卫生室,村卫生室,宜都市,3012,,2024年
80,枝城五峰山村卫生室,村卫生室,宜都市,3910,,2024年
81,枝城洋津畈村卫生室,村卫生室,宜都市,7853,,2024年
82,枝城全心畈村卫生室,村卫生室,宜都市,4012,,2024年
83,姚家店镇红湖社区卫生室,村卫生室,宜都市,6223,,2024年
84,姚家店过路滩村卫生室,村卫生室,宜都市,6972,,2024年
85,姚家店长岭岗村卫生室,村卫生室,宜都市,7120,,2024年
86,姚家店黄莲头村卫生室,村卫生室,宜都市,10563,,2024年
87,姚家店镇姚家店村卫生室,村卫生室,宜都市,7081,,2024年
88,姚家店枫相树村卫生室,村卫生室,宜都市,6625,,2024年
89,姚家店张家冲村卫生室,村卫生室,宜都市,6798,,2024年
90,姚家店新桥河村卫生室,村卫生室,宜都市,10123,,2024年
91,姚家店油榨坪村卫生室,村卫生室,宜都市,6825,,2024年
92,姚家店镇莲花堰社区卫生室,村卫生室,宜都市,9981,,2024年
93,五眼泉镇汉洋坪村卫生室,村卫生室,宜都市,9359,,2024年
94,五眼泉镇石门村卫生室,村卫生室,宜都市,4412,,2024年
95,五眼泉镇望佛桥村卫生室,村卫生室,宜都市,5574,,2024年
96,五眼泉镇响水洞村卫生室,村卫生室,宜都市,7056,,2024年
97,五眼泉镇庙岗村卫生室,村卫生室,宜都市,9497,,2024年
98,五眼泉镇袁家榜村卫生室,村卫生室,宜都市,8203,,2024年
99,五眼泉镇鸡头山村卫生室,村卫生室,宜都市,8736,,2024年
100,五眼泉镇龙口子村卫生室,村卫生室,宜都市,6028,,2024年
101,五眼泉镇荷叶溪村卫生室,村卫生室,宜都市,5310,,2024年
102,五眼泉镇弥水桥村卫生室,村卫生室,宜都市,6460,,2024年
103,五眼泉镇拖溪村卫生室,村卫生室,宜都市,5832,,2024年
104,王家畈白马溪村卫生室,村卫生室,宜都市,6116,,2024年
105,王家畈古水坪村卫生室,村卫生室,宜都市,7242,,2024年
106,王家畈龙潭河村卫生室,村卫生室,宜都市,7242,,2024年
107,王家畈全福河村卫生室,村卫生室,宜都市,7643,,2024年
108,王家畈十三尖村卫生室,村卫生室,宜都市,6002,,2024年
109,王家畈下堡村卫生室,村卫生室,宜都市,7407,,2024年
110,王家畈小河村卫生室,村卫生室,宜都市,2538,,2024年
111,王家畈镇王畈村卫生室,村卫生室,宜都市,7532,,2024年
112,王家畈白玉垴村卫生室,村卫生室,宜都市,6616,,2024年
113,王家畈双河桥村卫生室,村卫生室,宜都市,7172,,2024年
114,王家畈绿竹溪村卫生室,村卫生室,宜都市,4906,,2024年
115,王家畈老屋棚村卫生室,村卫生室,宜都市,8253,,2024年
116,王家畈横冲村卫生室,村卫生室,宜都市,10798,,2024年
117,王家畈大沟村卫生室,村卫生室,宜都市,5711,,2024年
118,王家畈夏家湾村卫生室,村卫生室,宜都市,6776,,2024年
119,王家畈樟桂岭村卫生室,村卫生室,宜都市,7747,,2024年
120,潘家湾沈家冲村卫生室,村卫生室,宜都市,6571,,2024年
121,潘家湾将军山村卫生室,村卫生室,宜都市,8424,,2024年
122,潘家湾栗树垴村卫生室,村卫生室,宜都市,7977,,2024年
123,潘家湾南冲村卫生室,村卫生室,宜都市,8402,,2024年
124,潘家湾望洲坪村卫生室,村卫生室,宜都市,6257,,2024年
125,潘家湾杉木坑村卫生室,村卫生室,宜都市,6915,,2024年
126,潘家湾梁山村卫生室,村卫生室,宜都市,6440,,2024年
127,潘家湾吕家坳村卫生室,村卫生室,宜都市,8741,,2024年
128,枝江市董市镇金盆山卫生室,村卫生室,枝江市,4936,,2024年
129,枝江市马家店街道办事处白家岗村卫生室,村卫生室,枝江市,8631,,2024年
130,枝江市董市镇福星村卫生室,村卫生室,枝江市,5099,,2024年
131,枝江市马家店街道办事处宝筏寺村卫生室,村卫生室,枝江市,9506,,2024年
132,枝江市马家店街道办事处永收垸村卫生室,村卫生室,枝江市,8233,,2024年
133,枝江市马家店街道办事处中桥村卫生室,村卫生室,枝江市,13374,,2024年
134,枝江市马家店街道办事处赵家河村卫生室,村卫生室,枝江市,5126,,2024年
135,枝江市马家店街道办事处滕家河村卫生室,村卫生室,枝江市,8881,,2024年
136,枝江市安福寺镇杨家店村卫生室,村卫生室,枝江市,6184,,2024年
137,枝江市安福寺镇火山口村卫生室,村卫生室,枝江市,6054,,2024年
138,枝江市安福寺镇江家坡村卫生室,村卫生室,枝江市,4700,,2024年
139,枝江市安福寺镇胡家嘴村卫生室,村卫生室,枝江市,6645,,2024年
140,枝江市安福寺镇胡家畈村卫生室,村卫生室,枝江市,4745,,2024年
141,枝江市安福寺镇柏杨冲村卫生室,村卫生室,枝江市,6787,,2024年
142,枝江市安福寺镇金狮湖村卫生室,村卫生室,枝江市,7104,,2024年
143,枝江市安福寺镇廖家林村卫生室,村卫生室,枝江市,8355,,2024年
144,枝江市安福寺镇灵芝山村卫生室,村卫生室,枝江市,6027,,2024年
145,枝江市安福寺镇刘家冲村卫生室,村卫生室,枝江市,6060,,2024年
146,枝江市安福寺镇七里冲村卫生室,村卫生室,枝江市,5592,,2024年
147,枝江市安福寺镇秦家榜村卫生室,村卫生室,枝江市,5214,,2024年
148,枝江市安福寺镇三藏寺村卫生室,村卫生室,枝江市,8203,,2024年
149,枝江市安福寺镇上柏坪村卫生室,村卫生室,枝江市,6291,,2024年
150,枝江市安福寺镇吴家门村卫生室,村卫生室,枝江市,5519,,2024年
151,枝江市安福寺镇徐家嘴村卫生室,村卫生室,枝江市,5316,,2024年
152,枝江市安福寺镇野鸭湾村卫生室,村卫生室,枝江市,5853,,2024年
153,枝江市安福寺镇紫荆岭村卫生室,村卫生室,枝江市,4771,,2024年
154,枝江市安福寺镇邹家冲村卫生室,村卫生室,枝江市,7315,,2024年
155,枝江市安福寺镇蔡家嘴村卫生室,村卫生室,枝江市,6322,,2024年
156,枝江市安福寺镇书院坝村卫生室,村卫生室,枝江市,5180,,2024年
157,枝江市安福寺镇桑树河村卫生室,村卫生室,枝江市,7815,,2024年
158,枝江市安福寺镇丰山岗村卫生室,村卫生室,枝江市,4692,,2024年
159,枝江市安福寺镇罐头嘴村卫生室,村卫生室,枝江市,6658,,2024年
160,枝江市安福寺镇横溪河村卫生室,村卫生室,枝江市,6579,,2024年
161,枝江市顾家店镇青龙山村卫生室,村卫生室,枝江市,8732,,2024年
162,枝江市顾家店镇沙碛坪村卫生室,村卫生室,枝江市,8257,,2024年
163,枝江市顾家店镇熊家棚村卫生室,村卫生室,枝江市,3062,,2024年
164,枝江市顾家店镇白鹤冲村卫生室,村卫生室,枝江市,14062,,2024年
165,枝江市顾家店镇长岭岗村卫生室,村卫生室,枝江市,5707,,2024年
166,枝江市顾家店镇高殿寺村卫生室,村卫生室,枝江市,6496,,2024年
167,枝江市顾家店镇罗家河村卫生室,村卫生室,枝江市,4603,,2024年
168,枝江市顾家店镇同济院村卫生室,村卫生室,枝江市,5074,,2024年
169,枝江市顾家店镇马蹄垱村卫生室,村卫生室,枝江市,0,,2024年
170,枝江市顾家店镇岩子河村卫生室,村卫生室,枝江市,3639,,2024年
171,枝江市顾家店镇蔡家溪村卫生室,村卫生室,枝江市,6337,,2024年
172,枝江市顾家店镇石半坡村卫生室,村卫生室,枝江市,3843,,2024年
173,枝江市顾家店镇人和垸村卫生室,村卫生室,枝江市,6450,,2024年
174,枝江市顾家店镇清水溪村卫生室,村卫生室,枝江市,3011,,2024年
175,枝江市董市镇桂花村卫生室,村卫生室,枝江市,4051,,2024年
176,枝江市董市镇两美垸村卫生室,村卫生室,枝江市,925,,2024年
177,枝江市董市镇裴圣村卫生室,村卫生室,枝江市,6733,,2024年
178,枝江市董市镇草台村卫生室,村卫生室,枝江市,5931,,2024年
179,枝江市董市镇甘林寺卫生室,村卫生室,枝江市,1325,,2024年
180,枝江市董市镇洪治村卫生室,村卫生室,枝江市,19406,,2024年
181,枝江市董市镇金龙村卫生室,村卫生室,枝江市,7686,,2024年
182,枝江市董市镇石港桥村卫生室,村卫生室,枝江市,5006,,2024年
183,枝江市董市镇高石岗村卫生室,村卫生室,枝江市,7058,,2024年
184,董市镇曹店村卫生室,村卫生室,枝江市,5123,,2024年
185,枝江市董市镇黄金村卫生室,村卫生室,枝江市,8519,,2024年
186,枝江市董市镇马家冲村卫生室,村卫生室,枝江市,1436,,2024年
187,枝江市董市镇石宝山村卫生室,村卫生室,枝江市,3896,,2024年
188,枝江市董市镇泰洲村卫生室,村卫生室,枝江市,13025,,2024年
189,枝江市董市镇高峡新村社区居委会卫生室,村卫生室,枝江市,6599,,2024年
190,枝江市董市镇石匠店村卫生室,村卫生室,枝江市,4827,,2024年
191,枝江市董市镇平湖村卫生室,村卫生室,枝江市,7231,,2024年
192,枝江市董市镇五岭村卫生室,村卫生室,枝江市,3615,,2024年
193,枝江市董市镇石坪村卫生室,村卫生室,枝江市,9406,,2024年
194,枝江市董市镇双湖村卫生室,村卫生室,枝江市,4116,,2024年
195,枝江市董市镇笋子沟村卫生室,村卫生室,枝江市,5866,,2024年
196,枝江市董市镇新周场村卫生室,村卫生室,枝江市,15599,,2024年
197,枝江市董市镇周湖村卫生室,村卫生室,枝江市,16387,,2024年
198,枝江市仙女镇烟墩包村卫生室,村卫生室,枝江市,7903,,2024年
199,枝江市仙女镇赵家冲村卫生室,村卫生室,枝江市,1614,,2024年
200,枝江市仙女镇屈店村卫生室,村卫生室,枝江市,846,,2024年
201,枝江市仙女镇横店村卫生室,村卫生室,枝江市,1043,,2024年
202,枝江市仙女镇五通庙村卫生室,村卫生室,枝江市,2355,,2024年
203,枝江市仙女镇桃店村卫生室,村卫生室,枝江市,2849,,2024年
204,枝江市仙女镇仙女村卫生室,村卫生室,枝江市,5209,,2024年
205,枝江市仙女镇高峰桥村卫生室,村卫生室,枝江市,6164,,2024年
206,枝江市仙女镇桃花垱村卫生室,村卫生室,枝江市,967,,2024年
207,枝江市仙女镇青狮村卫生室,村卫生室,枝江市,4645,,2024年
208,枝江市仙女镇金湖村卫生室,村卫生室,枝江市,1057,,2024年
209,枝江市仙女镇施岗村卫生室,村卫生室,枝江市,1285,,2024年
210,枝江市仙女镇向巷村卫生室,村卫生室,枝江市,1439,,2024年
211,枝江市仙女镇石岭村卫生室,村卫生室,枝江市,6768,,2024年
212,枝江市仙女镇覃家坡村卫生室,村卫生室,枝江市,1821,,2024年
213,枝江市仙女镇张家湾村卫生室,村卫生室,枝江市,1267,,2024年
214,枝江市仙女镇九龙村卫生室,村卫生室,枝江市,2788,,2024年
215,枝江市仙女镇鲁港村卫生室,村卫生室,枝江市,1351,,2024年
216,枝江市仙女镇金山村卫生室,村卫生室,枝江市,1924,,2024年
217,枝江市仙女镇周场村卫生室,村卫生室,枝江市,7640,,2024年
218,枝江市仙女镇余家冲村卫生室,村卫生室,枝江市,5207,,2024年
219,枝江市仙女镇施店村卫生室,村卫生室,枝江市,2824,,2024年
220,枝江市问安镇代家店村卫生室,村卫生室,枝江市,6011,,2024年
221,枝江市问安镇郑家井村卫生室,村卫生室,枝江市,5362,,2024年
222,枝江市问安镇凤台村卫生室,村卫生室,枝江市,4612,,2024年
223,枝江市问安镇关庙山村卫生室,村卫生室,枝江市,12995,,2024年
224,枝江市问安镇革新村卫生室,村卫生室,枝江市,3312,,2024年
225,枝江市问安镇龙泉堂村卫生室,村卫生室,枝江市,11211,,2024年
226,枝江市问安镇龚桥村卫生室,村卫生室,枝江市,8011,,2024年
227,枝江市问安镇四岗村卫生室,村卫生室,枝江市,4130,,2024年
228,枝江市问安镇龚家坪村卫生室,村卫生室,枝江市,5921,,2024年
229,枝江市问安镇同心桥村卫生室,村卫生室,枝江市,7044,,2024年
230,枝江市问安镇朱家湾村卫生室,村卫生室,枝江市,5226,,2024年
231,枝江市问安镇双合村卫生室,村卫生室,枝江市,5425,,2024年
232,枝江市问安镇双湖村卫生室,村卫生室,枝江市,6850,,2024年
233,枝江市问安镇万店村卫生室,村卫生室,枝江市,5220,,2024年
234,枝江市问安镇万水桥村卫生室,村卫生室,枝江市,8035,,2024年
235,枝江市问安镇昙华寺村卫生室,村卫生室,枝江市,6812,,2024年
236,枝江市问安镇十里店村卫生室,村卫生室,枝江市,7901,,2024年
237,枝江市问安镇袁码头村卫生室,村卫生室,枝江市,5541,,2024年
238,枝江市问安镇张家桥村卫生室,村卫生室,枝江市,7812,,2024年
239,枝江市问安镇覃家山村卫生室,村卫生室,枝江市,5036,,2024年
240,枝江市问安镇官垱村卫生室,村卫生室,枝江市,4501,,2024年
241,枝江市问安镇方家畈村卫生室,村卫生室,枝江市,5188,,2024年
242,枝江市问安镇杨山村卫生室,村卫生室,枝江市,10225,,2024年
243,枝江市七星台镇杨林湖村卫生室,村卫生室,枝江市,6839,,2024年
244,枝江市七星台镇张家场村卫生室,村卫生室,枝江市,7125,,2024年
245,枝江市七星台镇新场村卫生室,村卫生室,枝江市,5410,,2024年
246,枝江市七星台镇肖家山村卫生室,村卫生室,枝江市,6813,,2024年
247,枝江市七星台镇肖家桥村卫生室,村卫生室,枝江市,8451,,2024年
248,枝江市七星台镇王家店村卫生室,村卫生室,枝江市,6480,,2024年
249,枝江市七星台镇孙家港村卫生室,村卫生室,枝江市,5136,,2024年
250,枝江市七星台镇三王庙村卫生室,村卫生室,枝江市,4807,,2024年
251,枝江市七星台镇马羊洲村卫生室,村卫生室,枝江市,6067,,2024年
252,枝江市七星台镇李家岗村卫生室,村卫生室,枝江市,12687,,2024年
253,枝江市七星台镇江会寺村卫生室,村卫生室,枝江市,7205,,2024年
254,枝江市七星台镇董家湾村卫生室,村卫生室,枝江市,8365,,2024年
255,枝江市七星台镇大埠街村卫生室,村卫生室,枝江市,8212,,2024年
256,枝江市七星台镇陈家港村卫生室,村卫生室,枝江市,8120,,2024年
257,枝江市七星台镇鲜家港村卫生室,村卫生室,枝江市,6801,,2024年
258,枝江市七星台镇石套子村卫生室,村卫生室,枝江市,6780,,2024年
259,枝江市七星台镇沈家店村卫生室,村卫生室,枝江市,4570,,2024年
260,枝江市七星台镇东林村卫生室,村卫生室,枝江市,3708,,2024年
261,枝江市七星台镇兴隆山村卫生室,村卫生室,枝江市,6583,,2024年
262,枝江市七星台镇鸭子口村卫生室,村卫生室,枝江市,8806,,2024年
263,枝江市七星台镇赵楼子村卫生室,村卫生室,枝江市,7767,,2024年
264,枝江市百里洲镇联丰村卫生室,村卫生室,枝江市,4256,,2024年
265,枝江市百里洲镇芦花村卫生室,村卫生室,枝江市,3634,,2024年
266,枝江市百里洲镇合心村卫生室,村卫生室,枝江市,2977,,2024年
267,枝江市百里洲镇互助村卫生室,村卫生室,枝江市,2729,,2024年
268,枝江市百里洲镇建民村卫生室,村卫生室,枝江市,2888,,2024年
269,枝江市百里洲镇路飞霄村卫生室,村卫生室,枝江市,4522,,2024年
270,枝江市百里洲镇精华村卫生室,村卫生室,枝江市,3307,,2024年
271,枝江市百里洲镇军民村卫生室,村卫生室,枝江市,3897,,2024年
272,枝江市百里洲镇曹家河村卫生室,村卫生室,枝江市,3369,,2024年
273,枝江市百里洲镇傅家渡村卫生室,村卫生室,枝江市,4702,,2024年
274,枝江市百里洲镇凤梁村卫生室,村卫生室,枝江市,2307,,2024年
275,枝江市百里洲镇刘巷村卫生室,村卫生室,枝江市,2159,,2024年
276,枝江市百里洲镇八亩滩村卫生室,村卫生室,枝江市,4593,,2024年
277,枝江市百里洲镇葵兴村卫生室,村卫生室,枝江市,3037,,2024年
278,枝江市百里洲镇来兴村卫生室,村卫生室,枝江市,3609,,2024年
279,枝江市百里洲镇李家坑村卫生室,村卫生室,枝江市,2956,,2024年
280,枝江市百里洲镇坝洲村卫生室,村卫生室,枝江市,5854,,2024年
281,枝江市百里洲镇白马寺村卫生室,村卫生室,枝江市,2489,,2024年
282,枝江市百里洲镇和爱村卫生室,村卫生室,枝江市,2705,,2024年
283,枝江巿百里洲镇杨家庵村卫生室,村卫生室,枝江市,5240,,2024年
284,枝江市百里洲镇陈家尾村卫生室,村卫生室,枝江市,4128,,2024年
285,枝江市百里洲镇戴家渡村卫生室,村卫生室,枝江市,3864,,2024年
286,枝江市百里洲镇冯口村卫生室,村卫生室,枝江市,1038,,2024年
287,枝江市百里洲镇宝月寺村卫生室,村卫生室,枝江市,3366,,2024年
288,枝江市百里洲镇滨湖村卫生室,村卫生室,枝江市,4398,,2024年
289,枝江市百里洲镇三桥村卫生室,村卫生室,枝江市,1724,,2024年
290,枝江市百里洲镇阮家桥村卫生室,村卫生室,枝江市,4956,,2024年
291,枝江市百里洲镇罗家桥村卫生室,村卫生室,枝江市,2000,,2024年
292,枝江市百里洲镇闸口村卫生室,村卫生室,枝江市,1846,,2024年
293,枝江市百里洲镇三洲村卫生室,村卫生室,枝江市,4719,,2024年
294,枝江市百里洲镇新闸村卫生室,村卫生室,枝江市,3862,,2024年
295,枝江市百里洲镇沿江村卫生室,村卫生室,枝江市,4274,,2024年
296,枝江市百里洲镇八角亭村卫生室,村卫生室,枝江市,2873,,2024年
297,枝江市百里洲镇羊子庙村卫生室,村卫生室,枝江市,3753,,2024年
298,枝江市百里洲镇杨家河村卫生室,村卫生室,枝江市,10674,,2024年
299,枝江市百里洲镇指南村卫生室,村卫生室,枝江市,1985,,2024年
300,枝江市百里洲镇神龙潭村卫生室,村卫生室,枝江市,2446,,2024年
301,枝江市百里洲镇双兴村卫生室,村卫生室,枝江市,2906,,2024年
302,枝江市百里洲镇万太村卫生室,村卫生室,枝江市,1897,,2024年
303,枝江市百里洲镇新和村卫生室,村卫生室,枝江市,857,,2024年
304,枝江市百里洲镇朱家嘴村卫生室,村卫生室,枝江市,4677,,2024年
305,当阳市玉阳办事处坳口村卫生室,村卫生室,当阳市,12822,,2024年
306,当阳市玉阳办事处金塔村卫生室,村卫生室,当阳市,12234,,2024年
307,当阳市玉阳办事处庆丰岗村卫生室,村卫生室,当阳市,9892,,2024年
308,当阳市坝陵办事处木林村卫生室,村卫生室,当阳市,6452,,2024年
309,当阳市坝陵办事处荣耀村卫生室,村卫生室,当阳市,12318,,2024年
310,当阳市坝陵办事处群华村卫生室,村卫生室,当阳市,9388,,2024年
311,当阳市坝陵办事处童台村卫生室,村卫生室,当阳市,10797,,2024年
312,当阳市坝陵办事处照耀村卫生室,村卫生室,当阳市,4161,,2024年
313,当阳市坝陵办事处国河村卫生室,村卫生室,当阳市,8658,,2024年
314,当阳市玉泉办事处穿心村卫生室,村卫生室,当阳市,5619,,2024年
315,当阳市玉泉办事处干河村卫生室,村卫生室,当阳市,2108,,2024年
316,当阳市玉泉办事处关陵庙村卫生室,村卫生室,当阳市,5464,,2024年
317,当阳市玉泉办事处玉泉村卫生室,村卫生室,当阳市,3198,,2024年
318,当阳市玉泉办事处清溪村卫生室,村卫生室,当阳市,2336,,2024年
319,当阳市玉泉办事处焦堤村卫生室,村卫生室,当阳市,2441,,2024年
320,当阳市玉泉办事处官道河村卫生室,村卫生室,当阳市,4352,,2024年
321,当阳市两河镇友谊村卫生室,村卫生室,当阳市,12781,,2024年
322,当阳市两河镇孙场村卫生室,村卫生室,当阳市,13878,,2024年
323,当阳市两河镇赵闸村卫生室,村卫生室,当阳市,10700,,2024年
324,当阳市两河镇新星村卫生室,村卫生室,当阳市,9470,,2024年
325,当阳市两河镇双龙村卫生室,村卫生室,当阳市,12302,,2024年
326,当阳市两河镇富里寺村卫生室,村卫生室,当阳市,11798,,2024年
327,当阳市两河镇麦城村卫生室,村卫生室,当阳市,8219,,2024年
328,当阳市河溶镇赵湖村卫生室,村卫生室,当阳市,8086,,2024年
329,当阳市河溶镇前英村卫生室,村卫生室,当阳市,8167,,2024年
330,当阳市河溶镇观基寺村卫生室,村卫生室,当阳市,14215,,2024年
331,当阳市河溶镇红日村卫生室,村卫生室,当阳市,8675,,2024年
332,当阳市河溶镇官垱村卫生室,村卫生室,当阳市,12567,,2024年
333,当阳市河溶镇建国村卫生室,村卫生室,当阳市,9692,,2024年
334,当阳市河溶镇前合村卫生室,村卫生室,当阳市,7317,,2024年
335,当阳市河溶镇星火村卫生室,村卫生室,当阳市,8258,,2024年
336,当阳市河溶镇红胜村卫生室,村卫生室,当阳市,7718,,2024年
337,当阳市河溶镇红联村卫生室,村卫生室,当阳市,13122,,2024年
338,当阳市育溪镇洪锦村卫生室,村卫生室,当阳市,7639,,2024年
339,当阳市育溪镇刘河村卫生室,村卫生室,当阳市,9814,,2024年
340,当阳市育溪镇胜利村卫生室,村卫生室,当阳市,10623,,2024年
341,当阳市育溪镇中山村卫生室,村卫生室,当阳市,8479,,2024年
342,当阳市育溪镇林河村卫生室,村卫生室,当阳市,8136,,2024年
343,当阳市育溪镇春新村卫生室,村卫生室,当阳市,7064,,2024年
344,当阳市育溪镇绿林山村卫生室,村卫生室,当阳市,8726,,2024年
345,当阳市庙前镇鞍山村卫生室,村卫生室,当阳市,8008,,2024年
346,当阳市庙前镇庙前村卫生室,村卫生室,当阳市,7963,,2024年
347,当阳市庙前镇桐树桠村卫生室,村卫生室,当阳市,10064,,2024年
348,当阳市庙前镇旭光村卫生室,村卫生室,当阳市,9757,,2024年
349,当阳市庙前镇井岗村卫生室,村卫生室,当阳市,8505,,2024年
350,当阳市庙前镇石马村卫生室,村卫生室,当阳市,8589,,2024年
351,当阳市庙前镇清坪河村卫生室,村卫生室,当阳市,8818,,2024年
352,当阳市庙前镇烟集村卫生室,村卫生室,当阳市,7493,,2024年
353,当阳市庙前镇李湾村卫生室,村卫生室,当阳市,8677,,2024年
354,当阳市王店镇史店村卫生室,村卫生室,当阳市,11337,,2024年
355,当阳市王店镇熊河村卫生室,村卫生室,当阳市,9747,,2024年
356,当阳市王店镇黑土坡村卫生室,村卫生室,当阳市,8597,,2024年
357,当阳市王店镇白河村卫生室,村卫生室,当阳市,9760,,2024年
358,当阳市王店镇双莲村卫生室,村卫生室,当阳市,11272,,2024年
359,当阳市草埠湖农场楚城村卫生室,村卫生室,当阳市,13206,,2024年
360,当阳市草埠湖农场镇南村卫生室,村卫生室,当阳市,14136,,2024年
361,当阳市河溶镇三星寺村卫生室,村卫生室,当阳市,5538,,2024年
362,当阳市玉阳办事处望城村卫生室,村卫生室,当阳市,14220,,2024年
