xh,xq,ssyljg,dz,lxfs
80,当阳市,当阳市草埠湖镇卫生院,当阳市草埠湖镇盘山路135号,0717-3480899
81,当阳市,当阳市淯溪镇卫生院,当阳市淯溪镇大河桥路53号,0717-3360125
82,当阳市,当阳市河溶镇卫生院,当阳市河溶镇溶新路103号,0717-3351669
83,远安县,远安县人民医院,远安县鸣凤镇凤仪路169号,0717-3811833
84,远安县,远安县中医医院,远安县鸣凤镇飞龙路8号,0717-3890103
85,远安县,洋坪镇中心卫生院,远安县洋坪镇汉口路210号,0717-3776044
86,远安县,茅坪场镇中心卫生院,远安县茅坪场镇茅坪场路17号,0717-3881800
87,远安县,嫘祖镇中心卫生院,远安县嫘祖镇康庄街44号,0717-3771067
88,远安县,旧县镇卫生院,远安县旧县镇亭子山路71号,0717-3780042
89,远安县,河口乡卫生院,远安县河口乡云台路16号,0717-3671041
90,远安县,花林寺镇卫生院,远安县花林寺镇花林路117号,0717-3895619
91,远安县,鸣凤镇社区卫生服务中心,远安县鸣凤镇解放路60号,0717-3817168
92,兴山县,兴山县人民医院,兴山县古夫镇香溪大道23号,0717-2592193
93,兴山县,兴山县中医医院,兴山县昭君镇凤凰街1号,0717-2510063
94,兴山县,兴山县峡口镇中心卫生院,兴山县峡口镇居委会1组,0717-2480120
95,兴山县,兴山县高桥乡卫生院,兴山县高桥乡龚家桥村2组,0717-2459169
96,兴山县,兴山县南阳镇卫生院,兴山县南阳镇阳泉村1组12号,0717-2450990
97,兴山县,兴山县榛子乡卫生院,兴山县榛子乡幸福村20号,0717-2408270
98,兴山县,兴山县黄粮镇中心卫生院,兴山县黄粮镇黄粮坪村6组,0717-2400077
99,兴山县,兴山县水月寺镇中心卫生院,兴山县水月寺镇居委会1组28号,0717-2440120
100,秭归县,归州镇中心卫生院,秭归县归州镇归乡路 29号,0717-2724042
101,秭归县,郭家坝镇中心卫生院,秭归县郭家坝镇峡江路 57号,0717-2670789
102,秭归县,秭归县九畹溪卫生院,秭归县九畹溪镇滋兰路 242号,0717-2800137
103,秭归县,秭归县两河口镇卫生院,秭归县两河口镇一支笔路 36号,0717-2641999
104,秭归县,秭归县梅家河乡卫生院,秭归县梅家河乡鲁家湾村团结路 27号,0717-2621096
105,秭归县,秭归县磨坪乡卫生院,秭归县磨坪乡金叶路 49号,0717-2800120
106,秭归县,秭归县人民医院,秭归县茅坪镇南郡大道9号,0717-2885153
107,秭归县,杨林桥镇中心卫生院,秭归县杨林桥镇杨林桥村二组,0717-2830999
108,秭归县,秭归县屈原镇卫生院,秭归县屈原镇新安路 4号,0717-2771345
109,秭归县,秭归县中医医院,秭归县茅坪镇平湖大道 30号,0717-2614919
110,秭归县,沙镇溪镇中心卫生院,秭归县沙镇溪镇三星路 86号,0717-2612999
111,秭归县,秭归县水田坝乡卫生院,秭归县水田坝乡莲花路 2号,0717--2780066
112,秭归县,秭归县泄滩乡卫生院,秭归县泄滩乡更新路 12号,0717-2760248
113,长阳土家族自治县,长阳土家族自治县人民医院,长阳土家族自治县龙舟坪镇龙舟大道72号,0717-5325131
114,长阳土家族自治县,长阳土家族自治县中医院,长阳土家族自治县龙舟坪镇星城二路1号,0717-5321466
115,长阳土家族自治县,长阳土家族自治县妇幼保健院,长阳土家族自治县龙舟坪镇四冲街4号,0717-5333853
116,长阳土家族自治县,长阳土家族自治县磨市镇卫生院,长阳土家族自治县磨市镇救师口村1组,18972601508
117,长阳土家族自治县,长阳土家族自治县大堰乡卫生院,长阳土家族自治县大堰乡大堰街111号,13886709197
118,长阳土家族自治县,长阳土家族自治县都镇湾镇中心卫生院,长阳土家族自治县都镇湾镇庄溪大道85号,0717-5401037
119,长阳土家族自治县,长阳土家族自治县鸭子口乡卫生院,长阳土家族自治县鸭子口乡厚浪沱村1组,0717-5424120
120,长阳土家族自治县,长阳土家族自治县资丘镇中心卫生院,长阳土家族自治县资丘镇桃山社区居委会桃园路43号,0717-5472120
121,长阳土家族自治县,长阳土家族自治县渔峡口镇卫生院,长阳土家族自治县渔峡口镇盐阳路23号,15972712617
122,长阳土家族自治县,长阳土家族自治县火烧坪乡卫生院,长阳土家族自治县火烧坪乡青树包村1组,0717-5445228
123,长阳土家族自治县,长阳土家族自治县榔坪镇中心卫生院,长阳土家族自治县榔坪镇榔坪街247号,18071324971
124,长阳土家族自治县,长阳土家族自治县贺家坪镇中心卫生院,长阳土家族自治县贺家坪镇贺家坪村康福路8号,0717-5483120
125,长阳土家族自治县,长阳土家族自治县高家堰镇卫生院,长阳土家族自治县高家堰镇丹水大道72号,0717-5488120
126,五峰土家族自治县,五峰土家族自治县人民医院,渔洋关镇古潭路25号,0717-5756980
127,五峰土家族自治县,五峰土家族自治县中医医院,五峰镇黄土包1号,0717-5821236
128,五峰土家族自治县,五峰土家族自治县仁和坪镇卫生院,仁和坪镇正街147号,0717-5754258
129,五峰土家族自治县,五峰土家族自治县长乐坪镇卫生院,长乐坪镇下街56号,18527209924
130,五峰土家族自治县,五峰土家族自治县湾潭中心卫生院,湾潭镇下街53号,0717-5791022
131,五峰土家族自治县,五峰土家族自治县采花中心卫生院,采花乡长茂司村1组,0717-5761120
132,五峰土家族自治县,五峰土家族自治县傅家堰乡卫生院,傅家堰乡上街56号,0717-5731120
133,五峰土家族自治县,五峰土家族自治县牛庄乡卫生院,牛庄乡牛庄村一组,0717-5754120
