xh,jgmc,wsjglb,xzqh,mzzlrc,bz,tjsj
24,当阳市玉阳街道熊家山社区医务室,社区卫生机构,当阳市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
25,当阳市玉阳街道社区卫生服务中心,社区卫生机构,当阳市,55171,,2024年
26,远安县鸣凤镇航天社区医务室,社区卫生机构,远安县,76,,2024年
27,远安县鸣凤镇安泰社区医务室,社区卫生机构,远安县,524,,2024年
28,远安县鸣凤镇鸣凤社区医务室,社区卫生机构,远安县,684,,2024年
29,远安县鸣凤镇东庄坪社区医务室,社区卫生机构,远安县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
30,远安县鸣凤镇凤山社区医务室,社区卫生机构,远安县,283,,2024年
31,远安县鸣凤镇社区卫生服务中心,社区卫生机构,远安县,78856,,2024年
32,兴山县古夫镇龙珠社区医务室,社区卫生机构,兴山县,8700,,2024年
33,兴山县昭君镇香溪社区医务室,社区卫生机构,兴山县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
34,秭归丹阳社区医务室,社区卫生机构,秭归县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
35,长阳土家族自治县龙舟坪社区卫生服务中心,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
36,长阳土家族自治县龙舟坪镇津洋口社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
37,长阳土家族自治县龙舟坪镇西寺坪社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
38,长阳土家族自治县龙舟坪镇后山社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
39,长阳土家族自治县龙舟坪镇何家坪社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
40,长阳土家族自治县龙舟坪镇花坪社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
41,长阳土家族自治县龙舟坪镇白氏坪社区刘家冲医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
42,长阳土家族自治县龙舟坪镇鸣凤社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
43,长阳土家族自治县龙舟坪镇四冲湾社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
44,长阳土家族自治县龙舟坪镇白氏坪社区白氏坪医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
45,长阳土家族自治县龙舟坪镇板桥铺社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
46,长阳土家族自治县龙舟坪镇龙门社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
47,长阳土家族自治县龙舟坪镇丹水社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
48,长阳土家族自治县龙舟坪镇枫竹园社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
49,长阳土家族自治县龙舟坪镇湖口社区医务室,社区卫生机构,长阳土家族自治县,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
50,夷陵区小溪塔街道兴安社区医务室,社区卫生机构,夷陵区,4565,,2024年
51,夷陵区小溪塔街道谭家榜社区医务室,社区卫生机构,夷陵区,262,,2024年
52,夷陵区小溪塔街道丁家坝社区医务室,社区卫生机构,夷陵区,1867,,2024年
53,夷陵区小溪塔街道朝阳社区医务室,社区卫生机构,夷陵区,692,,2024年
54,夷陵区小溪塔街道营盘社区医务室,社区卫生机构,夷陵区,2202,,2024年
55,夷陵区小溪塔街道冯家湾社区医务室,社区卫生机构,夷陵区,2215,,2024年
56,夷陵区小溪塔街道东湖社区医务室,社区卫生机构,夷陵区,279,,2024年
57,夷陵区小溪塔街道长江市场社区医务室,社区卫生机构,夷陵区,2512,,2024年
58,夷陵区小溪塔街道港虹社区医务室,社区卫生机构,夷陵区,2202,,2024年
59,宜昌市夷陵区东城城乡统筹发展试验区东城社区医务室,社区卫生机构,夷陵区,2356,,2024年
60,夷陵区东城城乡统筹发展试验区锦江社区医务室,社区卫生机构,夷陵区,2486,,2024年
61,夷陵区东城城乡统筹发展试验区绿洲社区医务室,社区卫生机构,夷陵区,2120,,2024年
62,夷陵区东城城乡统筹发展试验区锦湖社区医务室,社区卫生机构,夷陵区,1469,,2024年
63,夷陵区东城城乡统筹发展试验区润城社区卫生服务站,社区卫生机构,夷陵区,30314,,2024年
64,夷陵区东城城乡统筹发展试验区社区卫生服务中心,社区卫生机构,夷陵区,28830,,2024年
65,夷陵区望江社区卫生服务中心,社区卫生机构,夷陵区,18199,,2024年
66,夷陵区小溪塔街道社区卫生服务中心,社区卫生机构,夷陵区,114981,,2024年
67,夜明珠街道望洲岗社区卫生服务站,社区卫生机构,西陵区,5527,,2024年
68,宜昌市西陵区白龙井社区卫生服务站,社区卫生机构,西陵区,5292,,2024年
69,夜明珠街道肖家岗社区卫生服务站,社区卫生机构,西陵区,70020,,2024年
70,夜明珠街道大堰湾社区卫生服务站,社区卫生机构,西陵区,39050,,2024年
71,夜明珠街道平湖馨苑社区卫生服务站,社区卫生机构,西陵区,18847,,2024年
72,宜昌市西陵区北门社区卫生服务站,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
73,宜昌市西陵区樵湖岭社区卫生服务站,社区卫生机构,西陵区,58311,,2024年
74,宜昌市西陵区云集街道赵家湾社区卫生服务站（宜昌市西陵区云集街道赵家湾社区医务室）,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
75,宜昌市西陵区云集街道山庄路社区服务站(宜昌市西陵区云集街道山庄路社区医务室),社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
76,宜昌市西陵区气象台社区卫生服务站（宜昌市西陵区气象台社区医务室）,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
77,宜昌市西陵区绿萝路社区卫生服务站,社区卫生机构,西陵区,274,,2024年
78,宜昌市西陵区刘家大堰社区卫生服务站,社区卫生机构,西陵区,57121,,2024年
79,宜昌市西陵区葛洲坝街道长樵溪社区医务室,社区卫生机构,西陵区,5021,,2024年
80,宜昌市西陵区葛洲坝街道石子岭社区医务室,社区卫生机构,西陵区,410,,2024年
81,宜昌市西陵区夜明珠街道上导堤社区医务室,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
82,宜昌市西陵区夜明珠街道英雄山社区医务室,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
83,宜昌市西陵区夜明珠街道夜明珠社区医务室,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
84,宜昌市西陵区夜明珠街道镇平路社区医务室,社区卫生机构,西陵区,650,,2024年
85,宜昌市西陵区云集街道桃花岭社区医务室,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
86,西陵区西坝街道甲街社区医务室,社区卫生机构,西陵区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
87,葛洲坝街道清波路社区卫生服务站,社区卫生机构,西陵区,41080,,2024年
88,葛洲坝东湖社区卫生服务中心,社区卫生机构,西陵区,25172,,2024年
89,葛洲坝东山社区卫生服务中心,社区卫生机构,西陵区,35837,,2024年
90,宜昌市西陵区云集社区卫生服务中心,社区卫生机构,西陵区,39867,,2024年
91,宜昌市西陵区学院社区卫生服务中心,社区卫生机构,西陵区,44678,,2024年
92,葛洲坝西坝社区卫生服务中心,社区卫生机构,西陵区,113435,,2024年
93,宜昌市西陵区西陵社区卫生服务中心,社区卫生机构,西陵区,145390,,2024年
94,伍家岗区宝塔河街道张家坡社区医务室,社区卫生机构,伍家岗区,2365,,2024年
95,伍家岗区万寿桥街道万达社区医务室,社区卫生机构,伍家岗区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
96,伍家岗区伍家岗街道花艳社区医务室,社区卫生机构,伍家岗区,1000,,2024年
97,宜昌市伍家岗区伍家岗街道伍临路社区医务室,社区卫生机构,伍家岗区,860,,2024年
98,宜昌市伍家岗区伍家岗街道桔城路社区医务室,社区卫生机构,伍家岗区,600,,2024年
99,伍家岗区伍家乡鑫鼎社区医务室,社区卫生机构,伍家岗区,1557,,2024年
100,伍家岗区伍家乡花溪路社区医务室,社区卫生机构,伍家岗区,1047,,2024年
101,伍家岗区伍家乡物流园社区医务室,社区卫生机构,伍家岗区,739,,2024年
102,伍家岗区伍家乡张家湾社区医务室,社区卫生机构,伍家岗区,737,,2024年
103,伍家岗区伍家岗街道王家河社区医务室,社区卫生机构,伍家岗区,3000,,2024年
104,伍家岗区伍家岗街道龙盘湖社区医务室,社区卫生机构,伍家岗区,300,,2024年
105,伍家岗区宝塔河街道合益路社区医务室,社区卫生机构,伍家岗区,161,,2024年
106,伍家岗区宝塔河街道艾家咀社区医务室,社区卫生机构,伍家岗区,907,,2024年
107,伍家岗区万寿桥街道建设社区医务室,社区卫生机构,伍家岗区,222,,2024年
108,伍家岗区伍家岗街道白马山社区医务室,社区卫生机构,伍家岗区,1500,,2024年
109,伍家岗区伍家乡东站路社区医务室,社区卫生机构,伍家岗区,476,,2024年
110,伍家岗区伍家乡金巴岭社区医务室,社区卫生机构,伍家岗区,1047,,2024年
111,伍家岗区大公桥街道隆康路社区医务室,社区卫生机构,伍家岗区,240,,2024年
112,宜昌市伍家岗区福久园社区卫生服务站,社区卫生机构,伍家岗区,4750,,2024年
113,宜昌市伍家岗区中南路社区卫生服务站,社区卫生机构,伍家岗区,6656,,2024年
114,伍家岗区大公桥社区卫生服务中心,社区卫生机构,伍家岗区,53718,,2024年
115,伍家岗区城东社区卫生服务中心,社区卫生机构,伍家岗区,173180,,2024年
116,伍家岗区花艳社区卫生服务中心,社区卫生机构,伍家岗区,78095,,2024年
117,伍家岗区白沙路社区卫生服务中心,社区卫生机构,伍家岗区,108007,,2024年
118,伍家岗区杨岔路社区卫生服务中心,社区卫生机构,伍家岗区,71606,,2024年
119,点军街道五龙社区医务室,社区卫生机构,点军区,9637,,2024年
120,点军街道朱市街医务室,社区卫生机构,点军区,1083,,2024年
121,点军区桥边镇广化寺社区医务室,社区卫生机构,点军区,11045,,2024年
122,点军街道梅子溪社区医务室,社区卫生机构,点军区,2155,,2024年
123,点军街道至喜医务室,社区卫生机构,点军区,1681,,2024年
124,点军街道谭家河社区医务室,社区卫生机构,点军区,1740,,2024年
125,点军街道红光社区医务室,社区卫生机构,点军区,1500,,2024年
126,点军街办社区卫生服务中心,社区卫生机构,点军区,18882,,2024年
127,猇亭区石板冲社区医务室,社区卫生机构,猇亭区,116,,2024年
128,猇亭区磨盘溪社区医务室,社区卫生机构,猇亭区,1310,,2024年
129,猇亭区六泉湖社区医务室,社区卫生机构,猇亭区,2514,,2024年
130,猇亭区新金岭社区医务室,社区卫生机构,猇亭区,69,,2024年
131,猇亭区长江新村社区医务室,社区卫生机构,猇亭区,42,,2024年
132,猇亭区七里新村社区医务室,社区卫生机构,猇亭区,5690,,2024年
133,猇亭区云池社区卫生服务中心,社区卫生机构,猇亭区,7790,,2024年
134,猇亭区古老背社区卫生服务中心,社区卫生机构,猇亭区,31275,,2024年
135,宜昌高新区南苑社区医务室,社区卫生机构,高新区,1151,,2024年
136,宜昌高新区东山花园社区医务室,社区卫生机构,高新区,3325,,2024年
137,宜昌高新区东锦苑社区医务室,社区卫生机构,高新区,2588,,2024年
138,宜昌高新区王家坝社区医务室,社区卫生机构,高新区,80,,2024年
139,宜昌高新区山河园路社区医务室,社区卫生机构,高新区,2044,,2024年
140,宜昌高新区珠海路社区医务室,社区卫生机构,高新区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
141,宜昌高新区汕头路社区医务室,社区卫生机构,高新区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
142,宜昌高新区青岛路社区医务室,社区卫生机构,高新区,1074,,2024年
143,宜昌高新区叶家坝社区医务室,社区卫生机构,高新区,44,,2024年
144,宜昌高新区廖家湾社区医务室,社区卫生机构,高新区,1661,,2024年
145,宜昌高新区城东社区医务室,社区卫生机构,高新区,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
146,宜昌高新区东山社区卫生服务中心,社区卫生机构,高新区,56255,,2024年
147,宜都市陆城街道社区卫生服务中心,社区卫生服务中心,宜都市,74567,注：很多医务室都没有数据，是因为数据包含在所属社区卫生服务中心里面。,2025.6
148,陆城街道清江社区医务室,社区医务室,宜都市,575,,2025.6
149,陆城街道八字桥社区医务室,社区医务室,宜都市,3126,,2025.6
150,陆城街道胜利社区医务室,社区医务室,宜都市,667,,2025.6
151,陆城街道东风社区医务室,社区医务室,宜都市,1526,,2025.6
152,陆城街道锦江社区医务室,社区医务室,宜都市,2017,,2025.6
153,陆城街道名都社区医务室,社区医务室,宜都市,2165,,2025.6
154,陆城街道红春社区医务室,社区医务室,宜都市,6617,,2025.6
155,枝江市马家店街道办事处拽车社区卫生服务站,社区卫生服务站,枝江市,13683,,2025.6
156,枝江市马家店街道办事处双寿桥社区卫生服务站,社区卫生服务站,枝江市,6386,,2025.6
157,枝江市马家店街道办事处计划社区卫生服务站,社区卫生服务站,枝江市,5188,,2025.6
158,枝江市马家店街道办事处余家溪社区卫生服务站,社区卫生服务站,枝江市,7203,,2025.6
159,枝江市马家店街道社区卫生服务中心,社区卫生服务中心,枝江市,66188,,2025.6
160,枝江市仙女镇西湾社区医务室,社区医务室,枝江市,242,,2025.6
161,当阳市玉阳街道社区卫生服务中心,社区卫生服务中心,当阳市,53133,,2025.6
162,远安县鸣凤镇社区卫生服务中心,社区卫生服务中心,远安县,43296,,2025.6
163,远安县鸣凤镇凤山社区医务室,社区医务室,远安县,1170,,2025.6
164,远安县鸣凤镇安泰社区医务室,社区医务室,远安县,1268,,2025.6
165,远安县鸣凤镇鸣凤社区医务室,社区医务室,远安县,1743,,2025.6
166,夷陵区小溪塔街道社区卫生服务中心,社区卫生服务中心,夷陵区,97625,,2025.6
167,夷陵区东城城乡统筹发展试验区社区卫生服务中心,社区卫生服务中心,夷陵区,25084,,2025.6
168,夷陵区望江社区卫生服务中心,社区卫生服务中心,夷陵区,15147,,2025.6
169,小溪塔街道冯家湾社区医务室,社区医务室,夷陵区,346,,2025.6
170,小溪塔街道长江市场社区医务室,社区医务室,夷陵区,423,,2025.6
171,葛洲坝街道清波路社区卫生服务站,社区卫生服务站,西陵区,44363,,2025.6
172,夜明珠街道大堰湾社区卫生服务站,社区卫生服务站,西陵区,17600,,2025.6
173,夜明珠街道平湖馨苑社区卫生服务站,社区卫生服务站,西陵区,14288,,2025.6
174,夜明珠街道望洲岗社区卫生服务站,社区卫生服务站,西陵区,9217,,2025.6
175,夜明珠街道肖家岗社区卫生服务站,社区卫生服务站,西陵区,7415,,2025.6
176,宜昌市西陵区白龙井社区卫生服务站,社区卫生服务站,西陵区,3325,,2025.6
177,宜昌市西陵区西陵社区卫生服务中心,社区卫生服务中心,西陵区,205703,,2025.6
178,宜昌市西陵区学院社区卫生服务中心,社区卫生服务中心,西陵区,45179,,2025.6
179,葛洲坝东山社区卫生服务中心,社区卫生服务中心,西陵区,39691,,2025.6
180,葛洲坝西坝社区卫生服务中心,社区卫生服务中心,西陵区,112182,,2025.6
181,葛洲坝东湖社区卫生服务中心,社区卫生服务中心,西陵区,35735,,2025.6
182,宜昌高新区东山社区卫生服务中心,社区卫生服务中心,西陵区,18419,,2025.6
183,宜昌市西陵区云集社区卫生服务中心,社区卫生服务中心,西陵区,48579,,2025.6
184,宜昌市西陵区夜明珠街道英雄山社区医务室,社区医务室,西陵区,265,,2025.6
185,宜昌市西陵区葛洲坝街道锦绣社区医务室,社区医务室,西陵区,258,,2025.6
186,宜昌市西陵区葛洲坝街道石子岭社区医务室,社区医务室,西陵区,729,,2025.6
187,宜昌市伍家岗区中南路社区卫生服务站,社区卫生服务站,伍家岗区,7012,,2025.6
188,宜昌市伍家岗区福久园社区卫生服务站,社区卫生服务站,伍家岗区,2950,,2025.6
189,伍家岗区杨岔路社区卫生服务中心,社区卫生服务中心,伍家岗区,81019,,2025.6
190,伍家岗区城东社区卫生服务中心,社区卫生服务中心,伍家岗区,110803,,2025.6
191,伍家岗区白沙路社区卫生服务中心,社区卫生服务中心,伍家岗区,151867,,2025.6
192,伍家岗区花艳社区卫生服务中心,社区卫生服务中心,伍家岗区,50752,,2025.6
193,伍家岗区大公桥社区卫生服务中心,社区卫生服务中心,伍家岗区,70996,,2025.6
194,伍家岗区伍家乡鑫鼎社区医务室,社区医务室,伍家岗区,4160,,2025.6
195,伍家岗区伍家乡金巴岭社区医务室,社区医务室,伍家岗区,3551,,2025.6
196,伍家岗区宝塔河街道张家坡社区医务室,社区医务室,伍家岗区,7350,,2025.6
197,宜昌市伍家岗区伍家岗街道桔城路社区医务室,社区医务室,伍家岗区,3190,,2025.6
198,伍家岗区宝塔河街道艾家咀社区医务室,社区医务室,伍家岗区,3179,,2025.6
199,伍家岗区万寿桥街道建设社区医务室,社区医务室,伍家岗区,1259,,2025.6
200,伍家岗区万寿桥街道万达社区医务室,社区医务室,伍家岗区,2610,,2025.6
201,伍家岗区大公桥街道隆康路社区医务室,社区医务室,伍家岗区,4168,,2025.6
202,伍家岗区伍家岗街道王家河社区医务室,社区医务室,伍家岗区,2531,,2025.6
203,伍家岗区伍家乡八一路社区医务室,社区医务室,伍家岗区,2112,,2025.6
204,伍家岗区伍家乡张家湾社区医务室,社区医务室,伍家岗区,4175,,2025.6
205,伍家岗区伍家岗街道世纪山水社区医务室,社区医务室,伍家岗区,2188,,2025.6
206,宜昌市点军区点军街办社区卫生服务中心,社区卫生服务中心,点军区,21093,,2025.6
207,点军街道至喜社区医务室,社区医务室,点军区,4562,,2025.6
208,点军街道梅子溪社区医务室,社区医务室,点军区,4014,,2025.6
209,点军街道朱市街社区医务室,社区医务室,点军区,1317,,2025.6
210,点军街道谭家河社区医务室,社区医务室,点军区,2949,,2025.6
211,点军街道红光社区医务室,社区医务室,点军区,1455,,2025.6
212,宜昌市点军区桥边镇广化寺社区医务室,社区医务室,点军区,14317,,2025.6
213,点军街道五龙社区医务室,社区医务室,点军区,8799,,2025.6
214,猇亭区古老背社区卫生服务中心,社区卫生服务中心,猇亭区,25730,,2025.6
215,猇亭区云池社区卫生服务中心,社区卫生服务中心,猇亭区,13862,,2025.6
216,古老背街道桐岭新村社区医务室,社区医务室,猇亭区,12809,,2025.6
217,虎牙街道磨盘溪社区医务室,社区医务室,猇亭区,5769,,2025.6
218,古老背街道七里新村社区医务室,社区医务室,猇亭区,12352,,2025.6
219,云池街道新金岭社区医务室,社区医务室,猇亭区,941,,2025.6
220,古老背街道古老背社区医务室,社区医务室,猇亭区,9828,,2025.6
221,古老背街道长江新村社区医务室,社区医务室,猇亭区,1761,,2025.6
222,虎牙街道六泉湖社区医务室,社区医务室,猇亭区,13552,,2025.6
223,云池街道石板冲社区医务室,社区医务室,猇亭区,892,,2025.6
224,宜昌高新区东锦苑社区医务室,社区医务室,宜昌高新区,5954,,2025.6
225,宜昌高新区邦普医务室,社区医务室,宜昌高新区,538,,2025.6
