bysj,ssxsq,rjzdbl
2025年4月,宜都市,100.00%
2025年4月,夷陵区,73.30%
2025年4月,夷陵区,73.30%
2025年4月,夷陵区,73.30%
2025年4月,夷陵区,73.30%
2025年4月,五峰县,100.00%
2025年4月,五峰县,90.00%
2025年4月,五峰县,90.00%
2025年4月,秭归县,100.00%
2025年5月,宜昌市,100.00%
2025年5月,宜都市,100.00%
2025年5月,枝江市,100.00%
2025年5月,远安县,58.10%
2025年5月,远安县,58.10%
2025年5月,远安县,58.10%
2025年5月,当阳市,71.00%
2025年5月,当阳市,71.00%
2025年5月,当阳市,71.00%
2025年5月,枝江市,77.40%
2025年5月,兴山县,32.30%
2025年5月,兴山县,32.30%
2025年5月,长阳县,100.00%
2025年5月,宜都市,100.00%
2025年5月,夷陵区,100.00%
2025年5月,远安县,96.80%
2025年5月,宜都市,100.00%
2025年5月,夷陵区,90.30%
2025年5月,夷陵区,90.30%
2025年5月,夷陵区,90.30%
2025年5月,夷陵区,90.30%
2025年5月,五峰县,100.00%
2025年5月,五峰县,77.40%
2025年5月,五峰县,77.40%
2025年5月,秭归县,100.00%
2025年6月,宜昌市,93.30%
2025年6月,宜都市,100.00%
2025年6月,枝江市,100.00%
2025年6月,远安县,56.70%
2025年6月,远安县,56.70%
2025年6月,远安县,56.70%
2025年6月,当阳市,33.30%
2025年6月,当阳市,33.30%
2025年6月,当阳市,33.30%
2025年6月,当阳市,33.30%
2025年6月,枝江市,6.70%
2025年6月,枝江市,6.70%
2025年6月,枝江市,6.70%
2025年6月,枝江市,6.70%
2025年6月,兴山县,86.70%
2025年6月,长阳县,100.00%
2025年6月,宜都市,96.70%
2025年6月,夷陵区,73.30%
2025年6月,夷陵区,73.30%
2025年6月,远安县,96.70%
2025年6月,宜都市,100.00%
2025年6月,夷陵区,83.30%
2025年6月,夷陵区,83.30%
2025年6月,夷陵区,83.30%
2025年6月,五峰县,90.00%
2025年6月,五峰县,90.00%
2025年6月,五峰县,86.70%
2025年6月,五峰县,86.70%
2025年6月,五峰县,86.70%
2025年6月,秭归县,100.00%
2025年7月,宜昌市,83.90%
2025年7月,宜昌市,83.90%
2025年7月,宜都市,100.00%
2025年7月,枝江市,100.00%
2025年7月,远安县,45.20%
2025年7月,远安县,45.20%
2025年7月,当阳市,19.00%
2025年7月,当阳市,19.00%
2025年7月,当阳市,19.00%
2025年7月,枝江市,22.60%
2025年7月,枝江市,22.60%
2025年7月,枝江市,22.60%
2025年7月,兴山县,77.40%
2025年7月,长阳县,100.00%
2025年7月,宜都市,100.00%
2025年7月,夷陵区,73.30%
2025年7月,夷陵区,73.30%
2025年7月,远安县,41.90%
2025年7月,宜都市,82.60%
2025年7月,宜都市,82.60%
2025年7月,夷陵区,80.00%
2025年7月,夷陵区,80.00%
2025年7月,五峰县,100.00%
2025年7月,五峰县,83.90%
2025年7月,五峰县,83.90%
2025年7月,秭归县,91.30%
2025年8月,宜昌市,100.00%
2025年8月,宜都市,100.00%
2025年8月,枝江市,96.80%
2025年8月,远安县,83.90%
2025年8月,远安县,83.90%
2025年8月,当阳市,22.60%
2025年8月,当阳市,22.60%
2025年8月,当阳市,22.60%
2025年8月,当阳市,22.60%
2025年8月,枝江市,58.10%
2025年8月,枝江市,58.10%
2025年8月,枝江市,58.10%
2025年8月,兴山县,77.40%
2025年8月,长阳县,100.00%
2025年8月,宜都市,84.00%
2025年8月,夷陵区,45.20%
2025年8月,夷陵区,45.20%
2025年8月,远安县,60.00%
2025年8月,宜都市,38.70%
2025年8月,宜都市,38.70%
2025年8月,宜都市,38.70%
2025年8月,夷陵区,87.10%
2025年8月,夷陵区,87.10%
2025年8月,五峰县,100.00%
2025年8月,五峰县,93.50%
2025年8月,五峰县,93.50%
2025年8月,秭归县,76.50%
2025年8月,秭归县,76.50%
